time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761186693,255850.13,2.558570E+06,255850.13,22799.39,2.280000E+05,22799.39
1761186703,267073.61,5.229310E+06,261461.80,23799.96,4.660000E+05,23299.67
1761186713,274969.46,7.979000E+06,265964.31,24500.04,7.110000E+05,23699.79
1761186723,274940.95,1.072841E+07,268208.45,24500.00,9.560000E+05,23899.84
1761186733,278289.76,1.351131E+07,270224.70,24799.98,1.204000E+06,24079.87
1761186743,237926.22,1.589057E+07,264841.65,21200.02,1.416000E+06,23599.89
1761186753,271581.95,1.860639E+07,265804.55,24200.00,1.658000E+06,23685.62
1761186763,264839.14,2.125478E+07,265683.87,23600.01,1.894000E+06,23674.92
1761186773,269342.91,2.394821E+07,266090.43,23999.99,2.134000E+06,23711.04
1761186783,274935.97,2.669757E+07,266974.98,24500.00,2.379000E+06,23789.94
1761186793,250237.01,2.919994E+07,265453.35,22300.00,2.602000E+06,23654.49
1761186803,270464.08,3.190458E+07,265870.91,24100.01,2.843000E+06,23691.61
1761186813,261473.03,3.451931E+07,265532.61,23300.00,3.076000E+06,23661.49
1761186823,261482.00,3.713413E+07,265243.28,23300.00,3.309000E+06,23635.67
1761186833,274967.90,3.988381E+07,265891.59,24499.99,3.554000E+06,23693.29
1761186843,259212.95,4.247594E+07,265474.18,23100.00,3.785000E+06,23656.21
1761186853,245764.03,4.493358E+07,264314.76,21900.00,4.004000E+06,23552.90
1761186863,272700.09,4.766058E+07,264780.61,24300.01,4.247000E+06,23594.41
1761186873,270454.93,5.036513E+07,265079.26,24099.99,4.488000E+06,23621.02
1761186883,264844.96,5.301358E+07,265067.54,23600.00,4.724000E+06,23619.97
1761186893,274963.12,5.576321E+07,265538.76,24500.01,4.969000E+06,23661.87
1761186903,226672.94,5.802994E+07,263772.13,20199.99,5.171000E+06,23504.52
1761186913,243518.99,6.046513E+07,262891.56,21700.00,5.388000E+06,23426.06
1761186923,249144.08,6.295657E+07,262318.75,22200.01,5.610000E+06,23374.97
1761186933,228942.90,6.524600E+07,260983.72,20399.99,5.814000E+06,23255.97
1761186943,283921.13,6.808521E+07,261865.93,25300.01,6.067000E+06,23334.59
1761186953,263717.90,7.072239E+07,261934.52,23499.99,6.302000E+06,23340.72
1761186963,246874.12,7.319113E+07,261396.65,22000.01,6.522000E+06,23292.84
1761186973,269342.90,7.588456E+07,261670.65,23999.99,6.762000E+06,23317.22
1761186983,273828.07,7.862284E+07,262075.90,24400.01,7.006000E+06,23353.31
1761186993,269336.93,8.131621E+07,262310.13,23999.99,7.246000E+06,23374.17
1761187003,267073.09,8.398694E+07,262458.97,23800.01,7.484000E+06,23387.48
1761187013,244636.97,8.643331E+07,261918.91,21800.00,7.702000E+06,23339.38
1761187023,267108.02,8.910439E+07,262071.53,23800.00,7.940000E+06,23352.92
1761187033,264837.45,9.175277E+07,262150.56,23599.95,8.176000E+06,23359.98
1761187043,276054.56,9.451331E+07,262536.78,24600.05,8.422000E+06,23394.43
1761187053,270462.99,9.721794E+07,262751.00,24100.00,8.663000E+06,23413.50
1761187063,243518.91,9.965313E+07,262244.89,21699.99,8.880000E+06,23368.40
1761187073,257008.13,1.022232E+08,262110.62,22900.01,9.109000E+06,23356.39
1761187083,277172.86,1.049949E+08,262487.17,24699.99,9.356000E+06,23389.98
1761187093,263727.01,1.076322E+08,262517.41,23500.00,9.591000E+06,23392.67
1761187103,272692.04,1.103591E+08,262759.67,24300.00,9.834000E+06,23414.27
1761187113,257004.05,1.129292E+08,262625.81,22900.00,1.006300E+07,23402.31
1761187123,242403.94,1.153532E+08,262166.23,21599.99,1.027900E+07,23361.35
1761187133,233417.97,1.176874E+08,261527.38,20800.00,1.048700E+07,23304.43
1761187143,227791.99,1.199653E+08,260794.00,20300.00,1.069000E+07,23239.12
1761187153,272700.14,1.226923E+08,261047.32,24300.01,1.093300E+07,23261.69
1761187163,280562.85,1.254979E+08,261453.89,24999.99,1.118300E+07,23297.90
1761187173,227824.12,1.277762E+08,260767.57,20300.01,1.138600E+07,23236.72
1761187183,279412.70,1.305703E+08,261140.48,24899.97,1.163500E+07,23269.99
1761187193,265966.14,1.332300E+08,261235.10,23700.01,1.187200E+07,23278.42
1761187203,270461.15,1.359346E+08,261412.52,24100.01,1.211300E+07,23294.22
1761187213,276080.90,1.386954E+08,261689.28,24599.99,1.235900E+07,23318.86
1761187223,249119.08,1.411866E+08,261456.50,22200.01,1.258100E+07,23298.14
1761187233,259237.62,1.437790E+08,261416.16,23099.97,1.281200E+07,23294.53
1761187243,272698.29,1.465059E+08,261617.62,24300.03,1.305500E+07,23312.49
1761187253,273819.00,1.492441E+08,261831.68,24400.00,1.329900E+07,23331.57
1761187263,264845.09,1.518926E+08,261883.64,23600.01,1.353500E+07,23336.20
1761187273,264863.01,1.545412E+08,261934.14,23600.00,1.377100E+07,23340.67
1761187283,241257.90,1.569538E+08,261589.53,21499.99,1.398600E+07,23309.99
1761187293,268213.99,1.596359E+08,261698.13,23900.00,1.422500E+07,23319.66
1761187303,270463.13,1.623406E+08,261839.50,24100.01,1.446600E+07,23332.25
1761187313,269343.97,1.650340E+08,261958.62,24000.00,1.470600E+07,23342.85
1761187323,258094.02,1.676149E+08,261898.24,23000.00,1.493600E+07,23337.49
1761187333,244636.98,1.700613E+08,261632.68,21800.00,1.515400E+07,23313.84
1761187343,236808.01,1.724294E+08,261256.55,21100.00,1.536500E+07,23280.29
1761187353,225554.92,1.746849E+08,260723.69,20099.99,1.556600E+07,23232.83
1761187363,242400.11,1.771089E+08,260454.22,21600.01,1.578200E+07,23208.81
1761187373,277205.99,1.798810E+08,260697.00,24700.00,1.602900E+07,23230.43
1761187383,251372.88,1.823947E+08,260563.80,22399.99,1.625300E+07,23218.56
1761187393,241258.03,1.848073E+08,260291.89,21500.00,1.646800E+07,23194.36
1761187403,270463.10,1.875119E+08,260433.15,24100.01,1.670900E+07,23206.94
1761187413,272699.91,1.902389E+08,260601.19,24299.99,1.695200E+07,23221.91
1761187423,267106.09,1.929100E+08,260689.10,23800.01,1.719000E+07,23229.72
1761187433,278293.88,1.956929E+08,260923.83,24799.99,1.743800E+07,23250.66
1761187443,246906.02,1.981620E+08,260739.38,22000.00,1.765800E+07,23234.20
1761187453,267076.08,2.008328E+08,260821.68,23800.01,1.789600E+07,23241.55
1761187463,273818.02,2.035709E+08,260988.30,24400.00,1.814000E+07,23256.40
1761187473,262599.88,2.061969E+08,261008.70,23399.99,1.837400E+07,23258.22
1761187483,279445.04,2.089914E+08,261239.15,24900.00,1.862300E+07,23278.74
1761187493,237915.99,2.113706E+08,260951.21,21200.00,1.883500E+07,23253.08
1761187503,270439.06,2.140749E+08,261066.92,24100.01,1.907600E+07,23263.41
1761187513,274936.98,2.168243E+08,261234.02,24500.00,1.932100E+07,23278.31
1761187523,285069.06,2.196750E+08,261517.77,25400.01,1.957500E+07,23303.56
1761187533,256973.88,2.222447E+08,261464.32,22899.99,1.980400E+07,23298.82
1761187543,254739.01,2.247921E+08,261386.12,22700.00,2.003100E+07,23291.85
1761187553,230061.06,2.270927E+08,261026.06,20500.01,2.023600E+07,23259.76
1761187563,236783.92,2.294606E+08,260750.58,21099.99,2.044700E+07,23235.22
1761187573,235681.11,2.318174E+08,260468.90,21000.01,2.065700E+07,23210.11
1761187583,253616.99,2.343536E+08,260392.77,22600.00,2.088300E+07,23203.33
1761187593,273817.88,2.370917E+08,260540.30,24399.99,2.112700E+07,23216.48
1761187603,236778.10,2.394595E+08,260282.01,21100.01,2.133800E+07,23193.47
1761187613,272705.88,2.421866E+08,260415.60,24299.99,2.158100E+07,23205.37
1761187623,260363.05,2.447902E+08,260415.04,23200.00,2.181300E+07,23205.31
1761187633,272693.98,2.475172E+08,260544.29,24300.00,2.205600E+07,23216.84
1761187643,270459.07,2.502217E+08,260647.57,24100.01,2.229700E+07,23226.04
1761187653,246883.89,2.526906E+08,260505.68,21999.99,2.251700E+07,23213.40
1761187663,252500.05,2.552156E+08,260423.99,22500.00,2.274200E+07,23206.12
1761187673,277199.06,2.579876E+08,260593.44,24700.01,2.298900E+07,23221.21
1761187683,262599.93,2.606136E+08,260613.50,23399.99,2.322300E+07,23222.99
1761187693,278291.96,2.633965E+08,260788.53,24800.00,2.347100E+07,23238.61
1761187703,260364.02,2.660001E+08,260784.37,23200.00,2.370300E+07,23238.23
1761187713,249143.07,2.684916E+08,260671.35,22200.01,2.392500E+07,23228.15
1761187723,269337.95,2.711849E+08,260754.68,24000.00,2.416500E+07,23235.57
1761187733,269341.97,2.738784E+08,260836.47,24000.00,2.440500E+07,23242.85
1761187743,283895.03,2.767173E+08,261054.00,25300.00,2.465800E+07,23262.26
1761187753,268226.06,2.793996E+08,261121.03,23900.01,2.489700E+07,23268.22
1761187763,233416.94,2.817337E+08,260864.51,20799.99,2.510500E+07,23245.36
1761187773,235656.97,2.840903E+08,260633.25,21000.00,2.531500E+07,23224.76
1761187783,234569.13,2.864360E+08,260396.30,20900.01,2.552400E+07,23203.63
1761187793,253620.87,2.889722E+08,260335.26,22599.99,2.575000E+07,23198.19
1761187803,256983.09,2.915420E+08,260305.33,22900.01,2.597900E+07,23195.53
1761187813,264827.03,2.941903E+08,260345.35,23600.00,2.621500E+07,23199.11
1761187823,251381.87,2.967041E+08,260266.72,22399.99,2.643900E+07,23192.10
1761187833,262602.00,2.993302E+08,260287.03,23400.00,2.667300E+07,23193.91
1761187843,271581.02,3.020460E+08,260384.39,24200.00,2.691500E+07,23202.58
1761187853,281680.99,3.048628E+08,260566.41,25100.00,2.716600E+07,23218.80
1761187863,258125.98,3.074440E+08,260545.73,23000.00,2.739600E+07,23216.94
1761187873,249110.03,3.099351E+08,260449.63,22200.00,2.761800E+07,23208.40
1761187883,270461.01,3.126397E+08,260533.06,24100.00,2.785900E+07,23215.83
1761187893,263720.00,3.152769E+08,260559.40,23500.00,2.809400E+07,23218.18
1761187903,277184.95,3.180488E+08,260695.67,24700.00,2.834100E+07,23230.32
1761187913,265977.02,3.207086E+08,260738.61,23700.00,2.857800E+07,23234.14
1761187923,249144.10,3.232000E+08,260645.11,22200.01,2.880000E+07,23225.80
1761187933,245757.03,3.256576E+08,260526.00,21900.00,2.901900E+07,23215.20
1761187943,271581.87,3.283734E+08,260613.75,24199.99,2.926100E+07,23223.01
1761187953,261478.97,3.309882E+08,260620.56,23300.00,2.949400E+07,23223.62
1761187963,277175.98,3.337599E+08,260749.90,24700.00,2.974100E+07,23235.15
1761187973,264837.13,3.364083E+08,260781.58,23600.01,2.997700E+07,23237.98
1761187983,239042.92,3.387987E+08,260614.36,21299.99,3.019000E+07,23223.07
1761187993,244639.03,3.412451E+08,260492.41,21800.00,3.040800E+07,23212.21
1761188003,223317.96,3.434783E+08,260210.79,19900.00,3.060700E+07,23187.12
1761188013,265966.01,3.461380E+08,260254.06,23700.00,3.084400E+07,23190.97
1761188023,265976.99,3.487977E+08,260296.77,23700.00,3.108100E+07,23194.77
1761188033,253619.98,3.513339E+08,260247.31,22600.00,3.130700E+07,23190.37
1761188043,241283.02,3.537468E+08,260107.87,21500.00,3.152200E+07,23177.94
1761188053,273817.09,3.564849E+08,260207.93,24400.01,3.176600E+07,23186.86
1761188063,269345.01,3.591784E+08,260274.15,24000.00,3.200600E+07,23192.75
1761188073,273818.00,3.619166E+08,260371.58,24400.00,3.225000E+07,23201.43
1761188083,264835.00,3.645649E+08,260403.46,23600.00,3.248600E+07,23204.28
1761188093,253620.90,3.671011E+08,260355.36,22599.99,3.271200E+07,23200.00
1761188103,261480.04,3.697159E+08,260363.28,23300.00,3.294500E+07,23200.70
1761188113,283919.05,3.725551E+08,260528.01,25300.00,3.319800E+07,23215.38
1761188123,264845.91,3.752036E+08,260557.99,23599.99,3.343400E+07,23218.05
1761188133,279436.06,3.779979E+08,260688.19,24900.01,3.368300E+07,23229.65
1761188143,244636.93,3.804443E+08,260578.25,21799.99,3.390100E+07,23219.86
1761188153,276090.03,3.832052E+08,260683.77,24600.00,3.414700E+07,23229.25
1761188163,255853.13,3.857637E+08,260651.13,22800.01,3.437500E+07,23226.35
1761188173,278301.95,3.885468E+08,260769.59,24800.00,3.462300E+07,23236.91
