Waiting for QuestDB to become ready...
Attempt 1: QuestDB not ready yet, sleeping 10s...
QuestDB is ready!
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1762124944,206483.68,2.064840E+06,206483.68,18399.97,1.840000E+05,18399.97
1762124954,384936.03,5.914200E+06,295709.78,34300.00,5.270000E+05,26349.98
1762124964,387153.00,9.785730E+06,326190.84,34500.00,8.720000E+05,29066.65
1762124974,378167.84,1.356741E+07,339185.09,33699.99,1.209000E+06,30224.99
1762124984,406263.16,1.763004E+07,352600.69,36200.01,1.571000E+06,31419.99
1762124994,392783.97,2.155788E+07,359297.91,35000.00,1.921000E+06,32016.66
1762125004,390530.03,2.546318E+07,363759.64,34800.00,2.269000E+06,32414.28
1762125014,448876.01,2.995194E+07,374399.18,40000.00,2.669000E+06,33362.49
1762125024,467960.79,3.463155E+07,384794.92,41699.98,3.086000E+06,34288.88
1762125034,456768.19,3.919923E+07,391992.24,40700.02,3.493000E+06,34929.99
1762125044,429777.86,4.349701E+07,395427.30,38299.99,3.876000E+06,35236.36
1762125054,437683.16,4.787384E+07,398948.62,39000.01,4.266000E+06,35550.00
1762125064,374819.00,5.162203E+07,397092.49,33400.00,4.600000E+06,35384.61
1762125074,368082.01,5.530285E+07,395020.32,32800.00,4.928000E+06,35200.00
1762125084,396155.98,5.926441E+07,395096.03,35300.00,5.281000E+06,35206.66
1762125094,350145.00,6.276586E+07,392286.59,31200.00,5.593000E+06,34956.25
1762125104,364693.01,6.641279E+07,390663.44,32500.00,5.918000E+06,34811.76
1762125114,350170.98,6.991450E+07,388413.86,31200.00,6.230000E+06,34611.11
1762125124,344506.02,7.335956E+07,386102.92,30700.00,6.537000E+06,34405.26
1762125134,370335.00,7.706291E+07,385314.52,33000.00,6.867000E+06,34335.00
1762125144,386048.00,8.092339E+07,385349.45,34400.00,7.211000E+06,34338.09
1762125154,421951.84,8.514291E+07,387013.19,37599.99,7.587000E+06,34486.36
1762125164,395024.15,8.909315E+07,387361.50,35200.01,7.939000E+06,34517.39
1762125174,452253.84,9.361569E+07,390065.35,40299.99,8.342000E+06,34758.33
1762125184,310867.01,9.672436E+07,386897.41,27700.00,8.619000E+06,34476.00
1762125194,340020.98,1.001246E+08,385094.47,30300.00,8.922000E+06,34315.38
1762125204,365836.13,1.037829E+08,384381.20,32600.01,9.248000E+06,34251.85
1762125214,301896.90,1.068019E+08,381435.33,26899.99,9.517000E+06,33989.28
1762125224,320948.12,1.100114E+08,379349.57,28600.01,9.803000E+06,33803.45
1762125234,423078.84,1.142422E+08,380807.21,37699.99,1.018000E+07,33933.33
1762125244,406240.16,1.183046E+08,381627.63,36200.01,1.054200E+07,34006.45
1762125254,488156.99,1.231861E+08,384956.67,43500.00,1.097700E+07,34303.12
1762125264,343404.00,1.266202E+08,383697.50,30600.00,1.128300E+07,34190.91
1762125274,423065.01,1.308508E+08,384855.37,37700.00,1.166000E+07,34294.12
1762125284,471354.98,1.355644E+08,387326.78,42000.00,1.208000E+07,34514.28
1762125294,432061.96,1.398850E+08,388569.43,38500.00,1.246500E+07,34625.00
1762125304,383800.05,1.437230E+08,388440.53,34200.00,1.280700E+07,34613.51
1762125314,371442.86,1.474374E+08,387993.22,33099.99,1.313800E+07,34573.68
1762125324,381581.13,1.512532E+08,387828.81,34000.01,1.347800E+07,34558.97
1762125334,434259.86,1.555958E+08,388989.58,38699.99,1.386500E+07,34662.50
1762125344,381561.14,1.594114E+08,388808.40,34000.01,1.420500E+07,34646.34
1762125354,334446.00,1.627559E+08,387514.06,29800.00,1.450300E+07,34530.95
1762125364,352332.00,1.662792E+08,386695.87,31400.00,1.481700E+07,34458.14
1762125374,417513.01,1.704544E+08,387396.26,37200.00,1.518900E+07,34520.45
1762125384,480319.81,1.752576E+08,389461.23,42799.98,1.561700E+07,34704.44
1762125394,553236.21,1.807899E+08,393021.55,49300.02,1.611000E+07,35021.74
1762125404,358008.88,1.843700E+08,392276.60,31899.99,1.642900E+07,34955.32
1762125414,368047.13,1.880505E+08,391771.82,32800.01,1.675700E+07,34910.42
1762125424,372610.00,1.917766E+08,391380.76,33200.00,1.708900E+07,34875.51
1762125434,421922.99,1.959958E+08,391991.61,37600.00,1.746500E+07,34930.00
1762125444,380453.00,1.998003E+08,391765.36,33900.00,1.780400E+07,34909.80
1762125454,380415.01,2.036045E+08,391547.08,33900.00,1.814300E+07,34890.38
1762125464,471344.00,2.083179E+08,393052.69,42000.00,1.856300E+07,35024.53
1762125474,489297.98,2.132109E+08,394835.01,43600.00,1.899900E+07,35183.33
1762125484,459011.01,2.178010E+08,396001.84,40900.00,1.940800E+07,35287.27
1762125494,454500.02,2.223460E+08,397046.45,40500.00,1.981300E+07,35380.36
1762125504,411857.98,2.264646E+08,397306.31,36700.00,2.018000E+07,35403.51
1762125514,352338.86,2.299880E+08,396531.00,31399.99,2.049400E+07,35334.48
1762125524,387179.01,2.338598E+08,396372.50,34500.00,2.083900E+07,35320.34
1762125534,378204.00,2.376418E+08,396069.69,33700.00,2.117600E+07,35293.33
1762125544,359112.14,2.412329E+08,395463.83,32000.01,2.149600E+07,35239.34
1762125554,378153.99,2.450145E+08,395184.64,33700.00,2.183300E+07,35214.52
1762125564,390548.99,2.489200E+08,395111.05,34800.00,2.218100E+07,35207.94
1762125574,368092.02,2.526009E+08,394688.88,32800.00,2.250900E+07,35170.31
1762125584,416361.84,2.567645E+08,395022.31,37099.99,2.288000E+07,35200.00
1762125594,485894.01,2.616234E+08,396399.16,43300.00,2.331300E+07,35322.73
1762125604,528587.19,2.669093E+08,398372.11,47100.02,2.378400E+07,35498.51
1762125614,411850.00,2.710278E+08,398570.31,36700.00,2.415100E+07,35516.18
1762125624,373717.00,2.747650E+08,398210.12,33300.00,2.448400E+07,35484.06
1762125634,369166.00,2.784566E+08,397795.21,32900.00,2.481300E+07,35447.14
1762125644,420847.00,2.826651E+08,398119.88,37500.00,2.518800E+07,35476.06
1762125654,383811.87,2.865032E+08,397921.16,34199.99,2.553000E+07,35458.33
1762125664,395022.12,2.904535E+08,397881.44,35200.01,2.588200E+07,35454.79
1762125674,498266.03,2.954361E+08,399237.99,44400.00,2.632600E+07,35575.67
1762125684,535273.99,3.007889E+08,401051.81,47700.00,2.680300E+07,35737.33
1762125694,472474.84,3.055136E+08,401991.58,42099.99,2.722400E+07,35821.05
1762125704,480343.16,3.103170E+08,403009.14,42800.01,2.765200E+07,35911.69
1762125714,418547.99,3.145025E+08,403208.35,37300.00,2.802500E+07,35929.49
1762125724,363582.88,3.181384E+08,402706.76,32399.99,2.834900E+07,35884.81
1762125734,296278.09,3.211011E+08,401376.40,26400.01,2.861300E+07,35766.25
1762125744,323228.00,3.243334E+08,400411.61,28800.00,2.890100E+07,35680.25
1762125754,354601.87,3.278794E+08,399852.95,31599.99,2.921700E+07,35630.49
1762125764,413020.17,3.320096E+08,400011.60,36800.01,2.958500E+07,35644.58
1762125774,378180.99,3.357914E+08,399751.71,33700.00,2.992200E+07,35621.43
1762125784,457829.83,3.403697E+08,400434.98,40799.98,3.033000E+07,35682.35
1762125794,470233.01,3.450721E+08,401246.58,41900.00,3.074900E+07,35754.65
1762125804,476928.15,3.498414E+08,402116.49,42500.01,3.117400E+07,35832.18
1762125814,610499.04,3.559463E+08,404484.47,54400.00,3.171800E+07,36043.18
1762125824,415244.00,3.600988E+08,404605.36,37000.00,3.208800E+07,36053.93
1762125834,426428.00,3.643631E+08,404847.84,38000.00,3.246800E+07,36075.55
1762125844,390552.01,3.682686E+08,404690.74,34800.00,3.281600E+07,36061.54
1762125854,403980.99,3.723084E+08,404683.03,36000.00,3.317600E+07,36060.87
1762125864,392757.98,3.762360E+08,404554.80,35000.00,3.352600E+07,36049.46
1762125874,402870.02,3.802647E+08,404536.88,35900.00,3.388500E+07,36047.87
1762125884,424185.98,3.845065E+08,404743.71,37800.00,3.426300E+07,36066.32
1762125894,469109.02,3.891976E+08,405414.18,41800.00,3.468100E+07,36126.04
1762125904,502763.98,3.942253E+08,406417.79,44800.00,3.512900E+07,36215.46
1762125914,428685.02,3.985121E+08,406645.00,38200.00,3.551100E+07,36235.71
1762125924,435422.99,4.028663E+08,406935.69,38800.00,3.589900E+07,36261.62
1762125934,356874.01,4.064351E+08,406435.07,31800.00,3.621700E+07,36217.00
1762125944,402859.99,4.104637E+08,406399.68,35900.00,3.657600E+07,36213.86
1762125954,408506.00,4.145487E+08,406420.33,36400.00,3.694000E+07,36215.69
1762125964,400659.99,4.185553E+08,406364.40,35700.00,3.729700E+07,36210.68
1762125974,408486.85,4.226402E+08,406384.81,36399.99,3.766100E+07,36212.50
1762125984,401738.02,4.266576E+08,406340.55,35800.00,3.801900E+07,36208.57
1762125994,373663.14,4.303942E+08,406032.28,33300.01,3.835200E+07,36181.13
1762126004,484811.01,4.352423E+08,406768.53,43200.00,3.878400E+07,36246.73
1762126014,481446.00,4.400568E+08,407459.99,42900.00,3.921300E+07,36308.33
1762126024,421952.00,4.442763E+08,407592.94,37600.00,3.958900E+07,36320.18
1762126034,359135.86,4.478677E+08,407152.42,31999.99,3.990900E+07,36280.91
1762126044,363595.14,4.515036E+08,406760.01,32400.01,4.023300E+07,36245.95
1762126054,379295.00,4.552966E+08,406514.79,33800.00,4.057100E+07,36224.11
1762126064,369231.99,4.589889E+08,406184.85,32900.00,4.090000E+07,36194.69
1762126074,410706.86,4.630960E+08,406224.52,36599.99,4.126600E+07,36198.25
1762126084,393930.15,4.670353E+08,406117.61,35100.01,4.161700E+07,36188.70
1762126094,519574.00,4.722310E+08,407095.68,46300.00,4.208000E+07,36275.86
1762126104,450022.99,4.767312E+08,407462.58,40100.00,4.248100E+07,36308.55
1762126114,418595.87,4.809172E+08,407556.93,37299.99,4.285400E+07,36316.95
1762126124,356828.12,4.844855E+08,407130.64,31800.01,4.317200E+07,36278.99
1762126134,379324.99,4.882787E+08,406898.93,33800.00,4.351000E+07,36258.33
1762126144,344515.00,4.917239E+08,406383.36,30700.00,4.381700E+07,36212.40
1762126154,418588.82,4.959098E+08,406483.40,37299.98,4.419000E+07,36221.31
1762126164,390537.17,4.998151E+08,406353.76,34800.02,4.453800E+07,36209.76
1762126174,382696.99,5.036421E+08,406162.98,34100.00,4.487900E+07,36192.74
1762126184,356862.88,5.072107E+08,405768.58,31799.99,4.519700E+07,36157.60
1762126194,435402.16,5.115648E+08,406003.77,38800.01,4.558500E+07,36178.57
1762126204,424193.99,5.158067E+08,406147.00,37800.00,4.596300E+07,36191.34
1762126214,536448.99,5.211712E+08,407164.98,47800.00,4.644100E+07,36282.03

Summary:
loaded 523584000 metrics in 1285.174sec with 8 workers (mean rate 407403.11 metrics/sec)
loaded 46656000 rows in 1285.174sec with 8 workers (mean rate 36303.25 rows/sec)
