Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761467334,506119.21,5.061210E+06,506119.21,45099.84,4.510000E+05,45099.84
1761467344,513979.02,1.020100E+07,510049.10,45800.00,9.090000E+05,45449.92
1761467354,519574.00,1.539674E+07,513224.07,46300.00,1.372000E+06,45733.28
1761467364,503882.77,2.043557E+07,510888.74,44899.98,1.821000E+06,45524.95
1761467374,518456.23,2.562013E+07,512402.24,46200.02,2.283000E+06,45659.97
1761467384,517345.01,3.079358E+07,513226.03,46100.00,2.744000E+06,45733.31
1761467394,512855.01,3.592213E+07,513173.03,45700.00,3.201000E+06,45728.55
1761467404,542043.97,4.134257E+07,516781.90,48300.00,3.684000E+06,46049.98
1761467414,556617.01,4.690874E+07,521208.02,49600.00,4.180000E+06,46444.43
1761467424,511747.00,5.202621E+07,520261.92,45600.00,4.636000E+06,46359.98
1761467434,536417.99,5.739039E+07,521730.65,47800.00,5.114000E+06,46490.89
1761467444,537535.02,6.276574E+07,523047.68,47900.00,5.593000E+06,46608.32
1761467454,536419.99,6.812994E+07,524076.32,47800.00,6.071000E+06,46699.99
1761467464,531944.77,7.344939E+07,524638.35,47399.98,6.545000E+06,46749.99
1761467474,538654.93,7.883594E+07,525572.79,47999.99,7.025000E+06,46833.32
1761467484,524080.00,8.407674E+07,525479.49,46700.00,7.492000E+06,46824.99
1761467494,549884.31,8.957558E+07,526915.07,49000.03,7.982000E+06,46952.93
1761467504,545399.97,9.502958E+07,527942.01,48600.00,8.468000E+06,47044.44
1761467514,508381.02,1.001134E+08,526912.48,45300.00,8.921000E+06,46952.62
1761467524,546517.99,1.055786E+08,527892.76,48700.00,9.408000E+06,47039.99
1761467534,546517.00,1.110437E+08,528779.63,48700.00,9.895000E+06,47119.04
1761467544,540925.76,1.164530E+08,529331.72,48199.98,1.037700E+07,47168.17
1761467554,540893.98,1.218619E+08,529834.43,48200.00,1.085900E+07,47213.04
1761467564,543163.26,1.272936E+08,530389.80,48400.02,1.134300E+07,47262.49
1761467574,545400.01,1.327476E+08,530990.21,48600.00,1.182900E+07,47315.99
1761467584,531943.00,1.380670E+08,531026.85,47400.00,1.230300E+07,47319.22
1761467594,556620.99,1.436332E+08,531974.78,49600.00,1.279900E+07,47403.70
1761467604,538653.01,1.490197E+08,532213.29,48000.00,1.327900E+07,47424.99
1761467614,513983.01,1.541596E+08,531584.66,45800.00,1.373700E+07,47368.96
1761467624,557736.99,1.597369E+08,532456.40,49700.00,1.423400E+07,47446.66
1761467634,517336.79,1.649103E+08,531968.67,46099.98,1.469500E+07,47403.22
1761467644,521839.43,1.701287E+08,531652.13,46499.68,1.516000E+07,47374.98
1761467654,555504.02,1.756837E+08,532374.91,49500.36,1.565500E+07,47439.39
1761467664,548757.02,1.811713E+08,532856.74,48900.00,1.614400E+07,47482.35
1761467674,551025.99,1.866816E+08,533375.86,49100.00,1.663500E+07,47528.57
1761467684,521843.01,1.919000E+08,533055.50,46500.00,1.710000E+07,47500.00
1761467694,548756.99,1.973876E+08,533479.87,48900.00,1.758900E+07,47537.83
1761467704,519574.03,2.025833E+08,533113.92,46300.00,1.805200E+07,47505.26
1761467714,534181.97,2.079251E+08,533141.31,47600.00,1.852800E+07,47507.69
1761467724,544281.01,2.133679E+08,533419.80,48500.00,1.901300E+07,47532.50
1761467734,552144.74,2.188894E+08,533876.51,49199.98,1.950500E+07,47573.17
1761467744,538655.26,2.242759E+08,533990.29,48000.02,1.998500E+07,47583.33
1761467754,528564.01,2.295616E+08,533864.10,47100.00,2.045600E+07,47572.09
1761467764,533054.99,2.348921E+08,533845.71,47500.00,2.093100E+07,47570.45
1761467774,531943.01,2.402116E+08,533803.42,47400.00,2.140500E+07,47566.66
1761467784,543165.00,2.456432E+08,534006.94,48400.00,2.188900E+07,47584.78
