Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761474690,494898.19,4.949000E+06,494898.19,44099.84,4.410000E+05,44099.84
1761474700,522938.99,1.017839E+07,508918.56,46600.00,9.070000E+05,45349.92
1761474710,540918.00,1.558757E+07,519585.03,48200.00,1.389000E+06,46299.94
1761474720,507236.01,2.065993E+07,516497.78,45200.00,1.841000E+06,46024.96
1761474730,520703.99,2.586697E+07,517339.02,46400.00,2.305000E+06,46099.97
1761474740,519596.99,3.106294E+07,517715.35,46300.00,2.768000E+06,46133.30
1761474750,534179.98,3.640474E+07,520067.44,47600.00,3.244000E+06,46342.83
1761474760,552147.03,4.192621E+07,524077.38,49200.00,3.736000E+06,46699.98
1761474770,547636.00,4.740257E+07,526695.01,48800.00,4.224000E+06,46933.31
1761474780,533063.97,5.273321E+07,527331.90,47500.00,4.699000E+06,46989.98
1761474790,546518.03,5.819839E+07,529076.10,48700.00,5.186000E+06,47145.44
1761474800,548754.73,6.368594E+07,530715.98,48899.98,5.675000E+06,47291.65
1761474810,544280.23,6.912874E+07,531759.39,48500.02,6.160000E+06,47384.60
1761474820,562247.03,7.475121E+07,533937.07,50100.00,6.661000E+06,47578.56
1761474830,545399.99,8.020521E+07,534701.27,48600.00,7.147000E+06,47646.65
1761474840,540892.00,8.561413E+07,535088.19,48200.00,7.629000E+06,47681.24
1761474850,556618.01,9.118031E+07,536354.65,49600.00,8.125000E+06,47794.11
1761474860,548789.99,9.666821E+07,537045.50,48900.00,8.614000E+06,47855.55
1761474870,524079.02,1.019090E+08,536363.05,46700.00,9.081000E+06,47794.73
1761474880,550994.00,1.074189E+08,537094.60,49100.00,9.572000E+06,47859.99
1761474890,545400.00,1.128729E+08,537490.10,48600.00,1.005800E+07,47895.23
1761474900,555499.98,1.184279E+08,538308.73,49500.00,1.055300E+07,47968.17
1761474910,538664.01,1.238146E+08,538324.17,48000.00,1.103300E+07,47969.56
1761474920,542034.74,1.292349E+08,538478.78,48299.98,1.151600E+07,47983.32
1761474930,527441.27,1.345093E+08,538037.28,47000.02,1.198600E+07,47943.99
1761474940,549904.97,1.400084E+08,538493.73,49000.00,1.247600E+07,47984.61
1761474950,555499.74,1.455634E+08,539123.58,49499.98,1.297100E+07,48040.73
1761474960,543161.26,1.509950E+08,539267.79,48400.02,1.345500E+07,48053.57
1761474970,549874.02,1.564937E+08,539633.52,49000.00,1.394500E+07,48086.20
1761474980,544283.00,1.619366E+08,539788.50,48500.00,1.443000E+07,48099.99
1761474990,549873.99,1.674353E+08,540113.84,49000.00,1.492000E+07,48129.03
1761475000,549907.98,1.729344E+08,540419.91,49000.00,1.541000E+07,48156.24
1761475010,552119.01,1.784556E+08,540774.42,49200.00,1.590200E+07,48187.87
1761475020,555500.00,1.840106E+08,541207.53,49500.00,1.639700E+07,48226.47
1761475030,530816.01,1.893187E+08,540910.63,47300.00,1.687000E+07,48199.99
1761475040,554383.01,1.948626E+08,541284.86,49400.00,1.736400E+07,48233.33
1761475050,535299.73,2.002156E+08,541123.10,47699.98,1.784100E+07,48218.91
1761475060,546517.26,2.056807E+08,541265.05,48700.02,1.832800E+07,48231.57
1761475070,540925.97,2.110900E+08,541256.36,48200.00,1.881000E+07,48230.76
1761475080,549873.75,2.165887E+08,541471.79,48999.98,1.930000E+07,48249.99
1761475090,547639.28,2.220651E+08,541622.22,48800.03,1.978800E+07,48263.41
1761475100,520725.98,2.272724E+08,541124.69,46400.00,2.025200E+07,48219.04
1761475110,539774.02,2.326701E+08,541093.28,48100.00,2.073300E+07,48216.27
1761475120,545399.98,2.381241E+08,541191.16,48600.00,2.121900E+07,48225.00
1761475130,545398.81,2.435781E+08,541284.66,48599.98,2.170500E+07,48233.33
1761475140,548788.21,2.490660E+08,541447.78,48900.02,2.219400E+07,48247.82
1761475150,553240.00,2.545984E+08,541698.68,49300.00,2.268700E+07,48270.21
1761475160,533054.00,2.599289E+08,541518.58,47500.00,2.316200E+07,48254.16
1761475170,538664.01,2.653156E+08,541460.33,48000.00,2.364200E+07,48248.98
1761475180,548780.98,2.708034E+08,541606.74,48900.00,2.413100E+07,48262.00
1761475190,555500.02,2.763584E+08,541879.16,49500.00,2.462600E+07,48286.27
1761475200,544278.99,2.818012E+08,541925.31,48500.00,2.511100E+07,48290.38
1761475210,545401.99,2.872552E+08,541990.91,48599.91,2.559700E+07,48296.22
1761475220,530791.98,2.925631E+08,541783.52,47300.09,2.607000E+07,48277.77
1761475230,543162.01,2.979947E+08,541808.58,48400.00,2.655400E+07,48280.00
1761475240,533064.73,3.033254E+08,541652.44,47499.98,2.702900E+07,48266.07
1761475250,545400.28,3.087794E+08,541718.19,48600.02,2.751500E+07,48271.93
1761475260,549873.98,3.142781E+08,541858.81,49000.00,2.800500E+07,48284.48
1761475270,551025.98,3.197884E+08,542014.19,49100.00,2.849600E+07,48298.30
1761475280,521819.03,3.250066E+08,541677.60,46500.00,2.896100E+07,48268.33
