Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761490315,501598.44,5.016130E+06,501598.44,44698.70,4.470000E+05,44698.70
1761490325,521846.77,1.023456E+07,511722.42,46500.34,9.120000E+05,45599.50
1761490335,518457.03,1.541913E+07,513967.27,46200.00,1.374000E+06,45799.67
1761490345,492660.97,2.034574E+07,508640.73,43900.00,1.813000E+06,45324.75
1761490355,512864.76,2.547439E+07,509485.53,45699.98,2.270000E+06,45399.80
1761490365,510592.14,3.058031E+07,509669.96,45500.01,2.725000E+06,45416.50
1761490375,508390.10,3.566421E+07,509487.13,45300.01,3.178000E+06,45399.86
1761490385,538652.99,4.105074E+07,513132.85,48000.00,3.658000E+06,45724.88
1761490395,552146.89,4.657221E+07,517467.73,49199.99,4.150000E+06,46111.00
1761490405,546518.12,5.203739E+07,520372.76,48700.01,4.637000E+06,46369.90
1761490415,546517.85,5.750257E+07,522749.59,48699.99,5.124000E+06,46581.72
1761490425,530816.15,6.281073E+07,523421.80,47300.01,5.597000E+06,46641.58
1761490435,528566.01,6.809639E+07,523817.51,47100.00,6.068000E+06,46676.84
1761490445,538654.98,7.348294E+07,524877.32,48000.00,6.548000E+06,46771.36
1761490455,552144.99,7.900439E+07,526695.17,49200.00,7.040000E+06,46933.27
1761490465,547635.01,8.448074E+07,528003.90,48800.00,7.528000E+06,47049.94
1761490475,529683.69,8.977758E+07,528102.72,47199.97,8.000000E+06,47058.76
1761490485,548781.07,9.526539E+07,529251.51,48900.01,8.489000E+06,47161.05
1761490495,528555.13,1.005509E+08,529214.86,47100.01,8.960000E+06,47157.84
1761490505,535300.10,1.059039E+08,529519.12,47700.01,9.437000E+06,47184.95
1761490515,551027.02,1.114142E+08,530543.31,49100.00,9.928000E+06,47276.14
1761490525,534178.98,1.167560E+08,530708.56,47600.00,1.040400E+07,47290.86
1761490535,536421.02,1.221202E+08,530956.93,47800.00,1.088200E+07,47313.00
1761490545,547636.00,1.275966E+08,531651.89,48800.00,1.137000E+07,47374.96
1761490555,542042.99,1.330170E+08,532067.54,48300.00,1.185300E+07,47411.96
1761490565,536421.01,1.383812E+08,532234.98,47800.00,1.233100E+07,47426.88
1761490575,545399.73,1.438352E+08,532722.56,48599.98,1.281700E+07,47470.33
1761490585,544279.25,1.492780E+08,533135.30,48500.02,1.330200E+07,47507.11
1761490595,538657.02,1.546646E+08,533325.70,48000.00,1.378200E+07,47524.10
1761490605,544257.98,1.601072E+08,533690.11,48500.00,1.426700E+07,47556.63
1761490615,530815.99,1.654153E+08,533597.40,47300.00,1.474000E+07,47548.35
1761490625,540926.01,1.708246E+08,533826.42,48200.00,1.522200E+07,47568.72
1761490635,545400.02,1.762786E+08,534177.13,48600.00,1.570800E+07,47599.97
1761490645,549873.97,1.817773E+08,534638.80,49000.00,1.619800E+07,47641.15
1761490655,543163.01,1.872089E+08,534882.35,48400.00,1.668200E+07,47662.83
1761490665,542045.00,1.926294E+08,535081.31,48300.00,1.716500E+07,47680.53
1761490675,533060.99,1.979600E+08,535026.71,47500.00,1.764000E+07,47675.65
1761490685,554358.01,2.035036E+08,535535.43,49400.00,1.813400E+07,47721.03
1761490695,530816.01,2.088117E+08,535414.42,47300.00,1.860700E+07,47710.23
1761490705,543165.00,2.142434E+08,535608.18,48400.00,1.909100E+07,47727.47
1761490715,542019.00,2.196636E+08,535764.54,48300.00,1.957400E+07,47741.44
1761490725,527463.00,2.249382E+08,535566.89,47000.00,2.004400E+07,47723.78
1761490735,536417.99,2.303024E+08,535586.68,47800.00,2.052200E+07,47725.56
1761490745,538655.02,2.356889E+08,535656.42,48000.00,2.100200E+07,47731.79
1761490755,528563.99,2.409746E+08,535498.81,47100.00,2.147300E+07,47717.75
1761490765,546541.76,2.464400E+08,535738.87,48699.98,2.196000E+07,47739.11
1761490775,544258.23,2.518826E+08,535920.13,48500.02,2.244500E+07,47755.30
1761490785,530816.01,2.571907E+08,535813.80,47300.00,2.291800E+07,47745.81
1761490795,538657.00,2.625773E+08,535871.82,48000.00,2.339800E+07,47751.00
1761490805,544282.00,2.680201E+08,536040.03,48500.00,2.388300E+07,47765.98
1761490815,557745.02,2.735976E+08,536465.61,49700.00,2.438000E+07,47803.90
1761490825,538680.96,2.789844E+08,536508.22,48000.00,2.486000E+07,47807.67
1761490835,533061.02,2.843150E+08,536443.18,47500.00,2.533500E+07,47801.87
1761490845,558852.96,2.899036E+08,536858.17,49799.64,2.583300E+07,47838.86
