Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761487186,503844.35,5.038580E+06,503844.35,44898.78,4.490000E+05,44898.78
1761487196,512854.69,1.016713E+07,508349.46,45699.97,9.060000E+05,45299.37
1761487206,519605.32,1.536318E+07,512101.38,46300.03,1.369000E+06,45632.92
1761487216,507238.73,2.043557E+07,510885.72,45199.98,1.821000E+06,45524.69
1761487226,516217.27,2.559774E+07,511952.03,46000.02,2.281000E+06,45619.75
1761487236,512864.97,3.072639E+07,512104.18,45700.00,2.738000E+06,45633.13
1761487246,537538.00,3.610177E+07,515737.57,47900.00,3.217000E+06,45956.96
1761487256,547636.02,4.157813E+07,519724.86,48800.00,3.705000E+06,46312.34
1761487266,533063.98,4.690877E+07,521206.98,47500.00,4.180000E+06,46444.30
1761487276,533062.01,5.223939E+07,522392.48,47500.00,4.655000E+06,46549.87
1761487286,544281.76,5.768221E+07,524382.41,48499.98,5.140000E+06,46727.16
1761487296,539773.26,6.307994E+07,525664.98,48100.02,5.621000E+06,46841.56
1761487306,531944.99,6.839939E+07,526148.06,47400.00,6.095000E+06,46884.52
1761487316,542018.98,7.381958E+07,527281.69,48300.00,6.578000E+06,46985.62
1761487326,533078.03,7.915036E+07,527668.11,47500.00,7.053000E+06,47019.91
1761487336,535276.98,8.450313E+07,528143.67,47700.00,7.530000E+06,47062.42
1761487346,535299.03,8.985612E+07,528564.57,47700.00,8.007000E+06,47099.92
1761487356,543161.99,9.528774E+07,529375.54,48400.00,8.491000E+06,47172.15
1761487366,520726.01,1.004950E+08,528920.30,46400.00,8.955000E+06,47131.51
1761487376,538656.75,1.058816E+08,529407.12,47999.98,9.435000E+06,47174.93
1761487386,549873.94,1.113803E+08,530381.73,49000.00,9.925000E+06,47261.84
1761487396,547669.30,1.168570E+08,531167.53,48800.03,1.041300E+07,47331.76
1761487406,536421.01,1.222212E+08,531395.94,47800.00,1.089100E+07,47352.12
1761487416,545399.99,1.276752E+08,531979.44,48600.00,1.137700E+07,47404.11
1761487426,555500.03,1.332302E+08,532920.26,49500.00,1.187200E+07,47487.95
1761487436,530791.98,1.385381E+08,532838.41,47300.00,1.234500E+07,47480.72
1761487446,547645.00,1.440146E+08,533386.80,48800.00,1.283300E+07,47529.58
1761487456,552135.98,1.495359E+08,534056.41,49200.00,1.332500E+07,47589.24
1761487466,535300.02,1.548889E+08,534099.29,47700.00,1.380200E+07,47593.06
1761487476,552145.01,1.604104E+08,534700.82,49200.00,1.429400E+07,47646.62
1761487486,542019.00,1.658306E+08,534936.89,48300.00,1.477700E+07,47667.70
1761487496,519598.99,1.710266E+08,534457.58,46300.00,1.524000E+07,47624.96
1761487506,556616.99,1.765927E+08,535129.08,49600.00,1.573600E+07,47684.81
1761487516,546520.01,1.820579E+08,535464.10,48700.00,1.622300E+07,47714.67
1761487526,530827.01,1.873662E+08,535331.61,47300.00,1.669600E+07,47702.82
1761487536,544257.99,1.928088E+08,535579.57,48500.00,1.718100E+07,47724.96
1761487546,546538.99,1.982742E+08,535875.77,48700.00,1.766800E+07,47751.32
1761487556,554381.98,2.038180E+08,536362.77,49400.00,1.816200E+07,47794.70
1761487566,536418.01,2.091822E+08,536364.19,47800.00,1.864000E+07,47794.84
1761487576,548755.76,2.146697E+08,536673.98,48899.98,1.912900E+07,47822.47
1761487586,544283.24,2.201126E+08,536859.57,48500.02,1.961400E+07,47838.99
1761487596,526317.02,2.253757E+08,536608.56,46900.00,2.008300E+07,47816.64
1761487606,546519.98,2.308409E+08,536839.06,48700.00,2.057000E+07,47837.18
1761487616,539806.01,2.362390E+08,536906.49,48100.00,2.105100E+07,47843.15
1761487626,527439.00,2.415134E+08,536696.10,47000.00,2.152100E+07,47824.42
1761487636,559974.00,2.471131E+08,537202.14,49900.00,2.202000E+07,47869.54
1761487646,548787.02,2.526010E+08,537448.63,48900.00,2.250900E+07,47891.46
1761487656,544253.86,2.580436E+08,537590.40,48499.63,2.299400E+07,47904.13
1761487666,565604.28,2.636996E+08,538162.11,50400.38,2.349800E+07,47955.08
1761487676,524073.02,2.689403E+08,537880.33,46700.00,2.396500E+07,47929.97
1761487686,533061.99,2.742709E+08,537785.85,47500.00,2.444000E+07,47921.54
1761487696,557737.05,2.798483E+08,538169.53,49699.92,2.493700E+07,47955.74
1761487706,533063.90,2.851789E+08,538073.20,47500.08,2.541200E+07,47947.15
1761487716,533063.01,2.905096E+08,537980.42,47500.00,2.588700E+07,47938.86
1761487726,552142.99,2.960310E+08,538237.92,49200.00,2.637900E+07,47961.79
1761487736,535300.01,3.013840E+08,538185.45,47700.00,2.685600E+07,47957.12
1761487746,544257.98,3.068266E+08,538291.99,48500.00,2.734100E+07,47966.64
1761487756,548781.00,3.123144E+08,538472.83,48900.00,2.783000E+07,47982.74
1761487766,546517.89,3.177796E+08,538609.19,48699.99,2.831700E+07,47994.89
1761487776,540901.11,3.231886E+08,538647.39,48200.01,2.879900E+07,47998.31
1761487786,558878.01,3.287774E+08,538979.04,49800.00,2.929700E+07,48027.85
1761487796,554385.01,3.343212E+08,539227.52,49400.00,2.979100E+07,48049.98
1761487806,540891.97,3.397301E+08,539253.94,48200.00,3.027300E+07,48052.36
1761487816,549908.02,3.452292E+08,539420.41,49000.00,3.076300E+07,48067.17
1761487826,540892.00,3.506381E+08,539443.05,48200.00,3.124500E+07,48069.21
1761487836,539807.99,3.560362E+08,539448.58,48100.00,3.172600E+07,48069.68
