Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761436312,433156.76,4.331580E+06,433156.76,38599.89,3.860000E+05,38599.89
1761436322,424200.03,8.573580E+06,428678.40,37800.00,7.640000E+05,38199.95
1761436332,425342.00,1.282700E+07,427566.27,37900.00,1.143000E+06,38099.96
1761436342,429793.99,1.712494E+07,428123.20,38300.00,1.526000E+06,38149.97
1761436352,432059.88,2.144557E+07,428910.54,38499.72,1.911000E+06,38219.92
1761436362,438777.16,2.583331E+07,430554.96,39100.28,2.302000E+06,38366.65
1761436372,419726.00,3.003057E+07,429007.97,37400.00,2.676000E+06,38228.56
1761436382,425317.00,3.428374E+07,428546.60,37900.00,3.055000E+06,38187.49
1761436392,455619.99,3.883994E+07,431554.75,40600.00,3.461000E+06,38455.54
1761436402,446637.01,4.330631E+07,433062.98,39800.00,3.859000E+06,38589.99
1761436412,419725.00,4.750356E+07,431850.43,37400.00,4.233000E+06,38481.81
1761436422,397256.99,5.147613E+07,428967.65,35400.00,4.587000E+06,38224.99
1761436432,404000.02,5.551613E+07,427047.06,36000.00,4.947000E+06,38053.84
1761436442,391663.79,5.943277E+07,424519.69,34899.98,5.296000E+06,37828.56
1761436452,402879.22,6.346156E+07,423076.99,35900.02,5.655000E+06,37699.99
1761436462,457856.97,6.804013E+07,425250.74,40800.00,6.063000E+06,37893.74
1761436472,416339.01,7.220352E+07,424726.52,37100.00,6.434000E+06,37847.05
1761436482,398405.02,7.618757E+07,423264.21,35500.00,6.789000E+06,37716.66
1761436492,395020.00,8.013777E+07,421777.68,35200.00,7.141000E+06,37584.21
1761436502,420843.99,8.434621E+07,421730.99,37500.00,7.516000E+06,37579.99
1761436512,452237.00,8.886858E+07,423183.66,40300.00,7.919000E+06,37709.52
1761436522,447781.00,9.334639E+07,424301.72,39900.00,8.318000E+06,37809.09
1761436532,415218.00,9.749857E+07,423906.77,37000.00,8.688000E+06,37773.91
1761436542,410742.99,1.016060E+08,423358.28,36600.00,9.054000E+06,37725.00
1761436552,401730.97,1.056233E+08,422493.19,35800.00,9.412000E+06,37648.00
1761436562,423081.94,1.098541E+08,422515.84,37699.99,9.789000E+06,37650.00
1761436572,447787.11,1.143320E+08,423451.81,39900.01,1.018800E+07,37733.33
1761436582,445520.98,1.187872E+08,424239.99,39700.00,1.058500E+07,37803.57
1761436592,415216.93,1.229394E+08,423928.85,36999.99,1.095500E+07,37775.86
1761436602,395019.06,1.268896E+08,422965.19,35200.01,1.130700E+07,37690.00
1761436612,411864.01,1.310082E+08,422607.09,36700.00,1.167400E+07,37658.06
1761436622,395018.01,1.349584E+08,421744.93,35200.00,1.202600E+07,37581.25
1761436632,443279.00,1.393912E+08,422397.48,39500.00,1.242100E+07,37639.39
1761436642,455620.96,1.439474E+08,423374.64,40600.00,1.282700E+07,37726.47
1761436652,425317.83,1.482006E+08,423430.16,37899.98,1.320600E+07,37731.43
