Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761446977,418565.07,4.185740E+06,418565.07,37299.20,3.730000E+05,37299.20
1761446987,448883.99,8.674580E+06,433724.37,40000.00,7.730000E+05,38649.59
1761446997,435441.99,1.302900E+07,434296.91,38800.00,1.161000E+06,38699.72
1761447007,427557.03,1.730457E+07,432611.95,38100.00,1.542000E+06,38549.79
1761447017,446636.98,2.177094E+07,435416.94,39800.00,1.940000E+06,38799.83
1761447027,439926.79,2.617021E+07,436168.58,39199.98,2.332000E+06,38866.53
1761447037,416336.19,3.033357E+07,433335.39,37100.02,2.703000E+06,38614.17
1761447047,433182.00,3.466539E+07,433316.22,38600.00,3.089000E+06,38612.40
1761447057,456735.00,3.923274E+07,435918.30,40700.00,3.496000E+06,38844.35
1761447067,436539.01,4.359813E+07,435980.37,38900.00,3.885000E+06,38849.92
1761447077,429826.01,4.789639E+07,435420.88,38300.00,4.268000E+06,38799.92
1761447087,395017.80,5.184657E+07,432053.96,35199.98,4.620000E+06,38499.93
1761447097,400643.18,5.585300E+07,429637.75,35700.02,4.977000E+06,38284.55
1761447107,415220.83,6.000521E+07,428607.98,36999.98,5.347000E+06,38192.80
1761447117,393900.17,6.394421E+07,426294.13,35100.01,5.698000E+06,37986.61
1761447127,434300.01,6.828721E+07,426794.49,38700.00,6.085000E+06,38031.20
1761447137,423079.00,7.251800E+07,426575.93,37700.00,6.462000E+06,38011.72
1761447147,395020.99,7.646821E+07,424822.88,35200.00,6.814000E+06,37855.51
1761447157,382678.98,8.029500E+07,422604.79,34100.00,7.155000E+06,37657.85
1761447167,444400.02,8.473900E+07,423694.55,39600.00,7.551000E+06,37754.96
1761447177,465720.98,8.939621E+07,425695.80,41500.00,7.966000E+06,37933.29
1761447187,454499.91,9.394121E+07,427005.08,40499.99,8.371000E+06,38049.96
1761447197,444400.12,9.838521E+07,427761.39,39600.01,8.767000E+06,38117.36
1761447207,407353.01,1.024587E+08,426911.04,36300.00,9.130000E+06,38041.63
1761447217,397256.99,1.064313E+08,425724.88,35400.00,9.484000E+06,37935.97
1761447227,417489.80,1.106062E+08,425408.14,37199.98,9.856000E+06,37907.66
1761447237,453379.22,1.151400E+08,426444.11,40400.02,1.026000E+07,37999.97
1761447247,457856.80,1.197186E+08,427565.99,40799.98,1.066800E+07,38099.97
1761447257,429801.18,1.240166E+08,427643.06,38300.02,1.105100E+07,38106.87
1761447267,401756.01,1.280341E+08,426780.16,35800.00,1.140900E+07,38029.97
1761447277,395017.00,1.319843E+08,425755.55,35200.00,1.176100E+07,37938.68
1761447287,424208.82,1.362264E+08,425707.21,37799.98,1.213900E+07,37934.35
1761447297,439917.18,1.406256E+08,426137.82,39200.02,1.253100E+07,37972.70
1761447307,460101.00,1.452266E+08,427136.73,41000.00,1.294100E+07,38061.74
1761447317,430935.99,1.495359E+08,427245.28,38400.00,1.332500E+07,38071.41
1761447327,399527.01,1.535312E+08,426475.33,35600.00,1.368100E+07,38002.76
1761447337,410709.99,1.576383E+08,426049.24,36600.00,1.404700E+07,37964.84
1761447347,441043.02,1.620487E+08,426443.81,39300.00,1.444000E+07,37999.98
1761447357,442163.98,1.664704E+08,426846.89,39400.00,1.483400E+07,38035.88
1761447367,449992.99,1.709703E+08,427425.55,40100.00,1.523500E+07,38087.48
1761447377,434309.01,1.753134E+08,427593.44,38700.00,1.562200E+07,38102.42
1761447387,389417.02,1.792076E+08,426684.47,34700.00,1.596900E+07,38021.41
1761447397,412978.99,1.833374E+08,426365.74,36800.00,1.633700E+07,37993.00
1761447407,392785.00,1.872652E+08,425602.54,35000.00,1.668700E+07,37924.98
1761447417,388272.98,1.911479E+08,424773.00,34600.00,1.703300E+07,37851.09
1761447427,433179.77,1.954797E+08,424955.75,38599.98,1.741900E+07,37867.37
1761447437,433183.24,1.998116E+08,425130.81,38600.02,1.780500E+07,37882.96
1761447447,398374.00,2.037953E+08,424573.37,35500.00,1.816000E+07,37833.32
1761447457,439926.01,2.081946E+08,424886.69,39200.00,1.855200E+07,37861.21
1761447467,454499.97,2.127396E+08,425478.96,40500.00,1.895700E+07,37913.98
1761447477,443281.02,2.171724E+08,425828.02,39500.00,1.935200E+07,37945.08
1761447487,439893.02,2.215713E+08,426098.50,39200.00,1.974400E+07,37969.22
1761447497,439927.97,2.259706E+08,426359.43,39200.00,2.013600E+07,37992.44
1761447507,397253.87,2.299431E+08,425820.44,35399.99,2.049000E+07,37944.43
1761447517,396145.14,2.339046E+08,425280.89,35300.01,2.084300E+07,37896.35
1761447527,398398.94,2.378886E+08,424800.85,35499.99,2.119800E+07,37853.56
1761447537,406237.07,2.419509E+08,424475.17,36200.01,2.156000E+07,37824.55
1761447547,410744.75,2.460584E+08,424238.44,36599.98,2.192600E+07,37803.43
1761447557,444397.28,2.505024E+08,424580.12,39600.02,2.232200E+07,37833.88
1761447567,419695.01,2.546993E+08,424498.70,37400.00,2.269600E+07,37826.65
1761447577,448907.98,2.591884E+08,424898.85,40000.00,2.309600E+07,37862.28
1761447587,447754.01,2.636659E+08,425267.48,39900.00,2.349500E+07,37895.15
1761447597,445519.84,2.681211E+08,425588.95,39699.99,2.389200E+07,37923.80
1761447607,447787.05,2.725990E+08,425935.79,39900.00,2.429100E+07,37954.67
1761447617,441013.11,2.770091E+08,426167.75,39300.01,2.468400E+07,37975.37
1761447627,411863.82,2.811278E+08,425951.03,36699.98,2.505100E+07,37956.05
1761447637,406236.18,2.851901E+08,425656.77,36200.02,2.541300E+07,37929.84
1761447647,424200.02,2.894321E+08,425635.35,37800.00,2.579100E+07,37927.93
1761447657,455617.98,2.939883E+08,426069.88,40600.00,2.619700E+07,37966.65
1761447667,436569.01,2.983540E+08,426219.87,38900.00,2.658600E+07,37979.99
1761447677,430913.00,3.026631E+08,426285.97,38400.00,2.697000E+07,37985.90
1761447687,393900.00,3.066021E+08,425836.17,35100.00,2.732100E+07,37945.82
1761447697,408507.99,3.106872E+08,425598.79,36400.00,2.768500E+07,37924.65
1761447707,402879.01,3.147160E+08,425291.77,35900.00,2.804400E+07,37897.29
1761447717,447756.99,3.191936E+08,425591.31,39900.00,2.844300E+07,37923.99
1761447727,463479.00,3.238284E+08,426089.83,41300.00,2.885600E+07,37968.41
1761447737,418576.99,3.280141E+08,425992.26,37300.00,2.922900E+07,37959.73
1761447747,393900.01,3.319531E+08,425580.82,35100.00,2.958000E+07,37923.07
1761447757,393900.02,3.358921E+08,425179.80,35100.00,2.993100E+07,37887.33
1761447767,426445.00,3.401566E+08,425195.61,38000.00,3.031100E+07,37888.74
1761447777,448898.99,3.446456E+08,425488.25,40000.00,3.071100E+07,37914.80
1761447787,444400.00,3.490896E+08,425718.88,39600.00,3.110700E+07,37935.36
1761447797,429801.01,3.533876E+08,425768.06,38300.00,3.149000E+07,37939.75
1761447807,398398.99,3.573716E+08,425442.24,35500.00,3.184500E+07,37910.70
1761447817,419701.00,3.615686E+08,425374.69,37400.00,3.221900E+07,37904.70
1761447827,465741.84,3.662260E+08,425844.08,41499.99,3.263400E+07,37946.50
1761447837,443258.16,3.706586E+08,426044.24,39500.01,3.302900E+07,37964.36
1761447847,454499.99,3.752036E+08,426367.60,40500.00,3.343400E+07,37993.17
1761447857,421955.00,3.794231E+08,426318.02,37600.00,3.381000E+07,37988.75
1761447867,409625.99,3.835194E+08,426132.55,36500.00,3.417500E+07,37972.21
1761447877,384918.02,3.873686E+08,425679.65,34300.00,3.451800E+07,37931.86
1761447887,408474.00,3.914533E+08,425492.63,36400.00,3.488200E+07,37915.21
1761447897,387186.97,3.953252E+08,425080.74,34500.00,3.522700E+07,37878.49
1761447907,406239.02,3.993876E+08,424880.30,36200.00,3.558900E+07,37860.63
1761447917,396137.00,4.033489E+08,424577.74,35300.00,3.594200E+07,37833.68
1761447927,434300.00,4.076919E+08,424679.01,38700.00,3.632900E+07,37842.70
1761447937,445519.01,4.121471E+08,424893.85,39700.00,3.672600E+07,37861.85
1761447947,475827.00,4.169054E+08,425413.58,42400.00,3.715000E+07,37908.16
1761447957,436559.98,4.212710E+08,425526.17,38900.00,3.753900E+07,37918.17
1761447967,442131.03,4.256923E+08,425692.22,39400.00,3.793300E+07,37932.99
1761447977,438807.98,4.300804E+08,425822.08,39100.00,3.832400E+07,37944.55
1761447987,414100.00,4.342214E+08,425707.16,36900.00,3.869300E+07,37934.31
1761447997,443282.00,4.386542E+08,425877.79,39500.00,3.908800E+07,37949.51
1761448007,461210.01,4.432663E+08,426217.52,41100.00,3.949900E+07,37979.80
1761448017,446668.89,4.477330E+08,426412.29,39799.99,3.989700E+07,37997.14
1761448027,441012.11,4.521431E+08,426550.03,39300.01,4.029000E+07,38009.43
1761448037,437688.00,4.565200E+08,426654.12,39000.00,4.068000E+07,38018.68
1761448047,393879.01,4.604588E+08,426350.65,35100.00,4.103100E+07,37991.66
1761448057,405142.00,4.645102E+08,426156.07,36100.00,4.139200E+07,37974.30
1761448067,391636.99,4.684266E+08,425842.26,34900.00,4.174100E+07,37946.36
1761448077,426439.02,4.726910E+08,425847.64,38000.00,4.212100E+07,37946.84
1761448087,445542.00,4.771464E+08,426023.48,39700.00,4.251800E+07,37962.49
1761448097,451119.00,4.816576E+08,426245.57,40200.00,4.292000E+07,37982.29
1761448107,408498.99,4.857426E+08,426089.89,36400.00,4.328400E+07,37968.41
1761448117,396137.00,4.897039E+08,425829.43,35300.00,4.363700E+07,37945.21
1761448127,464599.83,4.943499E+08,426163.66,41399.98,4.405100E+07,37974.99
1761448137,451142.77,4.988614E+08,426377.16,40199.80,4.445300E+07,37994.01
1761448147,443281.35,5.032942E+08,426520.41,39500.21,4.484800E+07,38006.77
1761448157,423082.01,5.075250E+08,426491.52,37700.00,4.522500E+07,38004.19
1761448167,400612.99,5.115311E+08,426275.87,35700.00,4.558200E+07,37984.99
1761448177,408508.02,5.156162E+08,426129.02,36400.00,4.594600E+07,37971.89
1761448187,405117.99,5.196674E+08,425956.80,36100.00,4.630700E+07,37956.55

Summary:
loaded 523584000 metrics in 1229.668sec with 8 workers (mean rate 425792.88 metrics/sec)
loaded 46656000 rows in 1229.668sec with 8 workers (mean rate 37941.94 rows/sec)
