Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761449622,513956.18,5.139580E+06,513956.18,45799.84,4.580000E+05,45799.84
1761449632,531936.01,1.045894E+07,522946.08,47400.00,9.320000E+05,46599.92
1761449642,528564.00,1.574458E+07,524818.72,47100.00,1.403000E+06,46766.61
1761449652,512854.87,2.087313E+07,521827.76,45699.99,1.860000E+06,46499.96
1761449662,516218.13,2.603531E+07,520705.83,46000.01,2.320000E+06,46399.97
1761449672,537548.01,3.141079E+07,523512.86,47900.00,2.799000E+06,46649.97
1761449682,551015.00,3.692094E+07,527441.74,49100.00,3.290000E+06,46999.98
1761449692,551026.99,4.243121E+07,530389.89,49100.00,3.781000E+06,47262.48
1761449702,555500.00,4.798621E+07,533179.90,49500.00,4.276000E+06,47511.09
1761449712,537535.98,5.336157E+07,533615.51,47900.00,4.755000E+06,47549.98
1761449722,547637.02,5.883794E+07,534890.19,48800.00,5.243000E+06,47663.62
1761449732,542045.00,6.425839E+07,535486.43,48300.00,5.726000E+06,47716.65
1761449742,548755.00,6.974594E+07,536507.09,48900.00,6.215000E+06,47807.68
1761449752,548763.71,7.523358E+07,537382.56,48899.97,6.704000E+06,47885.70
1761449762,548781.29,8.072139E+07,538142.47,48900.03,7.193000E+06,47953.32
1761449772,548754.99,8.620894E+07,538805.76,48900.00,7.682000E+06,48012.49
1761449782,552145.03,9.173039E+07,539590.42,49200.00,8.174000E+06,48082.34
1761449792,550991.98,9.724031E+07,540223.84,49100.00,8.665000E+06,48138.88
1761449802,529708.00,1.025374E+08,539670.37,47200.00,9.137000E+06,48089.46
1761449812,540891.99,1.079463E+08,539731.45,48200.00,9.619000E+06,48094.99
1761449822,537568.99,1.133220E+08,539628.48,47900.00,1.009800E+07,48085.71
1761449832,564457.75,1.189666E+08,540757.08,50299.98,1.060100E+07,48186.35
1761449842,537563.26,1.243422E+08,540618.22,47900.02,1.108000E+07,48173.91
1761449852,544278.99,1.297850E+08,540770.75,48500.00,1.156500E+07,48187.49
1761449862,558857.00,1.353736E+08,541494.20,49800.00,1.206300E+07,48251.99
1761449872,547637.01,1.408499E+08,541730.47,48800.00,1.255100E+07,48273.07
1761449882,556618.99,1.464161E+08,542281.89,49600.00,1.304700E+07,48322.22
1761449892,549907.98,1.519152E+08,542554.25,49000.00,1.353700E+07,48346.42
1761449902,555500.02,1.574702E+08,543000.66,49500.00,1.403200E+07,48386.20
1761449912,529672.98,1.627669E+08,542556.40,47200.00,1.450400E+07,48346.66
1761449922,558864.01,1.683556E+08,543082.45,49800.00,1.500200E+07,48393.54
1761449932,533055.00,1.736861E+08,542769.10,47500.00,1.547700E+07,48365.62
1761449942,557745.01,1.792636E+08,543222.91,49700.00,1.597400E+07,48406.06
1761449952,566742.00,1.849310E+08,543914.65,50500.00,1.647900E+07,48467.64
1761449962,531913.00,1.902501E+08,543571.75,47400.00,1.695300E+07,48437.14
1761449972,562244.02,1.958726E+08,544090.42,50100.00,1.745400E+07,48483.33
1761449982,543163.99,2.013042E+08,544065.38,48400.00,1.793800E+07,48481.08
1761449992,555499.99,2.068592E+08,544366.29,49500.00,1.843300E+07,48507.89
1761450002,531909.99,2.121783E+08,544046.90,47400.00,1.890700E+07,48479.48
1761450012,546526.72,2.176436E+08,544108.89,48699.98,1.939400E+07,48485.00
1761450022,559999.30,2.232436E+08,544496.47,49900.03,1.989300E+07,48519.51
1761450032,527437.01,2.285179E+08,544090.29,47000.00,2.036300E+07,48483.33
1761450042,564479.99,2.341627E+08,544564.47,50300.00,2.086600E+07,48525.58
1761450052,543164.99,2.395944E+08,544532.66,48400.00,2.135000E+07,48522.72
1761450062,530792.00,2.449023E+08,544227.31,47300.00,2.182300E+07,48495.55
1761450072,561126.02,2.505136E+08,544594.68,50000.00,2.232300E+07,48528.26
1761450082,540900.99,2.559226E+08,544516.09,48200.00,2.280500E+07,48521.27
1761450092,548780.96,2.614104E+08,544604.94,48900.00,2.329400E+07,48529.16
1761450102,547635.01,2.668867E+08,544666.78,48800.00,2.378200E+07,48534.69
1761450112,556620.02,2.724529E+08,544905.84,49600.00,2.427800E+07,48556.00
1761450122,547637.00,2.779293E+08,544959.39,48800.00,2.476600E+07,48560.78
1761450132,564482.01,2.835741E+08,545334.83,50300.00,2.526900E+07,48594.23
1761450142,558887.00,2.891630E+08,545590.53,49800.00,2.576700E+07,48616.98
1761450152,530792.97,2.944709E+08,545316.50,47300.00,2.624000E+07,48592.59
1761450162,572346.01,3.001944E+08,545807.95,51000.00,2.675000E+07,48636.36
1761450172,542018.99,3.056146E+08,545740.29,48300.00,2.723300E+07,48630.35
1761450182,545394.03,3.110685E+08,545734.21,48600.00,2.771900E+07,48629.82
1761450192,567868.65,3.167472E+08,546115.84,50599.97,2.822500E+07,48663.79
1761450202,566718.36,3.224144E+08,546465.04,50500.03,2.873000E+07,48694.91
1761450212,540891.97,3.278233E+08,546372.15,48200.00,2.921200E+07,48686.66
1761450222,551025.97,3.333336E+08,546448.44,49100.00,2.970300E+07,48693.44
1761450232,551001.06,3.388436E+08,546521.87,49100.01,3.019400E+07,48700.00
1761450242,561115.98,3.444547E+08,546753.52,50000.00,3.069400E+07,48720.63
1761450252,544281.78,3.498976E+08,546714.90,48499.98,3.117900E+07,48717.18
1761450262,549875.25,3.553963E+08,546763.52,49000.02,3.166900E+07,48721.54
1761450272,549908.01,3.608954E+08,546811.17,49000.00,3.215900E+07,48725.75
1761450282,555499.99,3.664504E+08,546940.85,49500.00,3.265400E+07,48737.31
1761450292,567838.98,3.721288E+08,547248.18,50600.00,3.316000E+07,48764.70
1761450302,545396.03,3.775827E+08,547221.33,48600.00,3.364600E+07,48762.32
