Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761451705,512823.32,5.128310E+06,512823.32,45699.32,4.570000E+05,45699.32
1761451715,520725.99,1.033557E+07,516774.63,46400.00,9.210000E+05,46049.65
1761451725,547637.02,1.581194E+07,527062.04,48800.00,1.409000E+06,46966.43
1761451735,520727.02,2.101921E+07,525478.29,46400.00,1.873000E+06,46824.83
1761451745,520691.99,2.622613E+07,524521.03,46400.00,2.337000E+06,46739.86
1761451755,531944.01,3.154557E+07,525758.19,47400.00,2.811000E+06,46849.88
1761451765,544281.72,3.698839E+07,528404.41,48499.98,3.296000E+06,47085.61
1761451775,555500.27,4.254339E+07,531791.38,49500.02,3.791000E+06,47387.41
1761451785,567835.00,4.822174E+07,535796.22,50600.00,4.297000E+06,47744.37
1761451795,528556.99,5.350731E+07,535072.30,47100.00,4.768000E+06,47679.93
1761451805,556626.85,5.907358E+07,537031.80,49599.99,5.264000E+06,47854.48
1761451815,545400.17,6.452758E+07,537729.16,48600.01,5.750000E+06,47916.61
1761451825,538681.01,6.991439E+07,537802.38,48000.00,6.230000E+06,47923.02
1761451835,557734.99,7.549174E+07,539226.14,49700.00,6.727000E+06,48049.95
1761451845,548757.01,8.097931E+07,539861.53,48900.00,7.216000E+06,48106.62
1761451855,546520.98,8.644452E+07,540277.74,48700.00,7.703000E+06,48143.70
1761451865,553260.93,9.197713E+07,541041.46,49299.99,8.196000E+06,48211.72
1761451875,558887.08,9.756600E+07,542032.88,49800.01,8.694000E+06,48299.96
1761451885,530793.99,1.028739E+08,541441.36,47300.00,9.167000E+06,48247.33
1761451895,545399.03,1.083279E+08,541639.25,48600.00,9.653000E+06,48264.96
1761451905,564481.00,1.139727E+08,542726.95,50300.00,1.015600E+07,48361.87
1761451915,551025.99,1.194830E+08,543104.18,49100.00,1.064700E+07,48395.42
1761451925,546520.99,1.249482E+08,543252.73,48700.00,1.113400E+07,48408.66
1761451935,553237.02,1.304806E+08,543668.74,49300.00,1.162700E+07,48445.80
1761451945,536441.97,1.358450E+08,543379.67,47800.00,1.210500E+07,48419.97
1761451955,549874.02,1.413437E+08,543629.46,49000.00,1.259500E+07,48442.28
1761451965,566719.99,1.470109E+08,544484.66,50500.00,1.310000E+07,48518.49
1761451975,564480.02,1.526557E+08,545198.78,50300.00,1.360300E+07,48582.12
1761451985,549884.01,1.581546E+08,545360.34,49000.00,1.409300E+07,48596.53
1761451995,542034.98,1.635749E+08,545249.49,48300.00,1.457600E+07,48586.64
1761452005,558865.00,1.691636E+08,545688.70,49800.00,1.507400E+07,48625.78
1761452015,553262.98,1.746962E+08,545925.40,49300.00,1.556700E+07,48646.85
1761452025,561118.04,1.803074E+08,546385.78,50000.00,1.606700E+07,48687.86
