Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761452745,513960.81,5.139730E+06,513960.81,45798.91,4.580000E+05,45798.91
1761452755,522940.01,1.036913E+07,518450.36,46600.00,9.240000E+05,46199.45
1761452765,517360.03,1.554273E+07,518086.92,46100.00,1.385000E+06,46166.30
1761452775,507247.99,2.061521E+07,515377.20,45200.00,1.837000E+06,45924.73
1761452785,524055.00,2.585576E+07,517112.75,46700.00,2.304000E+06,46079.78
1761452795,522955.02,3.108531E+07,518086.46,46600.00,2.770000E+06,46166.49
1761452805,524081.97,3.632613E+07,518942.96,46700.00,3.237000E+06,46242.70
1761452815,556617.99,4.189231E+07,523652.32,49600.00,3.733000E+06,46662.36
1761452825,552143.02,4.741374E+07,526817.95,49200.00,4.225000E+06,46944.32
1761452835,529684.00,5.271058E+07,527104.55,47200.00,4.697000E+06,46969.89
1761452845,555500.01,5.826558E+07,529685.95,49500.00,5.192000E+06,47199.90
1761452855,529701.00,6.356259E+07,529687.21,47200.00,5.664000E+06,47199.91
1761452865,535298.85,6.891558E+07,530118.87,47699.99,6.141000E+06,47238.37
1761452875,556619.12,7.448177E+07,532011.74,49600.01,6.637000E+06,47407.06
1761452885,531944.04,7.980121E+07,532007.23,47400.00,7.111000E+06,47406.59
1761452895,549873.00,8.529994E+07,533123.84,49000.00,7.601000E+06,47506.18
1761452905,568964.00,9.098958E+07,535232.08,50700.00,8.108000E+06,47694.05
1761452915,554373.01,9.653331E+07,536295.46,49400.00,8.602000E+06,47788.83
1761452925,520725.99,1.017406E+08,535476.02,46400.00,9.066000E+06,47715.73
1761452935,553264.00,1.072732E+08,536365.42,49300.00,9.559000E+06,47794.94
1761452945,556617.95,1.128394E+08,537329.82,49600.00,1.005500E+07,47880.90
1761452955,550992.04,1.183493E+08,537950.83,49100.00,1.054600E+07,47936.31
1761452965,551026.00,1.238596E+08,538519.32,49100.00,1.103700E+07,47986.91
1761452975,530801.00,1.291676E+08,538197.72,47300.00,1.151000E+07,47958.29
1761452985,548781.00,1.346554E+08,538621.05,48900.00,1.199900E+07,47995.95
1761452995,554382.01,1.401992E+08,539227.24,49400.00,1.249300E+07,48049.96
1761453005,553236.98,1.457316E+08,539746.12,49300.00,1.298600E+07,48096.25
1761453015,539801.02,1.511296E+08,539748.08,48100.00,1.346700E+07,48096.39
1761453025,554379.99,1.566734E+08,540252.63,49400.00,1.396100E+07,48141.34
1761453035,540916.02,1.620826E+08,540274.74,48200.00,1.444300E+07,48143.30
1761453045,570083.98,1.677834E+08,541236.33,50800.00,1.495100E+07,48229.00
1761453055,537535.02,1.731587E+08,541120.66,47900.00,1.543000E+07,48218.71
1761453065,564482.98,1.788036E+08,541828.61,50300.00,1.593300E+07,48281.78
