Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761515126,506115.99,5.061210E+06,506115.99,45099.55,4.510000E+05,45099.55
1761515136,512837.20,1.018958E+07,509476.57,45700.02,9.080000E+05,45399.78
1761515146,525200.00,1.544158E+07,514717.70,46800.00,1.376000E+06,45866.52
1761515156,505014.36,2.049173E+07,512291.87,44999.94,1.826000E+06,45649.88
1761515166,513958.68,2.563131E+07,512625.23,45800.06,2.284000E+06,45679.91
1761515176,526326.99,3.089458E+07,514908.85,46900.00,2.753000E+06,45883.26
1761515186,524097.01,3.613555E+07,516221.44,46700.00,3.220000E+06,45999.94
1761515196,548762.98,4.162318E+07,520289.13,48900.00,3.709000E+06,46362.44
1761515206,564481.68,4.726800E+07,525199.41,50299.97,4.212000E+06,46799.95
1761515216,520696.32,5.247496E+07,524749.10,46400.03,4.676000E+06,46759.96
1761515226,554377.99,5.801874E+07,527442.64,49400.00,5.170000E+06,46999.96
1761515236,547638.99,6.349513E+07,529125.66,48800.00,5.658000E+06,47149.96
1761515246,524080.75,6.873594E+07,528737.59,46699.98,6.125000E+06,47115.35
1761515256,542045.26,7.415639E+07,529688.14,48300.02,6.608000E+06,47199.97
1761515266,536417.85,7.952057E+07,530136.79,47799.99,7.086000E+06,47239.97
1761515276,536417.15,8.488474E+07,530529.31,47800.01,7.564000E+06,47274.97
1761515286,545399.99,9.033874E+07,531404.06,48600.00,8.050000E+06,47352.91
1761515296,556619.71,9.590494E+07,532804.93,49599.97,8.546000E+06,47477.75
1761515306,513980.25,1.010447E+08,531814.15,45800.02,9.004000E+06,47389.45
1761515316,551026.00,1.065550E+08,532774.75,49100.00,9.495000E+06,47474.98
1761515326,562212.75,1.121771E+08,534176.56,50099.98,9.996000E+06,47599.98
1761515336,549908.26,1.176762E+08,534891.63,49000.02,1.048600E+07,47663.62
1761515346,543137.00,1.231076E+08,535250.13,48400.00,1.097000E+07,47695.63
1761515356,537562.98,1.284832E+08,535346.50,47900.00,1.144900E+07,47704.15
1761515366,549873.00,1.339819E+08,535927.56,49000.00,1.193900E+07,47755.98
1761515376,525200.02,1.392339E+08,535514.96,46800.00,1.240700E+07,47719.21
1761515386,546519.00,1.446991E+08,535922.52,48700.00,1.289400E+07,47755.54
1761515396,543163.98,1.501308E+08,536181.14,48400.00,1.337800E+07,47778.56
1761515406,531944.02,1.554502E+08,536035.03,47400.00,1.385200E+07,47765.50
1761515416,540891.99,1.608591E+08,536196.93,48200.00,1.433400E+07,47779.98
1761515426,531944.01,1.661786E+08,536059.74,47400.00,1.480800E+07,47767.73
1761515436,544282.00,1.716214E+08,536316.68,48500.00,1.529300E+07,47790.61
