Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761518279,503867.69,5.038730E+06,503867.69,44899.53,4.490000E+05,44899.53
1761518289,520700.98,1.024574E+07,512284.29,46400.00,9.130000E+05,45649.76
1761518299,530826.24,1.555400E+07,518464.92,47300.02,1.386000E+06,46199.84
1761518309,508357.01,2.063757E+07,515937.95,45300.00,1.839000E+06,45974.88
1761518319,512864.00,2.576621E+07,515323.16,45700.00,2.296000E+06,45919.91
1761518329,518453.01,3.095074E+07,515844.80,46200.00,2.758000E+06,45966.59
1761518339,528556.83,3.623631E+07,517660.80,47099.98,3.229000E+06,46128.50
1761518349,552143.14,4.175774E+07,521971.09,49200.01,3.721000E+06,46512.44
1761518359,549884.02,4.725658E+07,525072.52,49000.00,4.211000E+06,46788.84
1761518369,516241.99,5.241900E+07,524189.47,46000.00,4.671000E+06,46709.95
1761518379,553231.00,5.795131E+07,526829.61,49300.00,5.164000E+06,46945.41
1761518389,537568.75,6.332700E+07,527724.53,47899.98,5.643000E+06,47024.96
1761518399,535300.20,6.868000E+07,528307.28,47700.02,6.120000E+06,47076.89
1761518409,538657.03,7.406657E+07,529046.54,48000.00,6.600000E+06,47142.82
1761518419,545400.03,7.952057E+07,530136.78,48600.00,7.086000E+06,47239.97
1761518429,540900.99,8.492958E+07,530809.54,48200.00,7.568000E+06,47299.97
1761518439,520716.01,9.013674E+07,530215.80,46400.00,8.032000E+06,47247.03
1761518449,571225.98,9.584900E+07,532494.14,50900.00,8.541000E+06,47449.97
1761518459,522931.00,1.010783E+08,531990.82,46600.00,9.007000E+06,47405.24
1761518469,538690.02,1.064652E+08,532325.78,48000.00,9.487000E+06,47434.98
1761518479,564479.00,1.121100E+08,533856.89,50300.00,9.990000E+06,47571.41
1761518489,545399.99,1.175640E+08,534381.57,48600.00,1.047600E+07,47618.16
1761518499,530791.77,1.228719E+08,534225.49,47299.98,1.094900E+07,47604.33
1761518509,543165.25,1.283036E+08,534597.98,48400.02,1.143300E+07,47637.48
1761518519,539773.99,1.337013E+08,534805.02,48100.00,1.191400E+07,47655.98
1761518529,554380.70,1.392451E+08,535557.93,49399.97,1.240800E+07,47723.06
1761518539,546519.31,1.447103E+08,535963.91,48700.03,1.289500E+07,47759.24
1761518549,554381.98,1.502541E+08,536621.70,49400.00,1.338900E+07,47817.84
1761518559,543161.02,1.556857E+08,536847.19,48400.00,1.387300E+07,47837.91
1761518569,535303.01,1.610388E+08,536795.72,47700.00,1.435000E+07,47833.32
1761518579,538653.99,1.664253E+08,536855.66,48000.00,1.483000E+07,47838.69
1761518589,537569.01,1.718010E+08,536877.96,47900.00,1.530900E+07,47840.61
1761518599,552113.01,1.773221E+08,537339.62,49200.00,1.580100E+07,47881.80
1761518609,556618.02,1.828883E+08,537906.64,49600.00,1.629700E+07,47932.34
1761518619,534182.97,1.882301E+08,537800.24,47600.00,1.677300E+07,47922.84
1761518629,546516.77,1.936953E+08,538042.37,48699.98,1.726000E+07,47944.43
1761518639,528590.22,1.989812E+08,537786.91,47100.02,1.773100E+07,47921.61
1761518649,536418.00,2.043454E+08,537750.88,47800.00,1.820900E+07,47918.41
1761518659,545400.00,2.097994E+08,537947.01,48600.00,1.869500E+07,47935.89
1761518669,544281.99,2.152422E+08,538105.39,48500.00,1.918000E+07,47949.99
1761518679,542009.87,2.206623E+08,538200.62,48299.99,1.966300E+07,47958.52
1761518689,533062.87,2.259929E+08,538078.29,47499.99,2.013800E+07,47947.61
1761518699,548764.25,2.314806E+08,538326.80,48900.02,2.062700E+07,47969.76
1761518709,540916.02,2.368897E+08,538385.65,48200.00,2.110900E+07,47974.99
1761518719,540901.99,2.422988E+08,538441.57,48200.00,2.159100E+07,47979.99
1761518729,553254.76,2.478313E+08,538763.59,49299.98,2.208400E+07,48008.68
1761518739,558890.26,2.534202E+08,539191.82,49800.02,2.258200E+07,48046.80
1761518749,530791.73,2.587281E+08,539016.82,47299.98,2.305500E+07,48031.24
1761518759,530826.25,2.640364E+08,538849.66,47300.02,2.352800E+07,48016.32
1761518769,544278.85,2.694792E+08,538958.25,48499.99,2.401300E+07,48025.99
1761518779,559976.15,2.750789E+08,539370.36,49900.01,2.451200E+07,48062.74
1761518789,538664.00,2.804656E+08,539356.78,48000.00,2.499200E+07,48061.53
1761518799,539798.97,2.858636E+08,539365.12,48100.00,2.547300E+07,48062.25
1761518809,534182.02,2.912054E+08,539269.14,47600.00,2.594900E+07,48053.69
1761518819,530801.01,2.965134E+08,539115.17,47300.00,2.642200E+07,48039.99
1761518829,552134.01,3.020347E+08,539347.65,49200.00,2.691400E+07,48060.71
1761518839,566719.89,3.077019E+08,539827.87,50499.99,2.741900E+07,48103.50
1761518849,537537.09,3.130773E+08,539788.37,47900.01,2.789800E+07,48099.99
1761518859,545399.98,3.185313E+08,539883.48,48600.00,2.838400E+07,48108.47
1761518869,545400.02,3.239853E+08,539975.43,48600.00,2.887000E+07,48116.66
