Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761540285,515099.00,5.151000E+06,515099.00,45899.91,4.590000E+05,45899.91
1761540295,525199.79,1.040300E+07,520149.39,46799.98,9.270000E+05,46349.95
1761540305,525200.22,1.565500E+07,521833.00,46800.02,1.395000E+06,46499.97
1761540315,517339.01,2.082839E+07,520709.50,46100.00,1.856000E+06,46399.98
1761540325,524078.70,2.606918E+07,521383.34,46699.97,2.323000E+06,46459.98
1761540335,519576.28,3.126494E+07,521082.17,46300.03,2.786000E+06,46433.32
1761540345,537536.99,3.664031E+07,523432.85,47900.00,3.265000E+06,46642.84
1761540355,557769.00,4.221800E+07,527724.87,49700.00,3.762000E+06,47024.99
1761540365,555500.02,4.777300E+07,530811.00,49500.00,4.257000E+06,47299.99
1761540375,530794.01,5.308094E+07,530809.30,47300.00,4.730000E+06,47299.99
1761540385,551026.98,5.859121E+07,532647.27,49100.00,5.221000E+06,47463.63
1761540395,528552.73,6.387674E+07,532306.06,47099.98,5.692000E+06,47433.32
1761540405,549884.28,6.937558E+07,533658.23,49000.02,6.182000E+06,47553.84
1761540415,544281.99,7.481840E+07,534417.07,48500.00,6.667000E+06,47621.42
1761540425,533052.99,8.014893E+07,534326.13,47500.00,7.142000E+06,47613.33
1761540435,543164.00,8.558057E+07,534878.50,48400.00,7.626000E+06,47662.49
1761540445,553264.00,9.111321E+07,535960.00,49300.00,8.119000E+06,47758.82
1761540455,543152.02,9.654473E+07,536359.55,48400.00,8.603000E+06,47794.44
1761540465,525184.99,1.017966E+08,535771.42,46800.00,9.071000E+06,47742.10
1761540475,554373.00,1.073403E+08,536701.50,49400.00,9.565000E+06,47825.00
1761540485,547668.88,1.128170E+08,537223.75,48799.99,1.005300E+07,47871.42
1761540495,562213.11,1.184391E+08,538359.63,50100.01,1.055400E+07,47972.72
1761540505,544280.89,1.238819E+08,538617.08,48499.99,1.103900E+07,47995.65
