Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761491370,410708.45,4.107130E+06,410708.45,36599.59,3.660000E+05,36599.59
1761491380,426448.25,8.371580E+06,418578.28,38000.29,7.460000E+05,37299.94
1761491390,466863.01,1.304021E+07,434673.17,41600.00,1.162000E+06,38733.29
1761491400,418575.00,1.722596E+07,430648.63,37300.00,1.535000E+06,38374.97
1761491410,426435.02,2.149031E+07,429805.91,38000.00,1.915000E+06,38299.97
1761491420,435417.98,2.584449E+07,430741.25,38800.00,2.303000E+06,38383.31
1761491430,415251.00,2.999700E+07,428528.36,37000.00,2.673000E+06,38185.70
1761491440,437657.00,3.437357E+07,429669.44,39000.00,3.063000E+06,38287.48
1761491450,457855.79,3.895213E+07,432801.26,40799.98,3.471000E+06,38566.65
1761491460,434300.21,4.329513E+07,432951.15,38700.02,3.858000E+06,38579.99
1761491470,416344.98,4.745858E+07,431441.50,37100.00,4.229000E+06,38445.44
1761491480,406262.99,5.152121E+07,429343.29,36200.00,4.591000E+06,38258.32
1761491490,391651.85,5.543773E+07,426443.95,34899.99,4.940000E+06,37999.99
1761491500,384927.18,5.928700E+07,423478.47,34300.02,5.283000E+06,37735.71
1761491510,392757.99,6.321458E+07,421430.44,35000.00,5.633000E+06,37553.32
1761491520,432054.97,6.753513E+07,422094.47,38500.00,6.018000E+06,37612.49
1761491530,423081.03,7.176594E+07,422152.50,37700.00,6.395000E+06,37617.64
1761491540,397263.99,7.573858E+07,420769.81,35400.00,6.749000E+06,37494.44
1761491550,392773.01,7.966631E+07,419296.29,35000.00,7.099000E+06,37363.15
1761491560,430942.99,8.397574E+07,419878.63,38400.00,7.483000E+06,37414.99
1761491570,443283.01,8.840857E+07,420993.12,39500.00,7.878000E+06,37514.28
1761491580,435416.76,9.276274E+07,421648.74,38799.98,8.266000E+06,37572.72
1761491590,432065.23,9.708339E+07,422101.63,38500.02,8.651000E+06,37613.04
1761491600,417454.79,1.012579E+08,421908.01,37199.98,9.023000E+06,37595.83
1761491610,383800.03,1.050959E+08,420383.69,34200.00,9.365000E+06,37459.99
1761491620,407364.18,1.091696E+08,419882.94,36300.02,9.728000E+06,37415.38
1761491630,464600.00,1.138156E+08,421539.13,41400.00,1.014200E+07,37562.96
1761491640,436563.00,1.181812E+08,422075.70,38900.00,1.053100E+07,37610.71
1761491650,428673.00,1.224679E+08,422303.19,38200.00,1.091300E+07,37631.03
1761491660,398405.90,1.264520E+08,421506.61,35499.99,1.126800E+07,37560.00
1761491670,393900.10,1.303910E+08,420616.08,35100.01,1.161900E+07,37480.64
1761491680,402857.99,1.344196E+08,420061.14,35900.00,1.197800E+07,37431.25
1761491690,463473.01,1.390543E+08,421376.65,41300.00,1.239100E+07,37548.48
1761491700,441046.00,1.434648E+08,421955.16,39300.00,1.278400E+07,37600.00
1761491710,430943.80,1.477742E+08,422211.98,38399.98,1.316800E+07,37622.85
1761491720,398373.18,1.517579E+08,421549.79,35500.02,1.352300E+07,37563.89
1761491730,396137.01,1.557193E+08,420862.96,35300.00,1.387600E+07,37502.70
1761491740,443281.99,1.601521E+08,421452.94,39500.00,1.427100E+07,37555.26
1761491750,448905.00,1.646412E+08,422156.83,40000.00,1.467100E+07,37617.95
1761491760,444402.98,1.690852E+08,422712.99,39600.00,1.506700E+07,37667.50
1761491770,419691.86,1.732821E+08,422639.30,37399.99,1.544100E+07,37660.97
1761491780,396169.17,1.772438E+08,422009.06,35300.02,1.579400E+07,37604.76
1761491790,390511.78,1.811489E+08,421276.57,34799.98,1.614200E+07,37539.53
1761491800,395019.21,1.850991E+08,420679.81,35200.02,1.649400E+07,37486.36
1761491810,401760.76,1.891167E+08,420259.38,35799.98,1.685200E+07,37448.89
1761491820,409605.24,1.932128E+08,420027.77,36500.02,1.721700E+07,37428.26
1761491830,436560.00,1.975784E+08,420379.52,38900.00,1.760600E+07,37459.57
1761491840,416334.99,2.017417E+08,420295.26,37100.00,1.797700E+07,37452.08
1761491850,417457.02,2.059163E+08,420237.34,37200.00,1.834900E+07,37446.94
1761491860,452262.75,2.104389E+08,420877.85,40299.98,1.875200E+07,37504.00
1761491870,455619.22,2.149951E+08,421559.05,40600.02,1.915800E+07,37564.70
1761491880,433180.81,2.193269E+08,421782.55,38599.98,1.954400E+07,37584.61
1761491890,435417.22,2.236811E+08,422039.80,38800.02,1.993200E+07,37607.54
1761491900,398409.99,2.276652E+08,421602.21,35500.00,2.028700E+07,37568.52
1761491910,383800.00,2.315032E+08,420914.90,34200.00,2.062900E+07,37507.27
1761491920,405117.99,2.355544E+08,420632.81,36100.00,2.099000E+07,37482.14
1761491930,397255.00,2.395269E+08,420222.68,35400.00,2.134400E+07,37445.61
1761491940,410745.02,2.436344E+08,420059.27,36600.00,2.171000E+07,37431.03
1761491950,424199.98,2.478764E+08,420129.45,37800.00,2.208800E+07,37437.29
1761491960,427554.01,2.521519E+08,420253.19,38100.00,2.246900E+07,37448.33
1761491970,430946.00,2.564614E+08,420428.48,38400.00,2.285300E+07,37463.93
1761491980,430919.02,2.607706E+08,420597.69,38400.00,2.323700E+07,37479.03
1761491990,465742.00,2.654280E+08,421314.26,41500.00,2.365200E+07,37542.86
