Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761504692,502738.34,5.027400E+06,502738.34,44799.85,4.480000E+05,44799.85
1761504702,515090.98,1.017831E+07,508914.65,45900.00,9.070000E+05,45349.92
1761504712,512862.76,1.530694E+07,510230.69,45699.98,1.364000E+06,45466.61
1761504722,507237.25,2.037931E+07,509482.33,45200.02,1.816000E+06,45399.96
1761504732,521842.75,2.559774E+07,511954.41,46499.98,2.281000E+06,45619.97
1761504742,522965.23,3.082739E+07,513789.55,46600.02,2.747000E+06,45783.31
1761504752,522960.78,3.605700E+07,515099.72,46599.98,3.213000E+06,45899.98
1761504762,554358.23,4.160058E+07,520007.03,49400.02,3.707000E+06,46337.48
1761504772,552136.02,4.712194E+07,523576.92,49200.00,4.199000E+06,46655.54
1761504782,513979.99,5.226174E+07,522617.23,45800.00,4.657000E+06,46569.98
1761504792,546520.00,5.772694E+07,524790.20,48700.00,5.144000E+06,46763.62
1761504802,545400.00,6.318094E+07,526507.69,48600.00,5.630000E+06,46916.65
1761504812,537536.98,6.855631E+07,527356.09,47900.00,6.109000E+06,46992.30
1761504822,536427.02,7.392058E+07,528004.02,47800.00,6.587000E+06,47049.99
1761504832,548780.01,7.940838E+07,529389.08,48900.00,7.076000E+06,47173.32
1761504842,544282.97,8.485121E+07,530319.95,48500.00,7.561000E+06,47256.24
1761504852,542010.01,9.027131E+07,531007.60,48300.00,8.044000E+06,47317.64
1761504862,555500.00,9.582631E+07,532368.29,49500.00,8.539000E+06,47438.88
1761504872,520726.00,1.010336E+08,531755.54,46400.00,9.003000E+06,47384.20
1761504882,547637.00,1.065099E+08,532549.61,48800.00,9.491000E+06,47454.99
1761504892,546519.01,1.119751E+08,533214.82,48700.00,9.978000E+06,47514.28
1761504902,536425.99,1.173394E+08,533360.78,47800.00,1.045600E+07,47527.27
1761504912,546519.00,1.228046E+08,533932.88,48700.00,1.094300E+07,47578.25
1761504922,544273.00,1.282473E+08,534363.72,48500.00,1.142800E+07,47616.66
1761504932,543163.01,1.336789E+08,534715.69,48400.00,1.191200E+07,47647.99
1761504942,534179.94,1.390207E+08,534695.08,47599.99,1.238800E+07,47646.15
1761504952,554383.04,1.445646E+08,535424.27,49400.00,1.288200E+07,47711.11
1761504962,536417.00,1.499287E+08,535459.72,47800.00,1.336000E+07,47714.28
1761504972,547639.01,1.554051E+08,535879.70,48800.00,1.384800E+07,47751.72
1761504982,537545.00,1.607806E+08,535935.21,47900.00,1.432700E+07,47756.66
1761504992,535299.99,1.661336E+08,535914.72,47700.00,1.480400E+07,47754.83
1761505002,531936.01,1.714529E+08,535790.38,47400.00,1.527800E+07,47743.75
1761505012,565599.96,1.771089E+08,536693.70,50400.00,1.578200E+07,47824.24
1761505022,548764.02,1.825966E+08,537048.71,48900.00,1.627100E+07,47855.88
1761505032,535299.98,1.879496E+08,536998.75,47700.00,1.674800E+07,47851.42
1761505042,558881.03,1.935384E+08,537606.59,49800.00,1.724600E+07,47905.55
