Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761514071,513942.76,5.139580E+06,513942.76,45798.64,4.580000E+05,45798.64
1761514081,512855.04,1.026813E+07,513398.91,45700.00,9.150000E+05,45749.32
1761514091,511744.00,1.538557E+07,512847.28,45600.00,1.371000E+06,45699.55
1761514101,512863.99,2.051421E+07,512851.46,45700.00,1.828000E+06,45699.66
1761514111,513979.00,2.565400E+07,513076.96,45800.00,2.286000E+06,45719.73
1761514121,516221.00,3.081621E+07,513600.97,46000.00,2.746000E+06,45766.44
1761514131,531910.01,3.613531E+07,516216.53,47400.00,3.220000E+06,45999.81
1761514141,554381.99,4.167913E+07,520987.20,49400.00,3.714000E+06,46424.83
1761514151,560008.00,4.727921E+07,525322.83,49900.00,4.213000E+06,46810.96
1761514161,531910.01,5.259831E+07,525981.54,47400.00,4.687000E+06,46869.86
1761514171,542045.98,5.801877E+07,527441.94,48300.00,5.170000E+06,46999.87
1761514181,538654.01,6.340531E+07,528376.28,48000.00,5.650000E+06,47083.22
1761514191,540926.01,6.881457E+07,529341.64,48200.00,6.132000E+06,47169.12
1761514201,546517.01,7.427974E+07,530568.45,48700.00,6.619000E+06,47278.47
1761514211,542046.99,7.970021E+07,531333.69,48300.00,7.102000E+06,47346.57
1761514221,543137.00,8.513158E+07,532071.39,48400.00,7.586000E+06,47412.41
1761514231,552136.00,9.065294E+07,533251.66,49200.00,8.078000E+06,47517.56
1761514241,553262.00,9.618556E+07,534363.34,49300.00,8.571000E+06,47616.59
1761514251,536418.01,1.015497E+08,534471.48,47800.00,9.049000E+06,47626.24
1761514261,554382.86,1.070936E+08,535467.05,49399.99,9.543000E+06,47714.93
1761514271,553264.14,1.126262E+08,536314.53,49300.01,1.003600E+07,47790.41
1761514281,546517.96,1.180914E+08,536778.32,48700.00,1.052300E+07,47831.75
1761514291,540892.03,1.235003E+08,536957.18,48200.00,1.100500E+07,47847.76
1761514301,540925.78,1.289096E+08,537122.54,48199.98,1.148700E+07,47862.44
1761514311,553264.21,1.344422E+08,537768.20,49300.02,1.198000E+07,47919.94
1761514321,525197.03,1.396942E+08,537284.70,46800.00,1.244800E+07,47876.87
1761514331,558855.95,1.452827E+08,538083.63,49800.00,1.294600E+07,47948.10
1761514341,553265.00,1.508154E+08,538625.82,49300.00,1.343900E+07,47996.38
1761514351,534182.02,1.561572E+08,538472.59,47600.00,1.391500E+07,47982.71
1761514361,533037.01,1.614876E+08,538291.40,47500.00,1.439000E+07,47966.62
1761514371,540916.00,1.668967E+08,538376.07,48200.00,1.487200E+07,47974.15
1761514381,538656.99,1.722833E+08,538384.85,48000.00,1.535200E+07,47974.96
1761514391,546526.99,1.777486E+08,538631.58,48700.00,1.583900E+07,47996.93
1761514401,568981.02,1.834384E+08,539524.21,50700.00,1.634600E+07,48076.43
