Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761505746,501610.20,5.016130E+06,501610.20,44699.75,4.470000E+05,44699.75
1761505756,515100.02,1.016713E+07,508355.09,45900.00,9.060000E+05,45299.87
1761505766,516217.76,1.532931E+07,510975.98,45999.98,1.366000E+06,45533.24
1761505776,513982.25,2.046913E+07,511727.54,45800.02,1.824000E+06,45599.94
1761505786,519607.99,2.566521E+07,513303.63,46300.00,2.287000E+06,45739.95
1761505796,524078.99,3.090600E+07,515099.52,46700.00,2.754000E+06,45899.96
1761505806,521812.98,3.612413E+07,516058.59,46500.00,3.219000E+06,45985.68
1761505816,556618.05,4.169031E+07,521128.52,49600.00,3.715000E+06,46437.47
1761505826,542042.97,4.711074E+07,523452.34,48300.00,4.198000E+06,46644.42
1761505836,536420.01,5.247494E+07,524749.11,47800.00,4.676000E+06,46759.97
1761505846,547636.78,5.795131E+07,526829.81,48799.98,5.164000E+06,46945.43
1761505856,538690.05,6.333821E+07,527818.16,48000.00,5.644000E+06,47033.31
1761505866,526318.16,6.860139E+07,527702.77,46900.01,6.113000E+06,47023.06
1761505876,547635.01,7.407774E+07,529126.50,48800.00,6.601000E+06,47149.98
1761505886,544282.99,7.952057E+07,530136.94,48500.00,7.086000E+06,47239.98
1761505896,546517.00,8.498574E+07,531160.69,48700.00,7.573000E+06,47331.23
1761505906,535299.76,9.033874E+07,531404.17,47699.98,8.050000E+06,47352.92
1761505916,542047.13,9.575921E+07,531995.44,48300.01,8.533000E+06,47405.54
1761505926,529674.91,1.010560E+08,531873.31,47199.99,9.005000E+06,47394.72
1761505936,551022.20,1.065662E+08,532830.75,49100.02,9.496000E+06,47479.99
1761505946,540895.01,1.119751E+08,533214.76,48200.00,9.978000E+06,47514.27
1761505956,547644.79,1.174516E+08,533870.67,48799.98,1.046600E+07,47572.71
1761505966,545400.23,1.229056E+08,534371.96,48600.02,1.095200E+07,47617.38
1761505976,537562.98,1.282812E+08,534504.92,47900.00,1.143100E+07,47629.16
1761505986,536417.05,1.336454E+08,534581.40,47799.91,1.190900E+07,47635.99
1761505996,547635.99,1.391217E+08,535083.50,48800.09,1.239700E+07,47680.76
1761506006,553264.69,1.446544E+08,535756.88,49299.97,1.289000E+07,47740.73
1761506016,540892.32,1.500633E+08,535940.29,48200.03,1.337200E+07,47757.13
1761506026,567868.97,1.557420E+08,537041.28,50600.00,1.387800E+07,47855.16
1761506036,549874.01,1.612407E+08,537469.03,49000.00,1.436800E+07,47893.32
1761506046,546519.99,1.667059E+08,537761.00,48700.00,1.485500E+07,47919.35
1761506056,537537.01,1.720813E+08,537754.00,47900.00,1.533400E+07,47918.74
1761506066,553262.99,1.776139E+08,538223.97,49300.00,1.582700E+07,47960.60
1761506076,549906.01,1.831130E+08,538567.56,49000.00,1.631700E+07,47991.17
1761506086,544257.99,1.885556E+08,538730.14,48500.00,1.680200E+07,48005.71
1761506096,556642.01,1.941220E+08,539227.69,49600.00,1.729800E+07,48049.99
1761506106,518456.98,1.993066E+08,538666.32,46200.00,1.776000E+07,47999.99
1761506116,549873.99,2.048053E+08,538961.26,49000.00,1.825000E+07,48026.31
1761506126,545400.01,2.102593E+08,539126.36,48600.00,1.873600E+07,48041.02
1761506136,542043.00,2.156797E+08,539199.28,48300.00,1.921900E+07,48047.49
1761506146,538657.00,2.210663E+08,539186.05,48000.00,1.969900E+07,48046.33
1761506156,540926.01,2.264756E+08,539227.48,48200.00,2.018100E+07,48049.99
1761506166,549873.99,2.319743E+08,539475.07,49000.00,2.067100E+07,48072.09
1761506176,527469.02,2.372490E+08,539202.20,47000.00,2.114100E+07,48047.72
1761506186,537539.00,2.426244E+08,539165.24,47900.00,2.162000E+07,48044.44
1761506196,549873.99,2.481231E+08,539398.04,49000.00,2.211000E+07,48065.21
1761506206,543161.00,2.535547E+08,539478.11,48400.00,2.259400E+07,48072.33
1761506216,546519.98,2.590199E+08,539624.81,48700.00,2.308100E+07,48085.41
1761506226,549906.02,2.645190E+08,539834.63,49000.00,2.357100E+07,48104.08
1761506236,534157.74,2.698606E+08,539721.10,47599.98,2.404700E+07,48093.99
1761506246,542038.26,2.752810E+08,539766.53,48300.02,2.453000E+07,48098.03
1761506256,562242.99,2.809034E+08,540198.77,50100.00,2.503100E+07,48136.53
1761506266,544281.78,2.863462E+08,540275.81,48499.98,2.551600E+07,48143.39
1761506276,543137.08,2.917776E+08,540328.79,48400.01,2.600000E+07,48148.14
1761506286,549898.84,2.972766E+08,540502.79,48999.99,2.649000E+07,48163.63
1761506296,557737.30,3.028539E+08,540810.55,49700.03,2.698700E+07,48191.07
1761506306,539806.00,3.082520E+08,540792.93,48100.00,2.746800E+07,48189.47
1761506316,546521.00,3.137172E+08,540891.69,48700.00,2.795500E+07,48198.27
1761506326,564455.00,3.193618E+08,541291.07,50300.00,2.845800E+07,48233.89
1761506336,539797.99,3.247597E+08,541266.18,48100.00,2.893900E+07,48231.66
1761506346,561125.76,3.303710E+08,541591.75,49999.98,2.943900E+07,48260.65
1761506356,555500.23,3.359260E+08,541816.08,49500.02,2.993400E+07,48280.64
1761506366,548757.00,3.414136E+08,541926.25,48900.00,3.042300E+07,48290.47
1761506376,566720.01,3.470808E+08,542313.66,50500.00,3.092800E+07,48325.00
1761506386,551023.00,3.525910E+08,542447.65,49100.00,3.141900E+07,48336.92
1761506396,516221.02,3.577532E+08,542050.27,46000.00,3.187900E+07,48301.51
1761506406,537531.15,3.631286E+08,541982.82,47899.66,3.235800E+07,48295.51
1761506416,557740.97,3.687059E+08,542214.56,49700.35,3.285500E+07,48316.17
1761506426,525200.99,3.739579E+08,541967.99,46800.00,3.332300E+07,48294.20
1761506436,549906.02,3.794570E+08,542081.39,49000.00,3.381300E+07,48304.28
1761506446,559974.00,3.850567E+08,542333.39,49900.00,3.431200E+07,48326.76
1761506456,558857.02,3.906453E+08,542562.89,49800.00,3.481000E+07,48347.22
1761506466,540925.97,3.960546E+08,542540.47,48200.00,3.529200E+07,48345.20
1761506476,557737.01,4.016319E+08,542745.82,49700.00,3.578900E+07,48363.51
1761506486,563362.98,4.072656E+08,543020.72,50200.00,3.629100E+07,48388.00
1761506496,539774.03,4.126633E+08,542978.00,48100.00,3.677200E+07,48384.21
1761506506,561126.00,4.182746E+08,543213.69,50000.00,3.727200E+07,48405.19
1761506516,558856.01,4.238631E+08,543414.23,49800.00,3.777000E+07,48423.07
