Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761506776,504992.90,5.050000E+06,504992.90,44999.37,4.500000E+05,44999.37
1761506786,518456.00,1.023456E+07,511724.40,46200.00,9.120000E+05,45599.68
1761506796,513983.01,1.537439E+07,512477.27,45800.00,1.370000E+06,45666.45
1761506806,521818.99,2.059258E+07,514812.69,46500.00,1.835000E+06,45874.84
1761506816,517363.01,2.576621E+07,515322.75,46100.00,2.296000E+06,45919.87
1761506826,520691.71,3.097313E+07,516217.58,46399.97,2.760000E+06,45999.89
1761506836,531944.28,3.629257E+07,518464.24,47400.03,3.234000E+06,46199.91
1761506846,549874.01,4.179131E+07,522390.46,49000.00,3.724000E+06,46549.92
1761506856,557768.77,4.736900E+07,526321.38,49699.98,4.221000E+06,46899.92
1761506866,526321.10,5.263221E+07,526321.35,46900.01,4.690000E+06,46899.93
1761506876,553237.10,5.816458E+07,528768.23,49300.01,5.183000E+06,47118.12
1761506886,533054.90,6.349513E+07,529125.45,47499.99,5.658000E+06,47149.94
1761506896,544281.11,6.893794E+07,530291.27,48500.01,6.143000E+06,47253.79
1761506906,539805.87,7.433600E+07,530970.89,48099.99,6.624000E+06,47314.24
1761506916,534158.15,7.967758E+07,531183.37,47600.01,7.100000E+06,47333.29
1761506926,546541.96,8.514300E+07,532143.28,48700.00,7.587000E+06,47418.71
1761506936,540894.02,9.055194E+07,532658.03,48200.00,8.069000E+06,47464.67
1761506946,543163.00,9.598357E+07,533241.64,48400.00,8.553000E+06,47516.63
1761506956,542042.99,1.014040E+08,533704.87,48300.00,9.036000E+06,47557.86
1761506966,548757.00,1.068916E+08,534457.47,48900.00,9.525000E+06,47624.97
1761506976,535299.98,1.122446E+08,534497.59,47700.00,1.000200E+07,47628.54
1761506986,568956.04,1.179341E+08,536063.88,50700.00,1.050900E+07,47768.15
1761506996,538686.77,1.233210E+08,536177.92,47999.98,1.098900E+07,47778.23
1761507006,535279.22,1.286738E+08,536140.48,47700.02,1.146600E+07,47774.97
1761507016,554378.99,1.342176E+08,536870.02,49400.00,1.196000E+07,47839.97
1761507026,548781.01,1.397054E+08,537328.13,48900.00,1.244900E+07,47880.74
1761507036,545400.01,1.451594E+08,537627.09,48600.00,1.293500E+07,47907.38
1761507046,545399.97,1.506134E+08,537904.69,48600.00,1.342100E+07,47932.12
1761507056,543160.77,1.560450E+08,538085.94,48399.98,1.390500E+07,47948.25
1761507066,547639.24,1.615214E+08,538404.38,48800.02,1.439300E+07,47976.64
1761507076,546518.00,1.669866E+08,538666.11,48700.00,1.488000E+07,47999.98
1761507086,537537.00,1.723619E+08,538630.83,47900.00,1.535900E+07,47996.85
1761507096,551003.00,1.778720E+08,539005.74,49100.00,1.585000E+07,48030.28
1761507106,562234.01,1.834943E+08,539688.92,50100.00,1.635100E+07,48091.16
1761507116,537568.99,1.888700E+08,539628.35,47900.00,1.683000E+07,48085.69
1761507126,544258.01,1.943126E+08,539756.96,48500.00,1.731500E+07,48097.20
1761507136,538680.99,1.996994E+08,539727.88,48000.00,1.779500E+07,48094.58
1761507146,544278.22,2.051422E+08,539847.62,48499.66,1.828000E+07,48105.24
1761507156,531913.71,2.104613E+08,539644.19,47400.33,1.875400E+07,48087.16
1761507166,556626.98,2.160276E+08,540068.76,49600.00,1.925000E+07,48124.98
1761507176,555500.01,2.215826E+08,540445.13,49500.00,1.974500E+07,48158.52
1761507186,527462.75,2.268572E+08,540136.03,46999.98,2.021500E+07,48130.94
1761507196,555500.25,2.324122E+08,540493.33,49500.02,2.071000E+07,48162.77
1761507206,534179.03,2.377540E+08,540349.83,47600.00,2.118600E+07,48149.98
1761507216,531912.99,2.430731E+08,540162.34,47400.00,2.166000E+07,48133.32
1761507226,562243.68,2.486956E+08,540642.37,50099.97,2.216100E+07,48176.07
1761507236,554382.31,2.542394E+08,540934.71,49400.03,2.265500E+07,48202.11
1761507246,521818.66,2.594576E+08,540536.46,46499.97,2.312000E+07,48166.65
1761507256,545400.35,2.649116E+08,540635.72,48600.03,2.360600E+07,48175.50
1761507266,548780.72,2.703994E+08,540798.62,48899.98,2.409500E+07,48189.99
1761507276,529674.26,2.756961E+08,540580.50,47200.02,2.456700E+07,48170.57
1761507286,546517.91,2.811613E+08,540694.68,48699.99,2.505400E+07,48180.76
1761507296,552143.08,2.866827E+08,540910.69,49200.01,2.554600E+07,48199.99
1761507306,535300.01,2.920357E+08,540806.78,47700.00,2.602300E+07,48190.73
1761507316,548756.99,2.975233E+08,540951.33,48900.00,2.651200E+07,48203.62
1761507326,544282.02,3.029661E+08,541010.81,48500.00,2.699700E+07,48208.92
