Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761507824,520681.26,5.206940E+06,520681.26,46398.86,4.640000E+05,46398.86
1761507834,516218.98,1.036913E+07,518450.15,46000.00,9.240000E+05,46199.43
1761507844,517344.71,1.554258E+07,518081.67,46099.97,1.385000E+06,46166.28
1761507854,503873.30,2.058131E+07,514529.60,44900.03,1.834000E+06,45849.72
1761507864,513981.72,2.572113E+07,514420.03,45799.98,2.292000E+06,45839.77
1761507874,515100.27,3.087213E+07,514533.40,45900.02,2.751000E+06,45849.81
1761507884,530826.00,3.618039E+07,516860.91,47300.00,3.224000E+06,46056.98
1761507894,555499.98,4.173539E+07,521690.77,49500.00,3.719000E+06,46487.36
1761507904,557737.98,4.731277E+07,525696.01,49700.00,4.216000E+06,46844.32
1761507914,537535.76,5.268813E+07,526879.98,47899.98,4.695000E+06,46949.88
1761507924,551026.29,5.819839E+07,529075.09,49100.03,5.186000E+06,47145.35
1761507934,533061.00,6.352900E+07,529407.25,47500.00,5.661000E+06,47174.90
1761507944,545400.03,6.898300E+07,530637.46,48600.00,6.147000E+06,47284.53
1761507954,556620.95,7.454921E+07,532493.42,49600.00,6.643000E+06,47449.92
1761507964,528553.02,7.983474E+07,532230.73,47100.00,7.114000E+06,47426.59
1761507974,546519.87,8.529994E+07,533123.80,48699.99,7.601000E+06,47506.18
1761507984,547637.08,9.077631E+07,533977.52,48800.01,8.089000E+06,47582.28
1761507994,549908.03,9.627539E+07,534862.55,49000.00,8.579000E+06,47661.05
1761508004,535300.01,1.016284E+08,534885.57,47700.00,9.056000E+06,47663.10
1761508014,564482.00,1.072732E+08,536365.39,50300.00,9.559000E+06,47794.94
1761508024,544279.01,1.127160E+08,536742.23,48500.00,1.004400E+07,47828.52
1761508034,552112.98,1.182371E+08,537440.90,49200.00,1.053600E+07,47890.86
1761508044,549908.02,1.237362E+08,537982.95,49000.00,1.102600E+07,47939.08
1761508054,548753.01,1.292237E+08,538431.70,48900.00,1.151500E+07,47979.12
1761508064,538656.76,1.346103E+08,538440.70,47999.98,1.199500E+07,47979.95
1761508074,563363.00,1.402439E+08,539399.25,50200.00,1.249700E+07,48065.34
1761508084,544280.24,1.456867E+08,539580.03,48500.02,1.298200E+07,48081.44
1761508094,551001.98,1.511968E+08,539987.96,49100.00,1.347300E+07,48117.82
1761508104,546544.97,1.566622E+08,540214.06,48700.00,1.396000E+07,48137.89
1761508114,534170.03,1.620039E+08,540012.59,47600.00,1.443600E+07,48119.96
1761508124,555500.00,1.675589E+08,540512.19,49500.00,1.493100E+07,48164.48
1761508134,545408.99,1.730130E+08,540665.21,48600.00,1.541700E+07,48178.09
1761508144,559973.98,1.786127E+08,541250.32,49900.00,1.591600E+07,48230.27
1761508154,546520.04,1.840779E+08,541405.32,48700.00,1.640300E+07,48244.08
1761508164,534182.70,1.894198E+08,541198.96,47599.97,1.687900E+07,48225.68
1761508174,545397.30,1.948737E+08,541315.58,48600.03,1.736500E+07,48236.08
1761508184,527439.00,2.001481E+08,540940.53,47000.00,1.783500E+07,48202.67
1761508194,545399.75,2.056021E+08,541057.88,48599.98,1.832100E+07,48213.13
1761508204,548766.26,2.110898E+08,541255.53,48900.02,1.881000E+07,48230.74
1761508214,542033.97,2.165101E+08,541274.99,48300.00,1.929300E+07,48232.47
1761508224,527445.02,2.217846E+08,540937.68,47000.00,1.976300E+07,48202.41
1761508234,530816.02,2.270927E+08,540696.68,47300.00,2.023600E+07,48180.92
1761508244,552143.94,2.326142E+08,540962.90,49200.00,2.072800E+07,48204.62
1761508254,534182.03,2.379560E+08,540808.79,47600.00,2.120400E+07,48190.88
1761508264,538656.04,2.433426E+08,540760.95,48000.00,2.168400E+07,48186.64
1761508274,547637.99,2.488189E+08,540910.45,48800.00,2.217200E+07,48199.97
1761508284,527436.97,2.540933E+08,540623.78,47000.00,2.264200E+07,48174.44
1761508294,548786.94,2.595812E+08,540793.85,48899.99,2.313100E+07,48189.56
1761508304,550994.81,2.650911E+08,541002.03,49099.98,2.362200E+07,48208.14
1761508314,537545.27,2.704666E+08,540932.89,47900.02,2.410100E+07,48201.98
1761508324,551015.72,2.759767E+08,541130.60,49099.98,2.459200E+07,48219.58
1761508334,551026.30,2.814870E+08,541320.90,49100.03,2.508300E+07,48236.52
1761508344,535300.01,2.868400E+08,541207.30,47700.00,2.556000E+07,48226.39
1761508354,536420.97,2.922042E+08,541118.66,47800.00,2.603800E+07,48218.50
1761508364,539773.03,2.976019E+08,541094.20,48100.00,2.651900E+07,48216.34
1761508374,551026.98,3.031122E+08,541271.57,49100.00,2.701000E+07,48232.12
1761508384,520692.01,3.083191E+08,540910.52,46400.00,2.747400E+07,48199.98
1761508394,553260.83,3.138517E+08,541123.46,49299.99,2.796700E+07,48218.94
1761508404,546520.10,3.193169E+08,541214.93,48700.01,2.845400E+07,48227.10
1761508414,537537.03,3.246923E+08,541153.63,47900.00,2.893300E+07,48221.65
1761508424,564482.04,3.303371E+08,541536.06,50300.00,2.943600E+07,48255.72
1761508434,554381.01,3.358809E+08,541743.24,49400.00,2.993000E+07,48274.17
1761508444,537536.98,3.412563E+08,541676.47,47900.00,3.040900E+07,48268.24
1761508454,560007.98,3.468564E+08,541962.90,49900.00,3.090800E+07,48293.73
1761508464,544282.01,3.522992E+08,541998.58,48500.00,3.139300E+07,48296.90
1761508474,512836.99,3.574276E+08,541556.74,45700.00,3.185000E+07,48257.56
1761508484,545399.81,3.628816E+08,541614.10,48599.98,3.233600E+07,48262.67
1761508494,544273.20,3.683243E+08,541653.20,48500.02,3.282100E+07,48266.16
1761508504,520726.01,3.735316E+08,541349.91,46400.00,3.328500E+07,48239.11
1761508514,557736.98,3.791089E+08,541584.01,49700.00,3.378200E+07,48259.98
1761508524,538664.00,3.844956E+08,541542.88,48000.00,3.426200E+07,48256.32
1761508534,524072.95,3.897363E+08,541300.25,46700.00,3.472900E+07,48234.71
1761508544,555500.05,3.952913E+08,541494.76,49500.00,3.522400E+07,48252.04
1761508554,561126.01,4.009026E+08,541760.05,50000.00,3.572400E+07,48275.66
1761508564,549883.01,4.064014E+08,541868.36,49000.00,3.621400E+07,48285.32
1761508574,545391.00,4.118553E+08,541914.71,48600.00,3.670000E+07,48289.46
1761508584,554381.97,4.173991E+08,542076.62,49400.00,3.719400E+07,48303.88
1761508594,542044.03,4.228196E+08,542076.20,48300.00,3.767700E+07,48303.83
1761508604,534181.97,4.281614E+08,541976.27,47600.00,3.815300E+07,48294.92
1761508614,545399.70,4.336154E+08,542019.07,48599.97,3.863900E+07,48298.73
1761508624,522961.31,4.388450E+08,541783.79,46600.03,3.910500E+07,48277.76
1761508634,540893.97,4.442539E+08,541772.94,48200.00,3.958700E+07,48276.81
1761508644,547645.03,4.497304E+08,541843.68,48800.00,4.007500E+07,48283.12
1761508654,537560.96,4.551060E+08,541792.70,47900.00,4.055400E+07,48278.56
1761508664,540894.04,4.605149E+08,541782.13,48200.00,4.103600E+07,48277.63
1761508674,546518.84,4.659801E+08,541837.20,48699.99,4.152300E+07,48282.54
1761508684,555500.14,4.715351E+08,541994.25,49500.01,4.201800E+07,48296.54
1761508694,545399.01,4.769891E+08,542032.94,48600.00,4.250400E+07,48299.99
1761508704,543162.00,4.824207E+08,542045.63,48400.00,4.298800E+07,48301.11
1761508714,539798.88,4.878187E+08,542020.66,48099.99,4.346900E+07,48298.88
1761508724,513958.10,4.929583E+08,541712.28,45800.01,4.392700E+07,48271.42
1761508734,537569.02,4.983340E+08,541667.25,47900.00,4.440600E+07,48267.38
1761508744,550994.00,5.038439E+08,541767.53,49100.00,4.489700E+07,48276.33
1761508754,537536.97,5.092193E+08,541722.53,47900.00,4.537600E+07,48272.33
1761508764,545400.01,5.146733E+08,541761.24,48600.00,4.586200E+07,48275.78
1761508774,544282.02,5.201161E+08,541787.50,48500.00,4.634700E+07,48278.11

Summary:
loaded 523584000 metrics in 966.553sec with 8 workers (mean rate 541702.08 metrics/sec)
loaded 46656000 rows in 966.553sec with 8 workers (mean rate 48270.48 rows/sec)
