Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761510946,511719.11,5.117210E+06,511719.11,45599.83,4.560000E+05,45599.83
1761510956,519599.89,1.031321E+07,515659.50,46299.99,9.190000E+05,45949.91
1761510966,518453.10,1.549774E+07,516590.70,46200.01,1.381000E+06,46033.28
1761510976,510626.00,2.060400E+07,515099.52,45500.00,1.836000E+06,45899.96
1761510986,513958.00,2.574358E+07,514871.22,45800.00,2.294000E+06,45879.97
1761510996,525200.01,3.099558E+07,516592.68,46800.00,2.762000E+06,46033.31
1761511006,536420.95,3.635979E+07,519425.29,47800.00,3.240000E+06,46285.69
1761511016,546542.05,4.182521E+07,522814.89,48700.00,3.727000E+06,46587.48
1761511026,543136.96,4.725658E+07,525072.89,48400.00,4.211000E+06,46788.87
1761511036,534173.00,5.259831E+07,525982.90,47600.00,4.687000E+06,46869.98
1761511046,543164.02,5.802995E+07,527544.82,48400.00,5.171000E+06,47009.08
1761511056,526317.99,6.329313E+07,527442.59,46900.00,5.640000E+06,46999.99
1761511066,534180.99,6.863494E+07,527960.93,47600.00,6.116000E+06,47046.14
1761511076,545400.01,7.408894E+07,529206.57,48600.00,6.602000E+06,47157.13
1761511086,526318.75,7.935213E+07,529014.05,46899.98,7.071000E+06,47139.99
1761511096,562244.27,8.497457E+07,531090.94,50100.02,7.572000E+06,47324.99
1761511106,549882.97,9.047340E+07,532196.35,49000.00,8.062000E+06,47423.52
1761511116,547639.03,9.594979E+07,533054.28,48800.00,8.550000E+06,47499.99
1761511126,518478.00,1.011346E+08,532287.11,46200.00,9.012000E+06,47431.57
1761511136,556616.99,1.067007E+08,533503.60,49600.00,9.508000E+06,47539.99
1761511146,546520.00,1.121659E+08,534123.43,48700.00,9.995000E+06,47595.23
1761511156,549906.00,1.176650E+08,534840.82,49000.00,1.048500E+07,47659.08
1761511166,533030.99,1.229953E+08,534762.13,47500.00,1.096000E+07,47652.17
1761511176,547668.73,1.284720E+08,535299.91,48799.98,1.144800E+07,47699.99
1761511186,568957.28,1.341616E+08,536646.20,50700.02,1.195500E+07,47819.99
1761511196,536416.70,1.395257E+08,536637.37,47799.97,1.243300E+07,47819.22
1761511206,544283.31,1.449686E+08,536920.56,48500.03,1.291800E+07,47844.44
1761511216,549874.01,1.504673E+08,537383.18,49000.00,1.340800E+07,47885.71
1761511226,537568.99,1.558430E+08,537389.59,47900.00,1.388700E+07,47886.20
1761511236,546520.97,1.613082E+08,537693.97,48700.00,1.437400E+07,47913.33
1761511246,536418.02,1.666724E+08,537652.81,47800.00,1.485200E+07,47909.67
1761511256,527437.71,1.719468E+08,537333.59,46999.97,1.532200E+07,47881.24
1761511266,543162.28,1.773784E+08,537510.21,48400.03,1.580600E+07,47896.96
1761511276,562218.76,1.830006E+08,538236.93,50099.98,1.630700E+07,47961.76
1761511286,533053.24,1.883311E+08,538088.83,47500.02,1.678200E+07,47948.57
1761511296,542045.99,1.937516E+08,538198.75,48300.00,1.726500E+07,47958.33
1761511306,528556.00,1.990371E+08,537938.14,47100.00,1.773600E+07,47935.13
1761511316,551026.01,2.045474E+08,538282.55,49100.00,1.822700E+07,47965.78
1761511326,543161.00,2.099790E+08,538407.64,48400.00,1.871100E+07,47976.92
1761511336,555500.01,2.155340E+08,538834.95,49500.00,1.920600E+07,48015.00
1761511346,549875.98,2.210328E+08,539104.24,49000.00,1.969600E+07,48039.02
1761511356,529681.99,2.263296E+08,538879.90,47200.00,2.016800E+07,48019.04
1761511366,544273.00,2.317723E+08,539005.33,48500.00,2.065300E+07,48030.23
1761511376,539808.02,2.371704E+08,539023.57,48100.00,2.113400E+07,48031.81
1761511386,534182.01,2.425122E+08,538915.98,47600.00,2.161000E+07,48022.22
1761511396,552109.71,2.480333E+08,539202.80,49199.97,2.210200E+07,48047.82
1761511406,533063.27,2.533639E+08,539072.17,47500.02,2.257700E+07,48036.17
1761511416,544280.00,2.588067E+08,539180.67,48500.00,2.306200E+07,48045.83
1761511426,561125.78,2.644180E+08,539628.53,49999.98,2.356200E+07,48085.71
1761511436,530794.20,2.697259E+08,539451.84,47300.02,2.403500E+07,48070.00
1761511446,547637.03,2.752023E+08,539612.33,48800.00,2.452300E+07,48084.31
1761511456,552142.97,2.807237E+08,539853.31,49200.00,2.501500E+07,48105.77
1761511466,540926.01,2.861330E+08,539873.55,48200.00,2.549700E+07,48107.54
1761511476,526321.01,2.913962E+08,539622.57,46900.00,2.596600E+07,48085.18
1761511486,547636.98,2.968726E+08,539768.29,48800.00,2.645400E+07,48098.18
1761511496,537536.03,3.022479E+08,539728.43,47900.00,2.693300E+07,48094.64
1761511506,536418.98,3.076121E+08,539670.37,47800.00,2.741100E+07,48089.47
1761511516,554381.01,3.131559E+08,539924.00,49400.00,2.790500E+07,48112.07
1761511526,552144.98,3.186774E+08,540131.14,49200.00,2.839700E+07,48130.51
1761511536,530792.00,3.239853E+08,539975.48,47300.00,2.887000E+07,48116.66
1761511546,562242.87,3.296077E+08,540340.52,50099.99,2.937100E+07,48149.18
1761511556,557739.16,3.351851E+08,540621.15,49700.01,2.986800E+07,48174.19
1761511566,539804.88,3.405832E+08,540608.19,48099.99,3.034900E+07,48173.01
1761511576,549875.12,3.460819E+08,540752.98,49000.01,3.083900E+07,48185.93
1761511586,556619.98,3.516481E+08,540997.09,49600.00,3.133500E+07,48207.69
1761511596,528587.02,3.569340E+08,540809.06,47100.00,3.180600E+07,48190.91
1761511606,535299.89,3.622870E+08,540726.83,47699.99,3.228300E+07,48183.58
1761511616,542013.11,3.677071E+08,540745.75,48300.01,3.276600E+07,48185.29
1761511626,531943.98,3.730266E+08,540618.19,47400.00,3.324000E+07,48173.91
1761511636,534181.75,3.783684E+08,540526.24,47599.98,3.371600E+07,48165.71
1761511646,545400.26,3.838224E+08,540594.89,48600.02,3.420200E+07,48171.83
1761511656,550992.00,3.893323E+08,540739.29,49100.00,3.469300E+07,48184.72
1761511666,545399.99,3.947863E+08,540803.14,48600.00,3.517900E+07,48190.41
1761511676,536427.01,4.001506E+08,540744.00,47800.00,3.565700E+07,48185.13
1761511686,562235.99,4.057729E+08,541030.56,50100.00,3.615800E+07,48210.66
1761511696,546518.99,4.112381E+08,541102.78,48700.00,3.664500E+07,48217.10
1761511706,549908.04,4.167372E+08,541217.13,49000.00,3.713500E+07,48227.27
1761511716,536417.99,4.221014E+08,541155.60,47800.00,3.761300E+07,48221.79
1761511726,530792.00,4.274093E+08,541024.42,47300.00,3.808600E+07,48210.12
1761511736,558886.98,4.329982E+08,541247.70,49800.00,3.858400E+07,48230.00
1761511746,517339.01,4.381716E+08,540952.53,46100.00,3.904500E+07,48203.70
1761511756,549873.97,4.436703E+08,541061.33,49000.00,3.953500E+07,48213.41
1761511766,564482.04,4.493151E+08,541343.51,50300.00,4.003800E+07,48238.55
1761511776,520725.97,4.545224E+08,541098.06,46400.00,4.050200E+07,48216.66
1761511786,535300.02,4.598754E+08,541029.85,47700.00,4.097900E+07,48210.59
1761511796,530792.01,4.651833E+08,540910.80,47300.00,4.145200E+07,48200.00
1761511806,554381.99,4.707271E+08,541065.64,49400.00,4.194600E+07,48213.79
1761511816,554380.98,4.762709E+08,541216.95,49400.00,4.244000E+07,48227.27
1761511826,524080.02,4.815117E+08,541024.40,46700.00,4.290700E+07,48210.11
1761511836,552146.99,4.870332E+08,541147.99,49200.00,4.339900E+07,48221.11
1761511846,518453.00,4.922177E+08,540898.59,46200.00,4.386100E+07,48198.90
1761511856,534183.01,4.975596E+08,540825.60,47600.00,4.433700E+07,48192.39
1761511866,537536.99,5.029349E+08,540790.24,47900.00,4.481600E+07,48189.25
1761511876,558864.01,5.085236E+08,540982.51,49800.00,4.531400E+07,48206.38
1761511886,546541.97,5.139890E+08,541041.03,48700.00,4.580100E+07,48211.58
1761511896,542013.02,5.194091E+08,541051.16,48300.00,4.628400E+07,48212.50

Summary:
loaded 523584000 metrics in 967.873sec with 8 workers (mean rate 540963.66 metrics/sec)
loaded 46656000 rows in 967.873sec with 8 workers (mean rate 48204.68 rows/sec)
