Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761513034,503849.53,5.038580E+06,503849.53,44899.25,4.490000E+05,44899.25
1761513044,515099.97,1.018958E+07,509474.70,45900.00,9.080000E+05,45399.62
1761513054,530819.02,1.549777E+07,516589.43,47300.00,1.381000E+06,46033.07
1761513064,507235.98,2.057013E+07,514251.08,45200.00,1.833000E+06,45824.81
1761513074,520726.04,2.577739E+07,515546.07,46400.00,2.297000E+06,45939.85
1761513084,509473.97,3.087213E+07,514534.05,45400.00,2.751000E+06,45849.87
1761513094,527444.99,3.614658E+07,516378.47,47000.00,3.221000E+06,46014.17
1761513104,558881.02,4.173539E+07,521691.28,49800.00,3.719000E+06,46487.40
1761513114,550991.98,4.724531E+07,524946.90,49100.00,4.210000E+06,46777.69
1761513124,528589.99,5.253121E+07,525311.21,47100.00,4.681000E+06,46809.92
1761513134,558853.02,5.811974E+07,528360.46,49800.00,5.179000E+06,47081.75
1761513144,536419.98,6.348394E+07,529032.09,47800.00,5.657000E+06,47141.60
1761513154,540927.03,6.889321E+07,529947.08,48200.00,6.139000E+06,47223.02
1761513164,561092.00,7.450413E+07,532171.72,50000.00,6.639000E+06,47421.37
1761513174,536417.96,7.986831E+07,532454.80,47800.00,7.117000E+06,47446.61
1761513184,530826.04,8.517657E+07,532353.00,47300.00,7.590000E+06,47437.45
1761513194,557735.99,9.075393E+07,533846.12,49700.00,8.087000E+06,47570.54
1761513204,548764.99,9.624158E+07,534674.94,48900.00,8.576000E+06,47644.40
1761513214,516242.00,1.014040E+08,533704.79,46000.00,9.036000E+06,47557.85
1761513224,565599.99,1.070600E+08,535299.55,50400.00,9.540000E+06,47699.96
1761513234,544257.77,1.125026E+08,535726.13,48499.98,1.002500E+07,47738.06
1761513244,557763.22,1.180802E+08,536727.81,49700.02,1.052200E+07,47827.24
1761513254,547635.02,1.235566E+08,537202.04,48800.00,1.101000E+07,47869.53
1761513264,536417.99,1.289207E+08,537169.37,47800.00,1.148800E+07,47866.63
1761513274,548766.02,1.344084E+08,537633.24,48900.00,1.197700E+07,47907.97
1761513284,546517.99,1.398736E+08,537974.96,48700.00,1.246400E+07,47938.43
1761513294,558881.01,1.454624E+08,538749.26,49800.00,1.296200E+07,48007.38
1761513304,535299.99,1.508154E+08,538626.07,47700.00,1.343900E+07,47996.40
1761513314,546517.99,1.562806E+08,538898.20,48700.00,1.392600E+07,48020.66
1761513324,545400.03,1.617346E+08,539114.93,48600.00,1.441200E+07,48039.97
1761513334,552143.00,1.672560E+08,539535.19,49200.00,1.490400E+07,48077.39
1761513344,544257.84,1.726986E+08,539682.77,48499.99,1.538900E+07,48090.60
1761513354,561116.15,1.783097E+08,540332.27,50000.01,1.588900E+07,48148.46
1761513364,555502.04,1.838648E+08,540778.44,49499.91,1.638400E+07,48188.21
1761513374,547636.93,1.893411E+08,540974.40,48800.08,1.687200E+07,48205.69
1761513384,548787.02,1.948290E+08,541191.41,48900.00,1.736100E+07,48224.98
1761513394,535300.01,2.001820E+08,541032.19,47700.00,1.783800E+07,48210.79
1761513404,543131.01,2.056133E+08,541087.42,48400.00,1.832200E+07,48215.77
1761513414,542042.99,2.110337E+08,541111.92,48300.00,1.880500E+07,48217.93
1761513424,556617.98,2.165999E+08,541499.57,49600.00,1.930100E+07,48252.48
1761513434,562247.02,2.222224E+08,542005.61,50100.00,1.980200E+07,48297.54
1761513444,519573.99,2.274181E+08,541471.52,46300.00,2.026500E+07,48249.98
1761513454,542044.02,2.328386E+08,541484.83,48300.00,2.074800E+07,48251.14
1761513464,528556.00,2.381241E+08,541191.00,47100.00,2.121900E+07,48224.98
1761513474,560008.00,2.437242E+08,541609.15,49900.00,2.171800E+07,48262.20
1761513484,539772.96,2.491219E+08,541569.24,48100.00,2.219900E+07,48258.68
1761513494,545400.03,2.545759E+08,541650.74,48600.00,2.268500E+07,48265.94
1761513504,526318.99,2.598391E+08,541331.33,46900.00,2.315400E+07,48237.48
1761513514,533061.02,2.651697E+08,541162.55,47500.00,2.362900E+07,48222.43
1761513524,551025.99,2.706800E+08,541359.82,49100.00,2.412000E+07,48239.98
