Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761574236,573429.72,5.734310E+06,573429.72,51099.89,5.110000E+05,51099.89
1761574246,549908.01,1.123339E+07,561668.87,49000.00,1.001000E+06,50049.94
1761574256,545399.99,1.668739E+07,556245.92,48600.00,1.487000E+06,49566.63
1761574266,528555.01,2.197294E+07,549323.19,47100.00,1.958000E+06,48949.97
1761574276,552145.00,2.749439E+07,549887.56,49200.00,2.450000E+06,48999.98
1761574286,524082.01,3.273521E+07,545586.63,46700.00,2.917000E+06,48616.65
1761574296,556617.99,3.830139E+07,547162.54,49600.00,3.413000E+06,48757.13
1761574306,561100.88,4.391240E+07,548904.83,49999.99,3.913000E+06,48912.49
1761574316,563353.14,4.954593E+07,550510.20,50200.01,4.415000E+06,49055.54
1761574326,548764.98,5.503358E+07,550335.68,48900.00,4.904000E+06,49039.99
1761574336,555494.00,6.058852E+07,550804.62,49500.00,5.399000E+06,49081.81
1761574346,522960.99,6.581813E+07,548484.31,46600.00,5.865000E+06,48874.99
1761574356,548787.01,7.130600E+07,548507.60,48900.00,6.354000E+06,48876.91
1761574366,564457.69,7.695058E+07,549646.89,50299.97,6.857000E+06,48978.56
1761574376,536442.29,8.231500E+07,548766.58,47800.03,7.335000E+06,48899.99
1761574386,528557.00,8.760057E+07,547503.49,47100.00,7.806000E+06,48787.49
1761574396,577937.02,9.337994E+07,549293.69,51500.00,8.321000E+06,48947.05
1761574406,536418.99,9.874413E+07,548578.43,47800.00,8.799000E+06,48883.33
1761574416,542043.99,1.041646E+08,548234.51,48300.00,9.282000E+06,48852.63
1761574426,580174.02,1.099663E+08,549831.49,51700.00,9.799000E+06,48994.99
1761574436,564481.98,1.156111E+08,550529.13,50300.00,1.030200E+07,49057.14
1761574446,561126.02,1.212224E+08,551010.81,50000.00,1.080200E+07,49100.00
1761574456,545399.99,1.266764E+08,550766.86,48600.00,1.128800E+07,49078.26
1761574466,544282.00,1.321192E+08,550496.66,48500.00,1.177300E+07,49054.16
1761574476,533037.01,1.374496E+08,549798.27,47500.00,1.224800E+07,48992.00
1761574486,554381.99,1.429934E+08,549974.57,49400.00,1.274200E+07,49007.69
1761574496,576818.00,1.487616E+08,550968.77,51400.00,1.325600E+07,49096.29
1761574506,557738.98,1.543390E+08,551210.56,49700.00,1.375300E+07,49117.85
1761574516,538677.00,1.597257E+08,550778.37,48000.00,1.423300E+07,49079.31
1761574526,554383.02,1.652696E+08,550898.53,49400.00,1.472700E+07,49090.00
1761574536,557736.77,1.708469E+08,551119.11,49699.98,1.522400E+07,49109.67
1761574546,562245.23,1.764694E+08,551466.81,50100.02,1.572500E+07,49140.62
1761574556,553261.00,1.820020E+08,551521.17,49300.00,1.621800E+07,49145.45
1761574566,540894.01,1.874109E+08,551208.61,48200.00,1.670000E+07,49117.64
1761574576,556618.97,1.929771E+08,551363.19,49600.00,1.719600E+07,49131.43
1761574586,547645.02,1.984536E+08,551259.91,48800.00,1.768400E+07,49122.22
1761574596,537563.00,2.038292E+08,550889.72,47900.00,1.816300E+07,49089.19
1761574606,556618.02,2.093954E+08,551040.47,49600.00,1.865900E+07,49102.63
1761574616,548754.96,2.148829E+08,550981.87,48900.00,1.914800E+07,49097.43
1761574626,562245.03,2.205054E+08,551263.44,50100.00,1.964900E+07,49122.50
1761574636,567835.00,2.261837E+08,551667.63,50600.00,2.015500E+07,49158.53
1761574646,513983.00,2.313236E+08,550770.38,45800.00,2.061300E+07,49078.57
1761574656,542042.97,2.367440E+08,550567.41,48300.00,2.109600E+07,49060.46
1761574666,552113.03,2.422651E+08,550602.54,49200.00,2.158800E+07,49063.63
1761574676,545399.71,2.477191E+08,550486.92,48599.97,2.207400E+07,49053.33
1761574686,553261.29,2.532517E+08,550547.23,49300.03,2.256700E+07,49058.69
1761574696,553264.99,2.587844E+08,550605.06,49300.00,2.306000E+07,49063.83
1761574706,527435.00,2.640587E+08,550122.35,47000.00,2.353000E+07,49020.83
1761574716,547639.03,2.695351E+08,550071.67,48800.00,2.401800E+07,49016.32
1761574726,566717.99,2.752023E+08,550404.60,50500.00,2.452300E+07,49046.00
1761574736,530825.97,2.805106E+08,550020.70,47300.00,2.499600E+07,49011.76
1761574746,549874.00,2.860093E+08,550017.88,49000.00,2.548600E+07,49011.54
1761574756,556627.02,2.915756E+08,550142.58,49600.00,2.598200E+07,49022.64
1761574766,530815.99,2.968837E+08,549784.68,47300.00,2.645500E+07,48990.74
1761574776,536420.00,3.022479E+08,549541.69,47800.00,2.693300E+07,48969.09
1761574786,551027.02,3.077582E+08,549568.21,49100.00,2.742400E+07,48971.43
1761574796,546517.99,3.132234E+08,549514.70,48700.00,2.791100E+07,48966.66
1761574806,531918.89,3.185426E+08,549211.32,47399.99,2.838500E+07,48939.65
1761574816,563355.12,3.241761E+08,549451.05,50200.01,2.888700E+07,48961.02
1761574826,549908.01,3.296752E+08,549458.66,49000.00,2.937700E+07,48961.66
1761574836,542010.02,3.350953E+08,549336.55,48300.00,2.986000E+07,48950.82
1761574846,545399.99,3.405493E+08,549273.06,48600.00,3.034600E+07,48945.16
1761574856,555499.84,3.461043E+08,549371.90,49499.99,3.084100E+07,48953.97
1761574866,538687.13,3.514912E+08,549204.95,48000.01,3.132100E+07,48939.06
1761574876,546518.01,3.569564E+08,549163.61,48700.00,3.180800E+07,48935.38
1761574886,538657.97,3.623429E+08,549004.44,48000.00,3.228800E+07,48921.21
1761574896,512863.01,3.674716E+08,548465.01,45700.00,3.274500E+07,48873.13
1761574906,558856.04,3.730601E+08,548617.82,49800.00,3.324300E+07,48886.76
