Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761592113,501606.95,5.016120E+06,501606.95,44699.55,4.470000E+05,44699.55
1761592123,521843.94,1.023456E+07,511725.40,46499.99,9.120000E+05,45599.77
1761592133,527438.06,1.550894E+07,516962.93,47000.01,1.382000E+06,46066.51
1761592143,502763.00,2.053657E+07,513412.96,44800.00,1.830000E+06,45749.89
1761592153,527437.00,2.581094E+07,516217.76,47000.00,2.300000E+06,45999.91
1761592163,517336.97,3.098431E+07,516404.30,46100.00,2.761000E+06,46016.59
1761592173,525200.01,3.623631E+07,517660.83,46800.00,3.229000E+06,46128.50
1761592183,562242.99,4.185874E+07,523233.59,50100.00,3.730000E+06,46624.94
1761592193,584683.00,4.770557E+07,530061.29,52100.00,4.251000E+06,47233.28
1761592203,544282.02,5.314839E+07,531483.37,48500.00,4.736000E+06,47359.95
1761592213,557734.69,5.872574E+07,533869.85,49699.97,5.233000E+06,47572.68
1761592223,544283.30,6.416857E+07,534737.64,48500.03,5.718000E+06,47649.96
1761592233,540901.00,6.957758E+07,535211.74,48200.00,6.200000E+06,47692.27
1761592243,543154.98,7.500913E+07,535779.11,48400.00,6.684000E+06,47742.82
1761592253,535300.01,8.036213E+07,535747.17,47700.00,7.161000E+06,47739.97
1761592263,554381.00,8.590594E+07,536911.79,49400.00,7.655000E+06,47843.72
1761592273,540926.99,9.131521E+07,537147.98,48200.00,8.137000E+06,47864.68
1761592283,562220.01,9.693741E+07,538540.87,50100.00,8.638000E+06,47988.86
1761592293,529698.01,1.022344E+08,538075.45,47200.00,9.110000E+06,47947.34
1761592303,554381.59,1.077782E+08,538890.76,49399.96,9.604000E+06,48019.97
1761592313,562210.40,1.134003E+08,540001.22,50100.04,1.010500E+07,48119.02
1761592323,561125.01,1.190116E+08,540961.39,50000.00,1.060500E+07,48204.52
1761592333,546517.98,1.244767E+08,541202.98,48700.00,1.109200E+07,48226.07
1761592343,538657.04,1.298633E+08,541096.90,48000.00,1.157200E+07,48216.65
1761592353,535300.00,1.352163E+08,540865.02,47700.00,1.204900E+07,48195.98
1761592363,536426.74,1.405806E+08,540694.32,47799.98,1.252700E+07,48180.75
