Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761555761,453356.34,4.533580E+06,453356.34,40399.85,4.040000E+05,40399.85
1761555771,453372.99,9.067310E+06,453364.66,40400.00,8.080000E+05,40399.93
1761555781,450025.97,1.356757E+07,452251.77,40100.00,1.209000E+06,40299.95
1761555791,447756.00,1.804513E+07,451127.83,39900.00,1.608000E+06,40199.96
1761555801,457886.82,2.262400E+07,452479.62,40799.98,2.016000E+06,40319.97
1761555811,458974.18,2.721374E+07,453562.05,40900.02,2.425000E+06,40416.64
1761555821,437657.04,3.159031E+07,451289.91,39000.00,2.815000E+06,40214.26
1761555831,461242.98,3.620274E+07,452534.04,41100.00,3.226000E+06,40324.98
1761555841,476939.01,4.097213E+07,455245.70,42500.00,3.651000E+06,40566.65
1761555851,459007.99,4.556221E+07,455621.93,40900.00,4.060000E+06,40599.98
1761555861,473578.82,5.029800E+07,457254.37,42199.98,4.482000E+06,40745.44
1761555871,409594.16,5.439394E+07,453282.69,36500.01,4.847000E+06,40391.65
1761555881,424200.00,5.863594E+07,451045.56,37800.00,5.225000E+06,40192.30
1761555891,446646.01,6.310240E+07,450731.31,39800.00,5.623000E+06,40164.28
1761555901,430934.01,6.741174E+07,449411.49,38400.00,6.007000E+06,40046.66
1761555911,465719.98,7.206894E+07,450430.77,41500.00,6.422000E+06,40137.49
1761555921,482562.90,7.689457E+07,452320.90,42999.99,6.852000E+06,40305.87
1761555931,438774.12,8.128231E+07,451568.30,39100.01,7.243000E+06,40238.88
1761555941,460125.98,8.588357E+07,452018.70,41000.00,7.653000E+06,40278.94
1761555951,492663.99,9.081021E+07,454050.97,43900.00,8.092000E+06,40459.99
1761555961,492637.00,9.573658E+07,455888.40,43900.00,8.531000E+06,40623.80
1761555971,507263.01,1.008092E+08,458223.60,45200.00,8.983000E+06,40831.81
1761555981,487035.98,1.056796E+08,459476.32,43400.00,9.417000E+06,40943.47
1761555991,436536.84,1.100449E+08,458520.50,38899.99,9.806000E+06,40858.33
1761556001,409624.16,1.141412E+08,456564.65,36500.01,1.017100E+07,40683.99
1761556011,406239.01,1.182036E+08,454629.05,36200.00,1.053300E+07,40511.53
1761556021,435416.99,1.225577E+08,453917.49,38800.00,1.092100E+07,40448.14
1761556031,484800.01,1.274057E+08,455020.44,43200.00,1.135300E+07,40546.42
1761556041,506119.99,1.324669E+08,456782.49,45100.00,1.180400E+07,40703.44
1761556051,418606.01,1.366530E+08,455509.94,37300.00,1.217700E+07,40590.00
1761556061,429793.98,1.409509E+08,454680.40,38300.00,1.256000E+07,40516.12
1761556071,434300.00,1.452939E+08,454043.51,38700.00,1.294700E+07,40459.37
1761556081,455618.99,1.498501E+08,454091.25,40600.00,1.335300E+07,40463.63
1761556091,476945.02,1.546196E+08,454763.42,42500.00,1.377800E+07,40523.53
1761556101,478081.00,1.594004E+08,455429.64,42600.00,1.420400E+07,40582.85
1761556111,407355.00,1.634739E+08,454094.23,36300.00,1.456700E+07,40463.88
1761556121,445518.99,1.679291E+08,453862.47,39700.00,1.496400E+07,40443.24
1761556131,435418.00,1.722833E+08,453377.09,38800.00,1.535200E+07,40400.00
1761556141,462363.01,1.769069E+08,453607.50,41200.00,1.576400E+07,40420.51
1761556151,472462.98,1.816316E+08,454078.88,42100.00,1.618500E+07,40462.50
1761556161,472464.02,1.863562E+08,454527.30,42100.00,1.660600E+07,40502.44
1761556171,416336.00,1.905196E+08,453617.98,37100.00,1.697700E+07,40421.43
1761556181,427564.01,1.947952E+08,453012.08,38100.00,1.735800E+07,40367.44
1761556191,424192.00,1.990371E+08,452357.08,37800.00,1.773600E+07,40309.09
1761556201,415217.87,2.031893E+08,451531.76,36999.99,1.810600E+07,40235.55
1761556211,433190.15,2.075212E+08,451133.03,38600.01,1.849200E+07,40200.00
1761556221,435409.98,2.118753E+08,450798.50,38800.00,1.888000E+07,40170.21
1761556231,429826.00,2.161736E+08,450361.57,38300.00,1.926300E+07,40131.25
1761556241,466837.01,2.208419E+08,450697.80,41600.00,1.967900E+07,40161.22
1761556251,469105.98,2.255330E+08,451065.97,41800.00,2.009700E+07,40194.00
1761556261,467956.98,2.302126E+08,451397.16,41700.00,2.051400E+07,40223.53
1761556271,462364.04,2.348362E+08,451608.06,41200.00,2.092600E+07,40242.30
1761556281,469072.80,2.395269E+08,451937.59,41799.98,2.134400E+07,40271.69
1761556291,411863.17,2.436456E+08,451195.47,36700.01,2.171100E+07,40205.55
1761556301,416336.99,2.478089E+08,450561.68,37100.00,2.208200E+07,40149.09
1761556311,434299.82,2.521519E+08,450271.29,38699.98,2.246900E+07,40123.21
1761556321,418585.01,2.563378E+08,449715.39,37300.00,2.284200E+07,40073.68
1761556331,414121.17,2.604790E+08,449101.70,36900.02,2.321100E+07,40018.96
1761556341,434278.99,2.648218E+08,448850.46,38700.00,2.359800E+07,39996.61
1761556351,474720.80,2.695690E+08,449281.64,42299.98,2.402100E+07,40035.00
1761556361,465721.22,2.742262E+08,449551.14,41500.02,2.443600E+07,40059.01
1761556371,501609.98,2.792423E+08,450390.80,44700.00,2.488300E+07,40133.87
1761556381,460126.02,2.838436E+08,450545.32,41000.00,2.529300E+07,40147.62
1761556391,460100.75,2.884446E+08,450694.63,40999.98,2.570300E+07,40160.93
1761556401,489299.25,2.933376E+08,451288.54,43600.02,2.613900E+07,40213.84
1761556411,411864.00,2.974562E+08,450691.20,36700.00,2.650600E+07,40160.60
1761556421,428673.01,3.017429E+08,450362.57,38200.00,2.688800E+07,40131.34
1761556431,428705.99,3.060300E+08,450044.09,38200.00,2.727000E+07,40102.94
1761556441,428674.00,3.103167E+08,449734.38,38200.00,2.765200E+07,40075.36
1761556451,441046.99,3.147272E+08,449610.28,39300.00,2.804500E+07,40064.28
1761556461,453379.02,3.192610E+08,449663.36,40400.00,2.844900E+07,40069.01
1761556471,428673.98,3.235477E+08,449371.84,38200.00,2.883100E+07,40043.05
1761556481,469084.01,3.282386E+08,449641.87,41800.00,2.924900E+07,40067.12
1761556491,462354.98,3.328621E+08,449813.67,41200.00,2.966100E+07,40082.43
1761556501,473581.00,3.375979E+08,450130.56,42200.00,3.008300E+07,40110.66
1761556511,482563.03,3.424236E+08,450557.31,43000.00,3.051300E+07,40148.68
1761556521,466836.99,3.470919E+08,450768.73,41600.00,3.092900E+07,40167.53
1761556531,416336.99,3.512553E+08,450327.30,37100.00,3.130000E+07,40128.20
1761556541,426469.01,3.555200E+08,450025.30,38000.00,3.168000E+07,40101.26
1761556551,400613.00,3.595261E+08,449407.64,35700.00,3.203700E+07,40046.25
1761556561,417487.00,3.637010E+08,449013.56,37200.00,3.240900E+07,40011.11
1761556571,425321.02,3.679542E+08,448724.63,37900.00,3.278800E+07,39985.36
1761556581,461210.00,3.725663E+08,448875.05,41100.00,3.319900E+07,39998.79
1761556591,412980.99,3.766961E+08,448447.74,36800.00,3.356700E+07,39960.71
1761556601,451144.75,3.812076E+08,448479.47,40199.98,3.396900E+07,39963.53
1761556611,464599.25,3.858536E+08,448666.91,41400.02,3.438300E+07,39980.23
1761556621,470202.01,3.905556E+08,448914.44,41900.00,3.480200E+07,40002.30
1761556631,482555.01,3.953811E+08,449296.72,43000.00,3.523200E+07,40036.36
1761556641,467986.99,4.000610E+08,449506.72,41700.00,3.564900E+07,40055.05
1761556651,407357.01,4.041346E+08,449038.39,36300.00,3.601200E+07,40013.33
1761556661,418574.00,4.083203E+08,448703.62,37300.00,3.638500E+07,39983.51
1761556671,423081.99,4.125511E+08,448425.12,37700.00,3.676200E+07,39958.69
1761556681,406244.82,4.166136E+08,447971.57,36199.98,3.712400E+07,39918.28
1761556691,428699.20,4.209006E+08,447766.55,38200.02,3.750600E+07,39900.00
1761556701,457856.00,4.254791E+08,447872.75,40800.00,3.791400E+07,39909.47
1761556711,409626.00,4.295754E+08,447474.35,36500.00,3.827900E+07,39873.96
1761556721,470192.00,4.342773E+08,447708.55,41900.00,3.869800E+07,39894.84
1761556731,469105.00,4.389684E+08,447926.88,41800.00,3.911600E+07,39914.28
