Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761561610,508355.61,5.083570E+06,508355.61,45299.88,4.530000E+05,45299.88
1761561620,517337.14,1.025694E+07,512846.37,46100.01,9.140000E+05,45699.94
1761561630,511744.99,1.537439E+07,512479.24,45600.00,1.370000E+06,45666.63
1761561640,490391.98,2.027831E+07,506957.43,43700.00,1.807000E+06,45174.97
1761561650,520726.01,2.548557E+07,509711.14,46400.00,2.271000E+06,45419.98
1761561660,518455.99,3.067013E+07,511168.62,46200.00,2.733000E+06,45549.98
1761561670,517345.01,3.584358E+07,512050.96,46100.00,3.194000E+06,45628.56
1761561680,552136.00,4.136494E+07,517061.59,49200.00,3.686000E+06,46074.99
1761561690,534179.95,4.670674E+07,518963.63,47600.00,4.162000E+06,46244.43
1761561700,510626.07,5.181300E+07,518129.87,45500.01,4.617000E+06,46169.99
1761561710,540893.99,5.722194E+07,520199.34,48200.00,5.099000E+06,46354.53
1761561720,535300.02,6.257494E+07,521457.73,47700.00,5.576000E+06,46466.66
1761561730,524079.92,6.781574E+07,521659.43,46699.99,6.043000E+06,46484.61
1761561740,548757.05,7.330331E+07,523594.98,48900.00,6.532000E+06,46657.13
1761561750,513981.95,7.844313E+07,522954.11,45800.00,6.990000E+06,46599.99
1761561760,533061.08,8.377374E+07,523585.79,47500.01,7.465000E+06,46656.24
1761561770,551025.76,8.928400E+07,525199.91,49099.98,7.956000E+06,46799.99
1761561780,554358.24,9.482758E+07,526819.82,49400.02,8.450000E+06,46944.44
1761561790,540916.01,1.002367E+08,527561.72,48200.00,8.932000E+06,47010.52
1761561800,561125.94,1.058480E+08,529239.93,49999.99,9.432000E+06,47159.99
1761561810,568957.05,1.115376E+08,531131.22,50700.00,9.939000E+06,47328.57
1761561820,540901.01,1.169466E+08,531575.30,48200.00,1.042100E+07,47368.18
1761561830,540916.01,1.223557E+08,531981.42,48200.00,1.090300E+07,47404.34
1761561840,538665.75,1.277424E+08,532259.93,47999.98,1.138300E+07,47429.16
1761561850,544273.25,1.331851E+08,532740.47,48500.02,1.186800E+07,47472.00
1761561860,536425.97,1.385494E+08,532882.22,47800.00,1.234600E+07,47484.61
1761561870,538678.91,1.439362E+08,533096.91,47999.99,1.282600E+07,47503.70
1761561880,531913.11,1.492553E+08,533054.63,47400.01,1.330000E+07,47500.00
1761561890,527469.01,1.545300E+08,532862.02,47000.00,1.377000E+07,47482.75
1761561900,544257.99,1.599726E+08,533241.89,48500.00,1.425500E+07,47516.66
1761561910,516242.01,1.651350E+08,532693.51,46000.00,1.471500E+07,47467.74
1761561920,522930.98,1.703643E+08,532388.43,46600.00,1.518100E+07,47440.62
1761561930,533063.03,1.756949E+08,532408.87,47500.00,1.565600E+07,47442.42
1761561940,548763.70,1.811826E+08,532889.89,48899.97,1.614500E+07,47485.29
1761561950,542036.27,1.866029E+08,533151.22,48300.02,1.662800E+07,47508.57
1761561960,512863.00,1.917316E+08,532587.66,45700.00,1.708500E+07,47458.33
1761561970,539773.87,1.971293E+08,532781.88,48099.99,1.756600E+07,47475.67
1761561980,525209.15,2.023814E+08,532582.60,46800.01,1.803400E+07,47457.89
1761561990,527460.01,2.076560E+08,532451.25,47000.00,1.850400E+07,47446.15
1761562000,546520.99,2.131212E+08,532802.99,48700.00,1.899100E+07,47477.50
1761562010,530791.99,2.184291E+08,532753.94,47300.00,1.946400E+07,47473.17
1761562020,524079.95,2.236699E+08,532547.42,46700.00,1.993100E+07,47454.76
1761562030,542046.05,2.290904E+08,532768.32,48300.00,2.041400E+07,47474.42
1761562040,513981.99,2.342302E+08,532341.36,45800.00,2.087200E+07,47436.36
1761562050,525199.72,2.394822E+08,532182.65,46799.97,2.134000E+07,47422.22
1761562060,535300.30,2.448352E+08,532250.43,47700.03,2.181700E+07,47428.26
1761562070,537536.01,2.502106E+08,532362.89,47900.00,2.229600E+07,47438.30
1761562080,519573.98,2.554063E+08,532096.45,46300.00,2.275900E+07,47414.58
1761562090,554381.99,2.609501E+08,532551.26,49400.00,2.325300E+07,47455.10
1761562100,545400.02,2.664041E+08,532808.23,48600.00,2.373900E+07,47478.00
1761562110,518487.01,2.715890E+08,532527.43,46200.00,2.420100E+07,47452.94
1761562120,544257.99,2.770316E+08,532753.01,48500.00,2.468600E+07,47473.07
1761562130,548781.01,2.825194E+08,533055.43,48900.00,2.517500E+07,47500.00
1761562140,518455.00,2.877039E+08,532785.05,46200.00,2.563700E+07,47475.92
1761562150,521844.97,2.929224E+08,532586.14,46500.00,2.610200E+07,47458.18
1761562160,546520.00,2.983876E+08,532834.96,48700.00,2.658900E+07,47480.35
1761562170,513980.01,3.035274E+08,532504.17,45800.00,2.704700E+07,47450.88
1761562180,548755.00,3.090149E+08,532784.36,48900.00,2.753600E+07,47475.86
1761562190,546518.98,3.144801E+08,533017.15,48700.00,2.802300E+07,47496.61
1761562200,534181.02,3.198219E+08,533036.54,47600.00,2.849900E+07,47498.33
1761562210,536418.99,3.251861E+08,533091.99,47800.00,2.897700E+07,47503.28
1761562220,546518.03,3.306513E+08,533308.54,48700.00,2.946400E+07,47522.58
1761562230,530826.00,3.359596E+08,533269.14,47300.00,2.993700E+07,47519.05
1761562240,513980.89,3.410994E+08,532967.76,45799.99,3.039500E+07,47492.19
1761562250,540902.95,3.465084E+08,533089.84,48200.00,3.087700E+07,47503.07
1761562260,526317.14,3.517716E+08,532987.22,46900.01,3.134600E+07,47493.94
1761562270,520716.01,3.569787E+08,532804.07,46400.00,3.181000E+07,47477.61
1761562280,536419.70,3.623429E+08,532857.24,47799.97,3.228800E+07,47482.35
1761562290,513980.29,3.674827E+08,532583.66,45800.03,3.274600E+07,47457.97
1761562300,529684.00,3.727796E+08,532542.24,47200.00,3.321800E+07,47454.28
1761562310,530819.01,3.780878E+08,532517.97,47300.00,3.369100E+07,47452.11
1761562320,539781.01,3.834856E+08,532618.84,48100.00,3.417200E+07,47461.11
1761562330,524072.98,3.887263E+08,532501.78,46700.00,3.463900E+07,47450.68
1761562340,528566.00,3.940120E+08,532448.59,47100.00,3.511000E+07,47445.94
1761562350,546542.05,3.994774E+08,532636.50,48700.00,3.559700E+07,47462.67
1761562360,535299.97,4.048304E+08,532671.55,47700.00,3.607400E+07,47465.79
1761562370,531918.98,4.101496E+08,532661.77,47400.00,3.654800E+07,47464.93
1761562380,537562.99,4.155252E+08,532724.61,47900.00,3.702700E+07,47470.51
1761562390,510600.03,4.206312E+08,532444.55,45500.00,3.748200E+07,47445.57
1761562400,555491.99,4.261861E+08,532732.65,49500.00,3.797700E+07,47471.25
1761562410,543161.01,4.316177E+08,532861.39,48400.00,3.846100E+07,47482.71
1761562420,535299.42,4.369707E+08,532891.12,47699.95,3.893800E+07,47485.36
1761562430,561126.59,4.425820E+08,533231.31,50000.05,3.943800E+07,47515.66
1761562440,513957.98,4.477216E+08,533001.87,45800.00,3.989600E+07,47495.24
1761562450,533054.99,4.530521E+08,533002.49,47500.00,4.037100E+07,47495.29
1761562460,536417.75,4.584163E+08,533042.20,47799.98,4.084900E+07,47498.84
1761562470,546527.29,4.638816E+08,533197.20,48700.03,4.133600E+07,47512.64
1761562480,529698.98,4.691786E+08,533157.45,47200.00,4.180800E+07,47509.09
1761562490,536417.01,4.745427E+08,533194.08,47800.00,4.228600E+07,47512.36
1761562500,519575.01,4.797385E+08,533042.75,46300.00,4.274900E+07,47498.89
1761562510,540925.01,4.851477E+08,533129.37,48200.00,4.323100E+07,47506.59
1761562520,521846.99,4.903662E+08,533006.74,46500.00,4.369600E+07,47495.65
1761562530,531919.01,4.956854E+08,532995.04,47400.00,4.417000E+07,47494.62
1761562540,526317.81,5.009486E+08,532924.01,46899.98,4.463900E+07,47488.30
1761562550,515100.20,5.060996E+08,532736.39,45900.02,4.509800E+07,47471.58
1761562560,524072.98,5.113403E+08,532646.14,46700.00,4.556500E+07,47463.54
1761562570,525200.00,5.165923E+08,532569.38,46800.00,4.603300E+07,47456.70
1761562580,529708.01,5.218894E+08,532540.18,47200.00,4.650500E+07,47454.08

Summary:
loaded 523584000 metrics in 983.205sec with 8 workers (mean rate 532527.64 metrics/sec)
loaded 46656000 rows in 983.205sec with 8 workers (mean rate 47452.96 rows/sec)
