Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761420593,498255.16,4.982570E+06,498255.16,44399.84,4.440000E+05,44399.84
1761420603,512863.75,1.011121E+07,505559.44,45699.98,9.010000E+05,45049.91
1761420613,524079.26,1.535200E+07,511732.70,46700.02,1.368000E+06,45599.94
1761420623,506121.01,2.041321E+07,510329.78,45100.00,1.819000E+06,45474.96
1761420633,517335.95,2.558657E+07,511731.01,46100.00,2.280000E+06,45599.97
1761420643,522964.03,3.081621E+07,513603.18,46600.00,2.746000E+06,45766.64
1761420653,526317.75,3.607939E+07,515419.55,46899.98,3.215000E+06,45928.54
1761420663,547635.01,4.155574E+07,519446.48,48800.00,3.703000E+06,46287.48
1761420673,557739.22,4.713313E+07,523701.23,49700.02,4.200000E+06,46666.65
1761420683,519608.04,5.232921E+07,523291.91,46300.00,4.663000E+06,46629.98
1761420693,550991.99,5.783913E+07,525810.10,49100.00,5.154000E+06,46854.53
1761420703,533061.01,6.316974E+07,526414.34,47500.00,5.629000E+06,46908.32
1761420713,529698.98,6.846673E+07,526667.00,47200.00,6.101000E+06,46930.76
1761420723,540903.88,7.387577E+07,527683.92,48199.99,6.583000E+06,47021.42
1761420733,539781.10,7.927358E+07,528490.40,48100.01,7.064000E+06,47093.32
1761420743,540916.03,8.468274E+07,529267.00,48200.00,7.546000E+06,47162.49
1761420753,548757.00,9.017031E+07,530413.47,48900.00,8.035000E+06,47264.70
1761420763,555499.96,9.572531E+07,531807.17,49500.00,8.530000E+06,47388.88
1761420773,509508.03,1.008204E+08,530633.53,45400.00,8.984000E+06,47284.20
1761420783,549873.99,1.063191E+08,531595.55,49000.00,9.474000E+06,47369.99
1761420793,566718.01,1.119863E+08,533268.05,50500.00,9.979000E+06,47519.04
1761420803,546526.73,1.174516E+08,533870.72,48699.98,1.046600E+07,47572.72
1761420813,551016.28,1.229617E+08,534616.18,49100.03,1.095700E+07,47639.12
1761420823,544282.99,1.284046E+08,535018.96,48500.00,1.144200E+07,47674.99
1761420833,547636.98,1.338809E+08,535523.68,48800.00,1.193000E+07,47719.99
1761420843,524080.02,1.391217E+08,535083.54,46700.00,1.239700E+07,47680.76
1761420853,545399.96,1.445757E+08,535465.63,48600.00,1.288300E+07,47714.81
1761420863,529683.77,1.498726E+08,535259.13,47199.98,1.335500E+07,47696.42
1761420873,549899.27,1.553716E+08,535763.97,49000.02,1.384500E+07,47741.37
1761420883,556617.00,1.609377E+08,536459.07,49600.00,1.434100E+07,47803.33
1761420893,539783.98,1.663356E+08,536566.32,48100.00,1.482200E+07,47812.90
1761420903,536442.01,1.717000E+08,536562.44,47800.00,1.530000E+07,47812.49
1761420913,557739.00,1.772774E+08,537204.15,49700.00,1.579700E+07,47869.69
1761420923,555499.73,1.828324E+08,537742.26,49499.98,1.629200E+07,47917.64
1761420933,527435.24,1.881067E+08,537447.77,47000.02,1.676200E+07,47891.42
1761420943,557739.04,1.936841E+08,538011.42,49700.00,1.725900E+07,47941.66
1761420953,520725.98,1.988914E+08,537544.24,46400.00,1.772300E+07,47900.00
1761420963,535300.02,2.042444E+08,537485.18,47700.00,1.820000E+07,47894.73
1761420973,558854.99,2.098329E+08,538033.13,49800.00,1.869800E+07,47943.59
1761420983,537537.00,2.152083E+08,538020.73,47900.00,1.917700E+07,47942.50
1761420993,540925.97,2.206176E+08,538091.58,48200.00,1.965900E+07,47948.78
1761421003,543164.03,2.260492E+08,538212.36,48400.00,2.014300E+07,47959.52
1761421013,534179.00,2.313910E+08,538118.56,47600.00,2.061900E+07,47951.16
1761421023,531912.73,2.367101E+08,537977.52,47399.98,2.109300E+07,47938.63
1761421033,563361.28,2.423437E+08,538541.60,50200.02,2.159500E+07,47988.88
1761421043,540922.15,2.477530E+08,538593.35,48199.66,2.207700E+07,47993.47
1761421053,529677.79,2.530497E+08,538403.66,47200.34,2.254900E+07,47976.59
1761421063,546519.98,2.585149E+08,538572.75,48700.00,2.303600E+07,47991.66
1761421073,544280.00,2.639577E+08,538689.22,48500.00,2.352100E+07,48002.04
1761421083,544282.77,2.694006E+08,538801.10,48499.98,2.400600E+07,48012.00
1761421093,554382.26,2.749444E+08,539106.61,49400.02,2.450000E+07,48039.21
1761421103,557735.00,2.805217E+08,539464.85,49700.00,2.499700E+07,48071.15
1761421113,538656.99,2.859083E+08,539449.60,48000.00,2.547700E+07,48069.81
