Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761435252,503848.36,5.038580E+06,503848.36,44899.14,4.490000E+05,44899.14
1761435262,508381.01,1.012239E+07,506114.66,45300.00,9.020000E+05,45099.57
1761435272,517334.98,1.529574E+07,509854.74,46100.00,1.363000E+06,45433.04
1761435282,506120.00,2.035694E+07,508921.06,45100.00,1.814000E+06,45349.78
1761435292,524080.01,2.559774E+07,511952.84,46700.00,2.281000E+06,45619.83
1761435302,517339.00,3.077113E+07,512850.53,46100.00,2.742000E+06,45699.85
1761435312,528587.00,3.605700E+07,515098.59,47100.00,3.213000E+06,45899.87
1761435322,544258.00,4.149958E+07,518743.51,48500.00,3.698000E+06,46224.89
1761435332,552136.00,4.702094E+07,522453.78,49200.00,4.190000E+06,46555.46
1761435342,531945.00,5.234039E+07,523402.90,47400.00,4.664000E+06,46639.91
1761435352,544281.88,5.778321E+07,525300.99,48499.99,5.149000E+06,46809.01
1761435362,547636.10,6.325957E+07,527162.24,48800.01,5.637000E+06,46974.92
1761435372,536417.02,6.862374E+07,527874.15,47800.00,6.115000E+06,47038.39
1761435382,554382.96,7.416757E+07,529767.63,49400.00,6.609000E+06,47207.08
1761435392,547637.01,7.964394E+07,530958.92,48800.00,7.097000E+06,47313.27
1761435402,538664.01,8.503058E+07,531440.49,48000.00,7.577000E+06,47356.19
1761435412,542036.02,9.045094E+07,532063.75,48300.00,8.060000E+06,47411.71
1761435422,549905.96,9.595000E+07,533054.99,49000.00,8.550000E+06,47499.95
1761435432,544258.01,1.013926E+08,533644.62,48500.00,9.035000E+06,47552.58
1761435442,553255.00,1.069251E+08,534625.14,49300.00,9.528000E+06,47639.95
1761435452,549908.00,1.124242E+08,535352.89,49000.00,1.001800E+07,47704.72
1761435462,539773.01,1.178219E+08,535553.81,48100.00,1.049900E+07,47722.69
1761435472,551027.01,1.233322E+08,536226.55,49100.00,1.099000E+07,47782.57
1761435482,543136.99,1.287636E+08,536514.49,48400.00,1.147400E+07,47808.30
1761435492,553255.01,1.342961E+08,537184.11,49300.00,1.196700E+07,47867.96
1761435502,555500.00,1.398511E+08,537888.57,49500.00,1.246200E+07,47930.73
1761435512,558886.99,1.454400E+08,538666.28,49800.00,1.296000E+07,47999.97
1761435522,553231.00,1.509723E+08,539186.45,49300.00,1.345300E+07,48046.40
1761435532,530826.00,1.562806E+08,538898.16,47300.00,1.392600E+07,48020.66
1761435542,537537.00,1.616559E+08,538852.79,47900.00,1.440500E+07,48016.64
1761435552,542045.01,1.670764E+08,538955.76,48300.00,1.488800E+07,48025.78
1761435562,537535.01,1.724517E+08,538911.37,47900.00,1.536700E+07,48021.85
1761435572,555499.99,1.780067E+08,539414.05,49500.00,1.586200E+07,48066.64
1761435582,561125.85,1.836180E+08,540052.63,49999.99,1.636200E+07,48123.50
1761435592,512830.88,1.887463E+08,539274.87,45699.99,1.681900E+07,48054.26
1761435602,558890.28,1.943352E+08,539819.74,49800.02,1.731700E+07,48102.75
1761435612,535299.85,1.996882E+08,539697.58,47699.99,1.779400E+07,48091.87
1761435622,545399.91,2.051422E+08,539847.64,48599.99,1.828000E+07,48105.24
1761435632,533037.24,2.104726E+08,539673.02,47500.02,1.875500E+07,48089.72
1761435642,544272.96,2.159153E+08,539788.02,48500.00,1.924000E+07,48099.98
1761435652,547669.03,2.213920E+08,539980.24,48800.00,1.972800E+07,48117.05
1761435662,536420.99,2.267562E+08,539895.49,47800.00,2.020600E+07,48109.50
1761435672,552110.00,2.322773E+08,540179.55,49200.00,2.069800E+07,48134.86
1761435682,547648.03,2.377538E+08,540349.29,48800.00,2.118600E+07,48149.98
1761435692,527460.00,2.430284E+08,540062.86,47000.00,2.165600E+07,48124.42
1761435702,552118.98,2.485496E+08,540324.95,49200.00,2.214800E+07,48147.81
