Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761428966,506112.51,5.061180E+06,506112.51,45099.51,4.510000E+05,45099.51
1761428976,516220.86,1.022339E+07,511166.66,45999.99,9.110000E+05,45549.75
1761428986,526318.14,1.548657E+07,516217.13,46900.01,1.380000E+06,45999.83
1761428996,502763.99,2.051421E+07,512853.86,44800.00,1.828000E+06,45699.88
1761429006,509473.01,2.560894E+07,512177.69,45400.00,2.282000E+06,45639.90
1761429016,517344.33,3.078239E+07,513038.80,46099.94,2.743000E+06,45716.57
1761429026,529700.70,3.607939E+07,515419.06,47200.06,3.215000E+06,45928.50
1761429036,549873.98,4.157813E+07,519725.92,49000.00,3.705000E+06,46312.44
1761429046,562243.99,4.720057E+07,524450.14,50100.00,4.206000E+06,46733.28
1761429056,535300.01,5.255357E+07,525535.13,47700.00,4.683000E+06,46829.95
1761429066,552143.02,5.807500E+07,527954.03,49200.00,5.175000E+06,47045.41
1761429076,540893.99,6.348394E+07,529032.36,48200.00,5.657000E+06,47141.62
1761429086,530827.01,6.879221E+07,529170.41,47300.00,6.130000E+06,47153.81
1761429096,558853.00,7.438074E+07,531290.59,49800.00,6.628000E+06,47342.82
1761429106,553264.99,7.991339E+07,532755.55,49300.00,7.121000E+06,47473.30
1761429116,538654.99,8.529994E+07,533124.26,48000.00,7.601000E+06,47506.22
1761429126,537546.03,9.067540E+07,533384.37,47900.00,8.080000E+06,47529.38
1761429136,564473.00,9.632013E+07,535111.51,50300.00,8.583000E+06,47683.30
1761429146,517359.98,1.014937E+08,534177.22,46100.00,9.044000E+06,47599.97
1761429156,545385.01,1.069476E+08,534737.61,48600.00,9.530000E+06,47649.97
1761429166,554373.00,1.124913E+08,535672.63,49400.00,1.002400E+07,47733.31
1761429176,547668.99,1.179680E+08,536217.92,48800.00,1.051200E+07,47781.79
1761429186,546521.01,1.234332E+08,536665.88,48700.00,1.099900E+07,47821.72
1761429196,547635.96,1.289096E+08,537122.96,48800.00,1.148700E+07,47862.48
1761429206,530801.04,1.342176E+08,536870.09,47300.00,1.196000E+07,47839.98
1761429216,537562.95,1.395932E+08,536896.74,47900.00,1.243900E+07,47842.29
1761429226,559972.75,1.451929E+08,537751.40,49899.98,1.293800E+07,47918.50
1761429236,546519.27,1.506581E+08,538064.54,48700.02,1.342500E+07,47946.41
1761429246,546518.03,1.561233E+08,538356.04,48700.00,1.391200E+07,47972.40
1761429256,538690.00,1.615102E+08,538367.17,48000.00,1.439200E+07,47973.32
1761429266,540892.00,1.669191E+08,538448.62,48200.00,1.487400E+07,47980.63
