Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761385180,426427.46,4.264390E+06,426427.46,37998.97,3.800000E+05,37998.97
1761385190,436535.02,8.629740E+06,431481.17,38900.00,7.690000E+05,38449.48
1761385200,435419.99,1.298394E+07,432794.10,38800.00,1.157000E+06,38566.32
1761385210,427564.00,1.725958E+07,431486.58,38100.00,1.538000E+06,38449.74
1761385220,438798.97,2.164757E+07,432949.05,39100.00,1.929000E+06,38579.79
1761385230,443282.04,2.608039E+07,434671.21,39500.00,2.324000E+06,38733.16
1761385240,432061.00,3.040100E+07,434298.32,38500.00,2.709000E+06,38699.85
1761385250,446638.98,3.486739E+07,435840.90,39800.00,3.107000E+06,38837.37
1761385260,449991.98,3.936731E+07,437413.24,40100.00,3.508000E+06,38977.66
1761385270,455642.02,4.392373E+07,439236.11,40600.00,3.914000E+06,39139.89
1761385280,452240.01,4.844613E+07,440418.28,40300.00,4.317000E+06,39245.36
1761385290,392780.99,5.237394E+07,436448.52,35000.00,4.667000E+06,38891.58
1761385300,402877.16,5.640274E+07,433866.09,35899.75,5.026000E+06,38661.44
1761385310,412985.90,6.053257E+07,432374.66,36800.26,5.394000E+06,38528.50
1761385320,399501.00,6.452758E+07,430183.09,35600.00,5.750000E+06,38333.26
1761385330,407381.01,6.860139E+07,428757.96,36300.00,6.113000E+06,38206.19
1761385340,452261.01,7.312400E+07,430140.49,40300.00,6.516000E+06,38329.35
1761385350,401730.99,7.714131E+07,428562.19,35800.00,6.874000E+06,38188.83
1761385360,405127.00,8.119258E+07,427328.76,36100.00,7.235000E+06,38078.89
1761385370,433173.00,8.552431E+07,427620.97,38600.00,7.621000E+06,38104.95
1761385380,454499.99,9.006931E+07,428900.92,40500.00,8.026000E+06,38219.00
1761385390,480326.00,9.487257E+07,431238.42,42800.00,8.454000E+06,38427.23
1761385400,460101.01,9.947358E+07,432493.32,41000.00,8.864000E+06,38539.09
1761385410,391654.01,1.033901E+08,430791.68,34900.00,9.213000E+06,38387.46
1761385420,402881.98,1.074189E+08,429675.29,35900.00,9.572000E+06,38287.96
1761385430,402883.01,1.114478E+08,428644.82,35900.00,9.931000E+06,38196.11
1761385440,417453.98,1.156223E+08,428230.35,37200.00,1.030300E+07,38159.22
1761385450,463482.01,1.202571E+08,429489.33,41300.00,1.071600E+07,38271.39
1761385460,467987.00,1.249370E+08,430816.84,41700.00,1.113300E+07,38389.62
1761385470,397259.01,1.289096E+08,429698.25,35400.00,1.148700E+07,38289.97
1761385480,408471.99,1.329943E+08,429013.53,36400.00,1.185100E+07,38229.00
1761385490,406269.02,1.370570E+08,428302.76,36200.00,1.221300E+07,38165.59
1761385500,442130.98,1.414783E+08,428721.80,39400.00,1.260700E+07,38203.00
1761385510,462363.01,1.461019E+08,429711.25,41200.00,1.301900E+07,38291.15
1761385520,483680.01,1.509387E+08,431253.21,43100.00,1.345000E+07,38428.54
1761385530,389426.00,1.548330E+08,430091.34,34700.00,1.379700E+07,38324.97
1761385540,404000.00,1.588730E+08,429386.17,36000.00,1.415700E+07,38262.13
1761385550,417457.00,1.630476E+08,429072.25,37200.00,1.452900E+07,38234.18
1761385560,451143.00,1.675590E+08,429638.16,40200.00,1.493100E+07,38284.59
1761385570,460093.99,1.721599E+08,430399.56,41000.00,1.534100E+07,38352.47
1761385580,453380.00,1.766937E+08,430960.06,40400.00,1.574500E+07,38402.41
1761385590,403999.99,1.807337E+08,430318.15,36000.00,1.610500E+07,38345.21
1761385600,399526.01,1.847290E+08,429602.06,35600.00,1.646100E+07,38281.37
1761385610,402858.00,1.887576E+08,428994.24,35900.00,1.682000E+07,38227.25
1761385620,395041.99,1.927080E+08,428239.74,35200.00,1.717200E+07,38159.98
1761385630,457857.00,1.972866E+08,428883.60,40800.00,1.758000E+07,38217.37
1761385640,457856.00,2.018651E+08,429500.03,40800.00,1.798800E+07,38272.32
1761385650,400644.00,2.058716E+08,428898.86,35700.00,1.834500E+07,38218.73
1761385660,405117.01,2.099227E+08,428413.52,36100.00,1.870600E+07,38175.49
1761385670,450004.99,2.144228E+08,428845.35,40100.00,1.910700E+07,38213.98
1761385680,450015.02,2.189229E+08,429260.44,40100.00,1.950800E+07,38250.96
1761385690,462362.89,2.235466E+08,429897.02,41199.99,1.992000E+07,38307.67
1761385700,469074.09,2.282373E+08,430636.21,41800.01,2.033800E+07,38373.57
1761385710,407366.00,2.323110E+08,430205.28,36300.00,2.070100E+07,38335.17
1761385720,397277.00,2.362837E+08,429606.59,35400.00,2.105500E+07,38281.80
1761385730,398384.01,2.402676E+08,429049.04,35500.00,2.141000E+07,38232.12
1761385740,398399.01,2.442516E+08,428511.32,35500.00,2.176500E+07,38184.19
1761385750,453381.99,2.487854E+08,428940.13,40400.00,2.216900E+07,38222.40
1761385760,469074.00,2.534761E+08,429620.36,41800.00,2.258700E+07,38283.03
1761385770,408508.00,2.575612E+08,429268.49,36400.00,2.295100E+07,38251.65
1761385780,407352.81,2.616347E+08,428909.22,36299.98,2.331400E+07,38219.65
1761385790,453383.21,2.661686E+08,429303.96,40400.02,2.371800E+07,38254.82
1761385800,448873.92,2.706573E+08,429614.59,39999.99,2.411800E+07,38282.52
1761385810,450026.08,2.751576E+08,429933.52,40100.01,2.451900E+07,38310.92
1761385820,465717.00,2.798147E+08,430484.04,41500.00,2.493400E+07,38359.98
1761385830,410747.00,2.839222E+08,430184.99,36600.00,2.530000E+07,38333.32
1761385840,414096.79,2.880632E+08,429944.87,36899.71,2.566900E+07,38311.92
1761385850,453382.50,2.925970E+08,430289.53,40400.31,2.607300E+07,38342.63
1761385860,446639.01,2.970634E+08,430526.48,39800.00,2.647100E+07,38363.75
1761385870,457854.90,3.016419E+08,430916.89,40799.99,2.687900E+07,38398.56
1761385880,460127.11,3.062432E+08,431328.30,41000.01,2.728900E+07,38435.20
1761385890,402878.99,3.102720E+08,430933.17,35900.00,2.764800E+07,38399.99
1761385900,398374.02,3.142557E+08,430487.16,35500.00,2.800300E+07,38360.26
1761385910,415222.00,3.184080E+08,430280.87,37000.00,2.837300E+07,38341.88
1761385920,393896.89,3.223469E+08,429795.75,35099.99,2.872400E+07,38298.65
1761385930,407365.11,3.264206E+08,429500.61,36300.01,2.908700E+07,38272.35
1761385940,412972.99,3.305503E+08,429285.97,36800.00,2.945500E+07,38253.23
1761385950,398407.99,3.345344E+08,428890.09,35500.00,2.981000E+07,38217.94
1761385960,439892.00,3.389333E+08,429029.36,39200.00,3.020200E+07,38230.37
