Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761391822,433147.78,4.331580E+06,433147.78,38599.09,3.860000E+05,38599.09
1761391832,428697.98,8.618560E+06,430922.91,38200.00,7.680000E+05,38399.55
1761391842,445517.99,1.307374E+07,435787.89,39700.00,1.165000E+06,38833.03
1761391852,428684.01,1.736058E+07,434011.93,38200.00,1.547000E+06,38674.77
1761391862,423076.01,2.159134E+07,431824.76,37700.00,1.924000E+06,38479.82
1761391872,432059.99,2.591194E+07,431863.96,38500.00,2.309000E+06,38483.18
1761391882,426437.02,3.017631E+07,431088.69,38000.00,2.689000E+06,38414.16
1761391892,424199.99,3.441831E+07,430227.60,37800.00,3.067000E+06,38337.39
1761391902,456768.80,3.898600E+07,433176.62,40699.98,3.474000E+06,38599.90
1761391912,471313.20,4.369913E+07,436990.27,42000.02,3.894000E+06,38939.91
1761391922,418608.01,4.788521E+07,435319.16,37300.00,4.267000E+06,38790.83
1761391932,396135.83,5.184657E+07,432053.88,35299.98,4.620000E+06,38499.92
1761391942,388274.16,5.572931E+07,428686.22,34600.01,4.966000E+06,38199.93
1761391952,393900.01,5.966831E+07,426201.50,35100.00,5.317000E+06,37978.51
1761391962,398407.99,6.365239E+07,424348.60,35500.00,5.672000E+06,37813.27
1761391972,432060.99,6.797300E+07,424830.62,38500.00,6.057000E+06,37856.19
1761391982,412973.00,7.210273E+07,424133.12,36800.00,6.425000E+06,37794.07
1761391992,395003.00,7.605276E+07,422514.78,35200.00,6.777000E+06,37649.95
1761392002,415244.80,8.020521E+07,422132.15,36999.98,7.147000E+06,37615.74
1761392012,441010.21,8.461531E+07,423076.05,39300.02,7.540000E+06,37699.96
1761392022,441043.00,8.902574E+07,423931.62,39300.00,7.933000E+06,37776.15
1761392032,470225.98,9.372800E+07,426035.90,41900.00,8.352000E+06,37963.60
1761392042,409594.02,9.782394E+07,425321.04,36500.00,8.717000E+06,37899.96
1761392052,408481.99,1.019088E+08,424619.41,36400.00,9.081000E+06,37837.46
1761392062,400637.02,1.059151E+08,423660.12,35700.00,9.438000E+06,37751.96
1761392072,388308.00,1.097982E+08,422300.42,34600.00,9.784000E+06,37630.74
1761392082,445513.77,1.142534E+08,423160.18,39699.98,1.018100E+07,37707.37
1761392092,454504.22,1.187984E+08,424279.61,40500.02,1.058600E+07,37807.11
1761392102,421961.00,1.230180E+08,424199.65,37600.00,1.096200E+07,37799.97
1761392112,401731.02,1.270353E+08,423450.70,35800.00,1.132000E+07,37733.30
1761392122,411862.99,1.311539E+08,423076.90,36700.00,1.168700E+07,37699.97
1761392132,395019.01,1.351041E+08,422200.09,35200.00,1.203900E+07,37621.85
1761392142,429825.99,1.394024E+08,422431.18,38300.00,1.242200E+07,37642.40
1761392152,458974.00,1.439921E+08,423505.97,40900.00,1.283100E+07,37738.21
1761392162,421960.99,1.482117E+08,423461.83,37600.00,1.320700E+07,37734.26
1761392172,402883.02,1.522406E+08,422890.19,35900.00,1.356600E+07,37683.31
1761392182,402882.00,1.562694E+08,422349.43,35900.00,1.392500E+07,37635.11
1761392192,426434.99,1.605337E+08,422456.95,38000.00,1.430500E+07,37644.71
1761392202,447756.99,1.650113E+08,423105.67,39900.00,1.470400E+07,37702.54
1761392212,463482.01,1.696461E+08,424115.07,41300.00,1.511700E+07,37792.48
1761392222,426444.99,1.739106E+08,424171.90,38000.00,1.549700E+07,37797.54
1761392232,392805.00,1.778386E+08,423425.07,35000.00,1.584700E+07,37730.93
1761392242,401730.81,1.818559E+08,422920.55,35799.98,1.620500E+07,37686.03
1761392252,397264.19,1.858286E+08,422337.45,35400.02,1.655900E+07,37634.07
1761392262,399516.01,1.898237E+08,421830.31,35600.00,1.691500E+07,37588.87
1761392272,419726.00,1.940210E+08,421784.57,37400.00,1.728900E+07,37584.76
1761392282,420812.99,1.982291E+08,421763.89,37500.00,1.766400E+07,37582.96
