Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761394463,506110.06,5.061210E+06,506110.06,45099.03,4.510000E+05,45099.03
1761394473,520692.00,1.026813E+07,513400.95,46400.00,9.150000E+05,45749.51
1761394483,526315.58,1.553131E+07,517705.81,46899.78,1.384000E+06,46132.93
1761394493,509510.17,2.062639E+07,515656.92,45400.19,1.838000E+06,45949.75
1761394503,516218.17,2.578857E+07,515769.17,46000.02,2.298000E+06,45959.80
1761394513,529673.99,3.108531E+07,518086.63,47200.00,2.770000E+06,46166.50
1761394523,525199.99,3.633731E+07,519102.82,46800.00,3.238000E+06,46257.00
1761394533,545400.01,4.179131E+07,522389.96,48600.00,3.724000E+06,46549.87
1761394543,556626.78,4.735758E+07,526194.04,49599.98,4.220000E+06,46888.77
1761394553,522955.21,5.258713E+07,525870.16,46600.02,4.686000E+06,46859.90
1761394563,552143.99,5.810857E+07,528258.69,49200.00,5.178000E+06,47072.63
1761394573,539774.02,6.350631E+07,529218.30,48100.00,5.659000E+06,47158.25
1761394583,528587.00,6.879218E+07,529169.74,47100.00,6.130000E+06,47153.77
1761394593,556620.99,7.435839E+07,531130.54,49600.00,6.626000E+06,47328.50
1761394603,533061.00,7.968900E+07,531259.23,47500.00,7.101000E+06,47339.93
1761394613,542013.01,8.510913E+07,531931.34,48300.00,7.584000E+06,47399.94
1761394623,544280.99,9.055194E+07,532657.79,48500.00,8.069000E+06,47464.65
1761394633,557737.00,9.612931E+07,534051.08,49700.00,8.566000E+06,47588.83
1761394643,524082.02,1.013701E+08,533526.39,46700.00,9.033000E+06,47542.05
1761394653,549908.00,1.068692E+08,534345.47,49000.00,9.523000E+06,47614.95
1761394663,556617.99,1.124354E+08,535406.07,49600.00,1.001900E+07,47709.47
1761394673,544281.68,1.178782E+08,535809.50,48499.97,1.050400E+07,47745.41
1761394683,537536.09,1.232536E+08,535884.57,47900.01,1.098300E+07,47752.13
1761394693,559983.23,1.288534E+08,536888.68,49900.02,1.148200E+07,47841.62
1761394703,571217.00,1.345656E+08,538261.81,50900.00,1.199100E+07,47963.96
1761394713,528555.98,1.398511E+08,537888.51,47100.00,1.246200E+07,47930.73
1761394723,554383.03,1.453950E+08,538499.42,49400.00,1.295600E+07,47985.15
1761394733,551024.98,1.509052E+08,538946.76,49100.00,1.344700E+07,48024.96
1761394743,552110.01,1.564263E+08,539400.67,49200.00,1.393900E+07,48065.48
1761394753,535300.00,1.617793E+08,539263.98,47700.00,1.441600E+07,48053.30
1761394763,551025.32,1.672896E+08,539643.38,49099.94,1.490700E+07,48087.06
1761394773,536417.63,1.726537E+08,539542.57,47800.06,1.538500E+07,48078.09
1761394783,553265.00,1.781864E+08,539958.40,49300.00,1.587800E+07,48115.12
1761394793,543161.02,1.836180E+08,540052.60,48400.00,1.636200E+07,48123.50
1761394803,526320.99,1.888812E+08,539660.27,46900.00,1.683100E+07,48088.54
1761394813,545400.00,1.943352E+08,539819.70,48600.00,1.731700E+07,48102.75
1761394823,543136.84,1.997666E+08,539909.36,48399.99,1.780100E+07,48110.78
1761394833,534173.17,2.051083E+08,539758.40,47600.02,1.827700E+07,48097.34
1761394843,560007.99,2.107084E+08,540277.62,49900.00,1.877600E+07,48143.56
1761394853,537534.76,2.160837E+08,540209.05,47899.98,1.925500E+07,48137.47
1761394863,539784.27,2.214816E+08,540198.69,48100.02,1.973600E+07,48136.56
1761394873,536441.98,2.268460E+08,540109.25,47800.00,2.021400E+07,48128.55
1761394883,539774.01,2.322437E+08,540101.45,48100.00,2.069500E+07,48127.88
1761394893,528557.01,2.375293E+08,539839.08,47100.00,2.116600E+07,48104.52
1761394903,527447.99,2.428038E+08,539563.72,47000.00,2.163600E+07,48079.98
1761394913,547660.01,2.482804E+08,539739.72,48800.00,2.212400E+07,48095.63
1761394923,528555.00,2.535659E+08,539501.75,47100.00,2.259500E+07,48074.45
1761394933,548763.98,2.590536E+08,539694.71,48900.00,2.308400E+07,48091.64
1761394943,549898.00,2.645526E+08,539902.95,49000.00,2.357400E+07,48110.18
1761394953,537538.00,2.699279E+08,539855.65,47900.00,2.405300E+07,48105.98
1761394963,551027.03,2.754382E+08,540074.69,49100.00,2.454400E+07,48125.47
1761394973,558852.97,2.810267E+08,540435.81,49800.00,2.504200E+07,48157.67
1761394983,538657.02,2.864133E+08,540402.25,48000.00,2.552200E+07,48154.70
1761394993,534182.00,2.917551E+08,540287.06,47600.00,2.599800E+07,48144.43
1761395003,563361.00,2.973887E+08,540706.59,50200.00,2.650000E+07,48181.80
1761395013,512864.97,3.025174E+08,540209.42,45700.00,2.695700E+07,48137.48
1761395023,533060.77,3.078480E+08,540084.00,47499.98,2.743200E+07,48126.30
1761395033,557739.26,3.134254E+08,540388.40,49700.02,2.792900E+07,48153.43
1761395043,544282.01,3.188682E+08,540454.40,48500.00,2.841400E+07,48159.30
1761395053,530791.96,3.241761E+08,540293.35,47300.00,2.888700E+07,48144.98
1761395063,548787.01,3.296640E+08,540432.59,48900.00,2.937600E+07,48157.36
1761395073,552113.03,3.351851E+08,540620.99,49200.00,2.986800E+07,48174.18
1761395083,535299.73,3.405381E+08,540536.52,47699.98,3.034500E+07,48166.65
1761395093,540926.26,3.459474E+08,540542.61,48200.02,3.082700E+07,48167.17
1761395103,546518.01,3.514126E+08,540634.54,48700.00,3.131400E+07,48175.37
1761395113,526316.99,3.566757E+08,540417.61,46900.00,3.178300E+07,48156.04
1761395123,538656.28,3.620623E+08,540391.32,47999.94,3.226300E+07,48153.71
1761395133,544282.71,3.675051E+08,540448.55,48500.06,3.274800E+07,48158.81
1761395143,548787.02,3.729930E+08,540569.40,48900.00,3.323700E+07,48169.55
1761395153,525200.01,3.782450E+08,540349.83,46800.00,3.370500E+07,48149.99
1761395163,543130.98,3.836763E+08,540389.00,48400.00,3.418900E+07,48153.51
1761395173,527469.01,3.889510E+08,540209.56,47000.00,3.465900E+07,48137.49
1761395183,527439.00,3.942254E+08,540034.62,47000.00,3.512900E+07,48121.90
1761395193,536417.99,3.995896E+08,539985.75,47800.00,3.560700E+07,48117.55
1761395203,538656.00,4.049761E+08,539968.02,48000.00,3.608700E+07,48115.99
1761395213,547645.02,4.104526E+08,540069.03,48800.00,3.657500E+07,48124.99
1761395223,536441.99,4.158170E+08,540021.93,47800.00,3.705300E+07,48120.77
1761395233,554358.01,4.213606E+08,540205.72,49400.00,3.754700E+07,48137.17
1761395243,542036.01,4.267809E+08,540228.89,48300.00,3.803000E+07,48139.23
1761395253,554379.75,4.323247E+08,540405.78,49399.98,3.852400E+07,48154.99
1761395263,549884.24,4.378236E+08,540522.79,49000.02,3.901400E+07,48165.42
1761395273,543155.00,4.432551E+08,540554.89,48400.00,3.949800E+07,48168.28
1761395283,552143.99,4.487766E+08,540694.52,49200.00,3.999000E+07,48180.71
1761395293,525199.88,4.540286E+08,540510.06,46799.99,4.045800E+07,48164.27
1761395303,551001.12,4.595386E+08,540633.49,49100.01,4.094900E+07,48175.28
1761395313,540916.01,4.649477E+08,540636.77,48200.00,4.143100E+07,48175.57
1761395323,557737.98,4.705251E+08,540833.34,49700.00,4.192800E+07,48193.09
1761395333,549909.00,4.760242E+08,540936.47,49000.00,4.241800E+07,48202.26
1761395343,512836.78,4.811526E+08,540620.74,45699.98,4.287500E+07,48174.15
1761395353,571216.26,4.868647E+08,540960.69,50900.02,4.338400E+07,48204.43
1761395363,529684.00,4.921616E+08,540836.77,47200.00,4.385600E+07,48193.40
1761395373,540919.01,4.975708E+08,540837.67,48200.00,4.433800E+07,48193.47
1761395383,566716.99,5.032379E+08,541115.94,50500.00,4.484300E+07,48218.27
1761395393,531944.72,5.085574E+08,541018.37,47399.98,4.531700E+07,48209.56
1761395403,553261.29,5.140900E+08,541147.25,49300.03,4.581000E+07,48221.04
1761395413,528557.00,5.193756E+08,541016.10,47100.00,4.628100E+07,48209.36

Summary:
loaded 523584000 metrics in 967.147sec with 8 workers (mean rate 541369.87 metrics/sec)
loaded 46656000 rows in 967.147sec with 8 workers (mean rate 48240.88 rows/sec)
