Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761401767,503871.26,5.038730E+06,503871.26,44899.85,4.490000E+05,44899.85
1761401777,512839.99,1.016713E+07,508355.62,45700.00,9.060000E+05,45299.92
1761401787,518486.99,1.535200E+07,511732.74,46200.00,1.368000E+06,45599.95
1761401797,503858.00,2.039058E+07,509764.06,44900.00,1.817000E+06,45424.96
1761401807,519598.76,2.558657E+07,511731.00,46299.98,2.280000E+06,45599.96
1761401817,517337.24,3.075994E+07,512665.37,46100.02,2.741000E+06,45683.31
1761401827,527437.01,3.603431E+07,514775.60,47000.00,3.211000E+06,45871.41
1761401837,560007.98,4.163439E+07,520429.65,49900.00,3.710000E+06,46374.98
1761401847,547635.01,4.711074E+07,523452.47,48800.00,4.198000E+06,46644.43
1761401857,529683.99,5.240758E+07,524075.62,47200.00,4.670000E+06,46699.98
1761401867,543154.71,5.783913E+07,525810.08,48399.97,5.154000E+06,46854.53
1761401877,537545.30,6.321458E+07,526788.01,47900.03,5.633000E+06,46941.65
1761401887,538680.71,6.860139E+07,527702.84,47999.97,6.113000E+06,47023.06
1761401897,548753.28,7.408892E+07,529206.44,48900.03,6.602000E+06,47157.13
1761401907,531947.00,7.940839E+07,529389.14,47400.00,7.076000E+06,47173.32
1761401917,538655.00,8.479494E+07,529968.26,48000.00,7.556000E+06,47224.99
1761401927,546518.99,9.026013E+07,530941.83,48700.00,8.043000E+06,47311.76
1761401937,545400.01,9.571413E+07,531745.06,48600.00,8.529000E+06,47383.32
1761401947,513981.01,1.008539E+08,530810.11,45800.00,8.987000E+06,47299.99
1761401957,556618.98,1.064201E+08,532100.56,49600.00,9.483000E+06,47414.99
1761401967,551026.00,1.119304E+08,533001.77,49100.00,9.974000E+06,47495.23
1761401977,539773.98,1.173281E+08,533309.60,48100.00,1.045500E+07,47522.72
1761401987,549907.91,1.228272E+08,534031.26,48999.99,1.094500E+07,47586.95
1761401997,540892.11,1.282361E+08,534317.13,48200.01,1.142700E+07,47612.49
1761402007,544281.01,1.336789E+08,534715.69,48500.00,1.191200E+07,47647.99
1761402017,546518.98,1.391441E+08,535169.66,48700.00,1.239900E+07,47688.46
1761402027,551026.02,1.446544E+08,535756.93,49100.00,1.289000E+07,47740.73
1761402037,536418.00,1.500186E+08,535780.54,47800.00,1.336800E+07,47742.85
1761402047,546516.71,1.554837E+08,536150.75,48699.97,1.385500E+07,47775.86
1761402057,537539.27,1.608591E+08,536197.04,47900.02,1.433400E+07,47779.99
1761402067,543161.02,1.662907E+08,536421.68,48400.00,1.481800E+07,47799.99
1761402077,542046.97,1.717112E+08,536597.47,48300.00,1.530100E+07,47815.62
1761402087,548753.01,1.771987E+08,536965.82,48900.00,1.579000E+07,47848.48
1761402097,548757.01,1.826863E+08,537312.62,48900.00,1.627900E+07,47879.41
1761402107,529707.99,1.879834E+08,537095.35,47200.00,1.675100E+07,47860.00
1761402117,561091.75,1.935943E+08,537761.91,49999.98,1.725100E+07,47919.44
1761402127,526327.25,1.988576E+08,537452.87,46900.02,1.772000E+07,47891.89
1761402137,553254.99,2.043901E+08,537868.71,49300.00,1.821300E+07,47928.94
1761402147,548787.01,2.098780E+08,538148.67,48900.00,1.870200E+07,47953.84
1761402157,531912.98,2.151971E+08,537992.78,47400.00,1.917600E+07,47940.00
1761402167,536418.00,2.205613E+08,537954.37,47800.00,1.965400E+07,47936.58
1761402177,522963.00,2.257909E+08,537597.43,46600.00,2.012000E+07,47904.76
1761402187,553263.02,2.313236E+08,537961.75,49300.00,2.061300E+07,47937.21
1761402197,533063.99,2.366542E+08,537850.43,47500.00,2.108800E+07,47927.27
1761402207,558853.01,2.422427E+08,538317.16,49800.00,2.158600E+07,47968.89
1761402217,536420.01,2.476069E+08,538275.92,47800.00,2.206400E+07,47965.21
1761402227,549905.99,2.531060E+08,538523.36,49000.00,2.255400E+07,47987.23
1761402237,513957.99,2.582456E+08,538011.59,45800.00,2.301200E+07,47941.66
1761402247,544272.97,2.636883E+08,538139.37,48500.00,2.349700E+07,47953.06
1761402257,546527.05,2.691536E+08,538307.12,48700.00,2.398400E+07,47968.00
1761402267,529698.99,2.744506E+08,538138.34,47200.00,2.445600E+07,47952.94
1761402277,546516.76,2.799157E+08,538299.46,48699.98,2.494300E+07,47967.30
1761402287,551025.98,2.854260E+08,538539.58,49100.00,2.543400E+07,47988.68
1761402297,507239.26,2.904984E+08,537959.95,45200.02,2.588600E+07,47937.03
1761402307,531918.98,2.958176E+08,537850.11,47400.00,2.636000E+07,47927.27
1761402317,542034.00,3.012379E+08,537924.82,48300.00,2.684300E+07,47933.93
1761402327,540929.02,3.066472E+08,537977.53,48200.00,2.732500E+07,47938.59
1761402337,546517.99,3.121124E+08,538124.78,48700.00,2.781200E+07,47951.72
1761402347,536417.00,3.174766E+08,538095.83,47800.00,2.829000E+07,47949.15
1761402357,520702.00,3.226836E+08,537805.94,46400.00,2.875400E+07,47923.33
1761402367,538681.01,3.280704E+08,537820.28,48000.00,2.923400E+07,47924.59
1761402377,556617.99,3.336366E+08,538123.47,49600.00,2.973000E+07,47951.61
1761402387,531943.00,3.389560E+08,538025.37,47400.00,3.020400E+07,47942.85
1761402397,545379.01,3.444098E+08,538140.27,48600.00,3.069000E+07,47953.12
1761402407,547659.98,3.498864E+08,538286.73,48800.00,3.117800E+07,47966.15
1761402417,515100.01,3.550374E+08,537935.41,45900.00,3.163700E+07,47934.85
1761402427,544278.99,3.604802E+08,538030.09,48500.00,3.212200E+07,47943.28
1761402437,539776.01,3.658779E+08,538055.77,48100.00,3.260300E+07,47945.59
1761402447,544280.00,3.713207E+08,538145.97,48500.00,3.308800E+07,47953.62
1761402457,538657.00,3.767073E+08,538153.27,48000.00,3.356800E+07,47954.28
1761402467,538689.97,3.820942E+08,538160.83,48000.00,3.404800E+07,47954.93
1761402477,547636.01,3.875706E+08,538292.43,48800.00,3.453600E+07,47966.66
1761402487,522963.07,3.928002E+08,538082.44,46599.92,3.500200E+07,47947.94
1761402497,534179.98,3.981420E+08,538029.70,47600.09,3.547800E+07,47943.24
1761402507,566720.96,4.038092E+08,538412.25,50500.00,3.598300E+07,47977.33
1761402517,535300.02,4.091622E+08,538371.30,47700.00,3.646000E+07,47973.68
1761402527,548755.68,4.146498E+08,538506.17,48899.97,3.694900E+07,47985.71
1761402537,519581.30,4.198456E+08,538263.54,46300.03,3.741200E+07,47964.10
1761402547,542036.02,4.252659E+08,538311.29,48300.00,3.789500E+07,47968.35
1761402557,528563.99,4.305516E+08,538189.45,47100.00,3.836600E+07,47957.50
1761402567,543154.98,4.359831E+08,538250.75,48400.00,3.885000E+07,47962.96
1761402577,556618.00,4.415493E+08,538474.75,49600.00,3.934600E+07,47982.92
1761402587,556642.01,4.471157E+08,538693.63,49600.00,3.984200E+07,48002.41
1761402597,535285.01,4.524686E+08,538653.05,47700.00,4.031900E+07,47998.81
1761402607,571216.01,4.581807E+08,539036.14,50900.00,4.082800E+07,48032.94
1761402617,539783.98,4.635786E+08,539044.84,48100.00,4.130900E+07,48033.72
1761402627,547663.00,4.690552E+08,539143.90,48800.00,4.179700E+07,48042.53
1761402637,545400.02,4.745092E+08,539214.99,48600.00,4.228300E+07,48048.86
1761402647,550991.99,4.800191E+08,539347.32,49100.00,4.277400E+07,48060.67
1761402657,534181.00,4.853609E+08,539289.91,47600.00,4.325000E+07,48055.55
1761402667,534179.99,4.907027E+08,539233.76,47600.00,4.372600E+07,48050.55
1761402677,548766.01,4.961904E+08,539337.37,48900.00,4.421500E+07,48059.78
1761402687,538681.00,5.015772E+08,539330.31,48000.00,4.469500E+07,48059.14
1761402697,547636.00,5.070536E+08,539418.67,48800.00,4.518300E+07,48067.02
1761402707,536416.75,5.124177E+08,539387.07,47799.98,4.566100E+07,48064.21
1761402717,544283.23,5.178606E+08,539438.07,48500.02,4.614600E+07,48068.75
1761402727,543164.01,5.232922E+08,539476.49,48400.00,4.663000E+07,48072.16

Summary:
loaded 523584000 metrics in 970.554sec with 8 workers (mean rate 539468.98 metrics/sec)
loaded 46656000 rows in 970.554sec with 8 workers (mean rate 48071.49 rows/sec)
