Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761794446,405119.41,4.051210E+06,405119.41,36099.86,3.610000E+05,36099.86
1761794456,409592.02,8.147130E+06,407355.71,36500.00,7.260000E+05,36299.93
1761794466,407365.92,1.222079E+07,407359.11,36299.99,1.089000E+06,36299.95
1761794476,377078.09,1.599157E+07,399788.87,33600.01,1.425000E+06,35624.97
1761794486,331064.01,1.930221E+07,386043.90,29500.00,1.720000E+06,34399.97
1761794496,353496.98,2.283718E+07,380619.42,31500.00,2.035000E+06,33916.64
1761794506,405121.01,2.688839E+07,384119.65,36100.00,2.396000E+06,34228.55
1761794516,429791.98,3.118631E+07,389828.69,38300.00,2.779000E+06,34737.48
1761794526,429826.02,3.548457E+07,394272.83,38300.00,3.162000E+06,35133.32
1761794536,441043.01,3.989500E+07,398949.85,39300.00,3.555000E+06,35549.99
1761794546,417456.73,4.406957E+07,400632.29,37199.98,3.927000E+06,35699.99
1761794556,387154.23,4.794111E+07,399509.12,34500.02,4.272000E+06,35599.99
1761794566,384919.99,5.179031E+07,398386.88,34300.00,4.615000E+06,35499.99
1761794576,371463.03,5.550494E+07,396463.75,33100.00,4.946000E+06,35328.56
1761794586,424200.99,5.974695E+07,398312.90,37800.00,5.324000E+06,35493.32
1761794596,419726.01,6.394421E+07,399651.22,37400.00,5.698000E+06,35612.49
1761794606,414099.97,6.808521E+07,400501.14,36900.00,6.067000E+06,35688.23
1761794616,362478.99,7.171000E+07,398388.80,32300.00,6.390000E+06,35499.99
1761794626,378174.02,7.549174E+07,397324.87,33700.00,6.727000E+06,35405.26
1761794636,375938.99,7.925113E+07,396255.57,33500.00,7.062000E+06,35309.99
1761794646,428708.01,8.353821E+07,397800.93,38200.00,7.444000E+06,35447.61
1761794656,427553.01,8.781374E+07,399153.29,38100.00,7.825000E+06,35568.18
1761794666,410746.99,9.192121E+07,399657.37,36600.00,8.191000E+06,35613.04
1761794676,384918.00,9.577039E+07,399043.23,34300.00,8.534000E+06,35558.33
1761794686,368073.98,9.945113E+07,397804.46,32800.00,8.862000E+06,35447.99
1761794696,366987.01,1.031210E+08,396619.17,32700.00,9.189000E+06,35342.30
1761794706,436539.04,1.074864E+08,398097.68,38900.00,9.578000E+06,35474.07
1761794716,425317.97,1.117396E+08,399069.84,37900.00,9.957000E+06,35560.71
1761794726,416336.69,1.159029E+08,399665.25,37099.97,1.032800E+07,35613.79
1761794736,377079.04,1.196737E+08,398912.37,33600.00,1.066400E+07,35546.66
1761794746,372557.97,1.233993E+08,398062.23,33200.00,1.099600E+07,35470.96
1761794756,362482.27,1.270241E+08,396950.36,32300.02,1.131900E+07,35371.87
1761794766,417486.97,1.311990E+08,397572.68,37200.00,1.169100E+07,35427.27
1761794776,424176.00,1.354408E+08,398355.13,37800.00,1.206900E+07,35497.05
1761794786,400637.02,1.394471E+08,398420.33,35700.00,1.242600E+07,35502.85
1761794796,384918.00,1.432963E+08,398045.26,34300.00,1.276900E+07,35469.44
1761794806,374827.02,1.470446E+08,397417.74,33400.00,1.310300E+07,35413.51
1761794816,423073.00,1.512753E+08,398092.88,37700.00,1.348000E+07,35473.68
1761794826,426469.00,1.555400E+08,398820.47,38000.00,1.386000E+07,35538.46
1761794836,418573.99,1.597257E+08,399314.31,37300.00,1.423300E+07,35582.50
1761794846,418577.78,1.639115E+08,399784.15,37299.98,1.460600E+07,35624.39
1761794856,369221.52,1.676037E+08,399056.47,32899.96,1.493500E+07,35559.52
1761794866,374820.70,1.713519E+08,398492.85,33400.06,1.526900E+07,35509.30
1761794876,371462.96,1.750666E+08,397878.53,33100.00,1.560000E+07,35454.54
1761794886,373699.85,1.788036E+08,397341.23,33299.99,1.593300E+07,35406.66
1761794896,371464.19,1.825182E+08,396778.68,33100.02,1.626400E+07,35356.52
1761794906,371436.98,1.862326E+08,396239.50,33100.00,1.659500E+07,35308.51
1761794916,417481.00,1.904074E+08,396682.03,37200.00,1.696700E+07,35347.91
1761794926,429791.90,1.947053E+08,397357.74,38299.99,1.735000E+07,35408.16
1761794936,409626.11,1.988016E+08,397603.11,36500.01,1.771500E+07,35430.00
1761794946,420842.98,2.030100E+08,398058.79,37500.00,1.809000E+07,35470.59
1761794956,424179.02,2.072518E+08,398561.11,37800.00,1.846800E+07,35515.38
1761794966,417477.97,2.114266E+08,398918.03,37200.00,1.884000E+07,35547.17
1761794976,368073.99,2.151073E+08,398346.84,32800.00,1.916800E+07,35496.29
1761794986,369226.04,2.187996E+08,397817.37,32900.00,1.949700E+07,35449.09
1761794996,369200.99,2.224916E+08,397306.37,32900.00,1.982600E+07,35403.57
1761795006,363614.98,2.261277E+08,396715.29,32400.00,2.015000E+07,35350.87
1761795016,380420.00,2.299319E+08,396434.34,33900.00,2.048900E+07,35325.86
1761795026,390546.00,2.338374E+08,396334.53,34800.00,2.083700E+07,35316.95
1761795036,436535.03,2.382027E+08,397004.54,38900.00,2.122600E+07,35376.66
1761795046,418583.98,2.423886E+08,397358.30,37300.00,2.159900E+07,35408.19
1761795056,426460.01,2.466532E+08,397827.68,38000.00,2.197900E+07,35450.00
1761795066,424203.00,2.508952E+08,398246.34,37800.00,2.235700E+07,35487.30
1761795076,426436.01,2.551596E+08,398686.80,38000.00,2.273700E+07,35526.56
1761795086,416336.76,2.593229E+08,398958.34,37099.98,2.310800E+07,35550.77
1761795096,379327.22,2.631162E+08,398660.90,33800.02,2.344600E+07,35524.24
1761795106,381536.99,2.669316E+08,398405.32,34000.00,2.378600E+07,35501.49
1761795116,366981.00,2.706014E+08,397943.20,32700.00,2.411300E+07,35460.29
1761795126,377054.99,2.743719E+08,397640.47,33600.00,2.444900E+07,35433.33
1761795136,389424.01,2.782662E+08,397523.09,34700.00,2.479600E+07,35422.86
1761795146,375937.97,2.820256E+08,397219.08,33500.00,2.513100E+07,35395.77
1761795156,410744.01,2.861330E+08,397406.92,36600.00,2.549700E+07,35412.50
1761795166,438774.01,2.905207E+08,397973.60,39100.00,2.588800E+07,35463.01
1761795176,424200.00,2.947627E+08,398328.01,37800.00,2.626600E+07,35494.59
1761795186,419704.98,2.989598E+08,398613.03,37400.00,2.664000E+07,35520.00
1761795196,428694.83,3.032467E+08,399008.85,38199.98,2.702200E+07,35555.26
1761795206,416339.19,3.074101E+08,399233.92,37100.02,2.739300E+07,35575.32
1761795216,374818.01,3.111583E+08,398920.89,33400.00,2.772700E+07,35547.43
1761795226,382681.99,3.149851E+08,398715.33,34100.00,2.806800E+07,35529.11
1761795236,379325.89,3.187784E+08,398472.97,33799.99,2.840600E+07,35507.50
1761795246,410719.11,3.228856E+08,398624.15,36600.01,2.877200E+07,35520.99
1761795256,435442.00,3.272400E+08,399073.15,38800.00,2.916000E+07,35560.97
1761795266,404000.02,3.312800E+08,399132.51,36000.00,2.952000E+07,35566.26
1761795276,361339.97,3.348934E+08,398682.60,32200.00,2.984200E+07,35526.19
1761795286,386060.01,3.387540E+08,398534.10,34400.00,3.018600E+07,35512.94
1761795296,379293.02,3.425469E+08,398310.37,33800.00,3.052400E+07,35493.02
1761795306,390545.97,3.464524E+08,398221.12,34800.00,3.087200E+07,35485.06
1761795316,434299.99,3.507954E+08,398631.11,38700.00,3.125900E+07,35521.59
1761795326,419691.89,3.549923E+08,398867.75,37399.99,3.163300E+07,35542.69
1761795336,383800.13,3.588303E+08,398700.33,34200.01,3.197500E+07,35527.78
1761795346,398408.00,3.628144E+08,398697.11,35500.00,3.233000E+07,35527.47
1761795356,373700.00,3.665514E+08,398425.41,33300.00,3.266300E+07,35503.26
1761795366,362481.83,3.701762E+08,398038.92,32299.98,3.298600E+07,35468.82
1761795376,419691.98,3.743731E+08,398269.27,37400.00,3.336000E+07,35489.36
1761795386,418605.21,3.785592E+08,398483.33,37300.02,3.373300E+07,35508.42
1761795396,408475.99,3.826439E+08,398587.42,36400.00,3.409700E+07,35517.71
1761795406,425318.70,3.868971E+08,398863.00,37899.97,3.447600E+07,35542.27
1761795416,425317.96,3.911503E+08,399132.95,37900.00,3.485500E+07,35566.32
1761795426,404000.32,3.951903E+08,399182.12,36000.03,3.521500E+07,35570.71
1761795436,430942.98,3.994997E+08,399499.72,38400.00,3.559900E+07,35599.00
1761795446,415220.00,4.036519E+08,399655.37,37000.00,3.596900E+07,35612.87
1761795456,387164.03,4.075236E+08,399532.91,34500.00,3.631400E+07,35601.96
