Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761808038,407354.08,4.073570E+06,407354.08,36299.74,3.630000E+05,36299.74
1761808048,363599.92,7.709570E+06,385477.07,32399.99,6.870000E+05,34349.87
1761808058,396136.08,1.167093E+07,389030.07,35300.01,1.040000E+06,34666.58
1761808068,366965.00,1.534058E+07,383513.81,32700.00,1.367000E+06,34174.94
1761808078,406263.00,1.940321E+07,388063.64,36200.00,1.729000E+06,34579.95
1761808088,402878.97,2.343200E+07,390532.86,35900.00,2.088000E+06,34799.96
1761808098,408474.01,2.751674E+07,393095.88,36400.00,2.452000E+06,35028.54
1761808108,419726.02,3.171400E+07,396424.64,37400.00,2.826000E+06,35324.97
1761808118,401730.98,3.573131E+07,397014.24,35800.00,3.184000E+06,35377.75
1761808128,366990.02,3.940121E+07,394011.82,32700.00,3.511000E+06,35109.97
1761808138,368072.98,4.308194E+07,391653.74,32800.00,3.839000E+06,34899.98
1761808148,371462.98,4.679657E+07,389971.18,33100.00,4.170000E+06,34749.98
1761808158,417456.05,5.097113E+07,392085.40,37200.00,4.542000E+06,34938.44
1761808168,416344.96,5.513458E+07,393818.22,37100.00,4.913000E+06,35092.84
1761808178,416363.03,5.929821E+07,395321.21,37100.00,5.284000E+06,35226.65
1761808188,383799.98,6.313621E+07,394601.13,34200.00,5.626000E+06,35162.48
1761808198,359092.01,6.672713E+07,392512.36,32000.00,5.946000E+06,34976.46
1761808208,366987.01,7.039700E+07,391094.29,32700.00,6.273000E+06,34849.99
1761808218,441012.96,7.480713E+07,393721.59,39300.00,6.666000E+06,35084.20
1761808228,412981.02,7.893694E+07,394684.56,36800.00,7.034000E+06,35169.99
1761808238,416337.00,8.310031E+07,395715.63,37100.00,7.405000E+06,35261.89
1761808248,393900.00,8.703931E+07,395633.10,35100.00,7.756000E+06,35254.53
1761808258,358008.00,9.061939E+07,393997.22,31900.00,8.075000E+06,35108.68
1761808268,355737.81,9.417677E+07,392403.08,31699.98,8.392000E+06,34966.66
1761808278,406236.21,9.823913E+07,392956.41,36200.02,8.754000E+06,35015.99
1761808288,418608.02,1.024252E+08,393943.01,37300.00,9.127000E+06,35103.84
1761808298,396135.99,1.063866E+08,394024.23,35300.00,9.480000E+06,35111.10
1761808308,379301.01,1.101796E+08,393498.40,33800.00,9.818000E+06,35064.28
1761808318,374817.56,1.139278E+08,392854.23,33399.96,1.015200E+07,35006.89
1761808328,355763.41,1.174854E+08,391617.87,31700.04,1.046900E+07,34896.66
1761808338,393899.99,1.214244E+08,391691.49,35100.00,1.082000E+07,34903.22
1761808348,429801.02,1.257224E+08,392882.41,38300.00,1.120300E+07,35009.37
1761808358,402872.76,1.297511E+08,393185.15,35899.98,1.156200E+07,35036.36
1761808368,372580.21,1.334769E+08,392579.12,33200.02,1.189400E+07,34982.35
1761808378,374820.01,1.372251E+08,392071.72,33400.00,1.222800E+07,34937.14
1761808388,389426.01,1.411194E+08,391998.23,34700.00,1.257500E+07,34930.55
1761808398,435417.97,1.454736E+08,393171.73,38800.00,1.296300E+07,35035.13
1761808408,435417.03,1.498277E+08,394283.45,38800.00,1.335100E+07,35134.20
1761808418,412983.00,1.539576E+08,394762.93,36800.00,1.371900E+07,35176.92
1761808428,371463.99,1.576722E+08,394180.45,33100.00,1.405000E+07,35124.99
1761808438,377052.99,1.614427E+08,393762.71,33600.00,1.438600E+07,35087.80
1761808448,375939.01,1.652021E+08,393338.34,33500.00,1.472100E+07,35049.99
1761808458,392781.00,1.691299E+08,393325.38,35000.00,1.507100E+07,35048.83
1761808468,419727.01,1.733272E+08,393925.41,37400.00,1.544500E+07,35102.27
1761808478,406235.81,1.773896E+08,394198.98,36199.98,1.580700E+07,35126.66
1761808488,372582.16,1.811154E+08,393729.05,33200.01,1.613900E+07,35084.78
1761808498,371439.98,1.848298E+08,393254.81,33100.00,1.647000E+07,35042.55
1761808508,374839.04,1.885782E+08,392871.15,33400.00,1.680400E+07,35008.33
1761808518,371440.00,1.922926E+08,392433.78,33100.00,1.713500E+07,34969.38
1761808528,423072.98,1.965233E+08,393046.56,37700.00,1.751200E+07,35023.99
1761808538,425327.02,2.007766E+08,393679.51,37900.00,1.789100E+07,35080.39
1761808548,374841.98,2.045250E+08,393317.25,33400.00,1.822500E+07,35048.07
1761808558,374821.02,2.082732E+08,392968.27,33400.00,1.855900E+07,35016.98
1761808568,419690.99,2.124701E+08,393463.13,37400.00,1.893300E+07,35061.11
1761808578,409626.99,2.165664E+08,393757.02,36500.00,1.929800E+07,35087.27
1761808588,424200.01,2.208084E+08,394300.65,37800.00,1.967600E+07,35135.71
1761808598,402878.99,2.248372E+08,394451.14,35900.00,2.003500E+07,35149.12
1761808608,369194.00,2.285291E+08,394015.68,32900.00,2.036400E+07,35110.34
1761808618,386045.98,2.323896E+08,393880.60,34400.00,2.070800E+07,35098.30
1761808628,364741.23,2.360370E+08,393394.94,32499.93,2.103300E+07,35054.99
1761808638,380413.83,2.398411E+08,393182.13,33900.07,2.137200E+07,35036.06
1761808648,409625.99,2.439374E+08,393447.36,36500.00,2.173700E+07,35059.67
1761808658,416335.02,2.481007E+08,393810.65,37100.00,2.210800E+07,35092.06
1761808668,374821.96,2.518490E+08,393513.96,33400.00,2.244200E+07,35065.62
1761808678,412978.04,2.559787E+08,393813.40,36800.00,2.281000E+07,35092.30
1761808688,429804.98,2.602768E+08,394358.73,38300.00,2.319300E+07,35140.91
1761808698,412978.84,2.644066E+08,394636.64,36799.99,2.356100E+07,35165.67
1761808708,418599.15,2.685926E+08,394989.03,37300.01,2.393400E+07,35197.06
1761808718,426439.02,2.728570E+08,395444.83,38000.00,2.431400E+07,35237.68
1761808728,393897.99,2.767959E+08,395422.73,35100.00,2.466500E+07,35235.71
1761808738,373700.01,2.805329E+08,395116.78,33300.00,2.499800E+07,35208.45
1761808748,366963.97,2.842026E+08,394725.77,32700.00,2.532500E+07,35173.61
1761808758,390535.81,2.881079E+08,394668.37,34799.98,2.567300E+07,35168.49
1761808768,412980.21,2.922377E+08,394915.83,36800.02,2.604100E+07,35190.54
1761808778,407364.99,2.963114E+08,395081.82,36300.00,2.640400E+07,35205.33
1761808788,372572.88,3.000371E+08,394785.64,33199.99,2.673600E+07,35178.94
1761808798,365846.14,3.036956E+08,394409.81,32600.01,2.706200E+07,35145.45
1761808808,365863.00,3.073542E+08,394043.82,32600.00,2.738800E+07,35112.82
1761808818,399492.01,3.113491E+08,394112.79,35600.00,2.774400E+07,35118.98
1761808828,423081.01,3.155799E+08,394474.89,37700.00,2.812100E+07,35151.25
1761808838,418605.97,3.197660E+08,394772.80,37300.00,2.849400E+07,35177.77
1761808848,397257.01,3.237386E+08,394803.10,35400.00,2.884800E+07,35180.48
1761808858,383800.01,3.275766E+08,394670.53,34200.00,2.919000E+07,35168.67
1761808868,383799.77,3.314146E+08,394541.12,34199.98,2.953200E+07,35157.14
1761808878,423082.22,3.356454E+08,394876.90,37700.02,2.990900E+07,35187.06
1761808888,427554.79,3.399209E+08,395256.87,38099.98,3.029000E+07,35220.93
1761808898,418606.21,3.441070E+08,395525.25,37300.02,3.066300E+07,35244.82
1761808908,382658.03,3.479336E+08,395379.04,34100.00,3.100400E+07,35231.82
1761808918,393900.00,3.518726E+08,395362.42,35100.00,3.135500E+07,35230.33
1761808928,426462.73,3.561372E+08,395707.98,37999.98,3.173500E+07,35261.11
1761808938,414100.27,3.602782E+08,395910.09,36900.02,3.210400E+07,35279.12
1761808948,410709.98,3.643853E+08,396070.96,36600.00,3.247000E+07,35293.48
1761808958,409625.99,3.684816E+08,396216.71,36500.00,3.283500E+07,35306.45
1761808968,380442.99,3.722860E+08,396048.91,33900.00,3.317400E+07,35291.49
1761808978,389394.02,3.761799E+08,395978.85,34700.00,3.352100E+07,35285.26
1761808988,373700.00,3.799169E+08,395746.78,33300.00,3.385400E+07,35264.58
1761808998,393899.01,3.838559E+08,395727.73,35100.00,3.420500E+07,35262.88
1761809008,377064.98,3.876266E+08,395537.30,33600.00,3.454100E+07,35245.92
1761809018,356878.01,3.911954E+08,395146.80,31800.00,3.485900E+07,35211.11
1761809028,391664.00,3.951120E+08,395111.97,34900.00,3.520800E+07,35208.00
1761809038,369192.98,3.988039E+08,394855.35,32900.00,3.553700E+07,35185.15
1761809048,412981.01,4.029337E+08,395033.05,36800.00,3.590500E+07,35200.98
1761809058,424199.98,4.071757E+08,395316.22,37800.00,3.628300E+07,35226.21
1761809068,406239.04,4.112381E+08,395421.25,36200.00,3.664500E+07,35235.57
1761809078,419725.99,4.154354E+08,395652.73,37400.00,3.701900E+07,35256.19
1761809088,388274.01,4.193181E+08,395583.11,34600.00,3.736500E+07,35250.00
1761809098,419726.00,4.235154E+08,395808.75,37400.00,3.773900E+07,35270.09
1761809108,408473.80,4.276001E+08,395926.02,36399.98,3.810300E+07,35280.55
1761809118,421961.19,4.318197E+08,396164.87,37600.02,3.847900E+07,35301.83
1761809128,424199.81,4.360617E+08,396419.74,37799.98,3.885700E+07,35324.54
1761809138,415219.19,4.402139E+08,396589.10,37000.02,3.922700E+07,35339.64
1761809148,369204.00,4.439060E+08,396344.59,32900.00,3.955600E+07,35317.85
1761809158,380433.81,4.477103E+08,396203.79,33899.98,3.989500E+07,35305.31
1761809168,361363.18,4.513239E+08,395898.17,32200.02,4.021700E+07,35278.07
1761809178,381563.00,4.551396E+08,395773.51,34000.00,4.055700E+07,35266.95
1761809188,406236.85,4.592019E+08,395863.72,36199.99,4.091900E+07,35275.00
1761809198,418606.15,4.633880E+08,396058.10,37300.01,4.129200E+07,35292.31
1761809208,372557.99,4.671136E+08,395858.94,33200.00,4.162400E+07,35274.57
1761809218,375963.02,4.708732E+08,395691.75,33500.00,4.195900E+07,35259.66
1761809228,407353.01,4.749467E+08,395788.93,36300.00,4.232200E+07,35268.33
1761809238,416338.97,4.791101E+08,395958.76,37100.00,4.269300E+07,35283.47
1761809248,426445.00,4.833746E+08,396208.65,38000.00,4.307300E+07,35305.74
1761809258,407381.02,4.874484E+08,396299.48,36300.00,4.343600E+07,35313.82
1761809268,382681.99,4.912752E+08,396189.66,34100.00,4.377700E+07,35304.03
1761809278,357973.00,4.948549E+08,395883.93,31900.00,4.409600E+07,35276.80
1761809288,359127.00,4.984462E+08,395592.21,32000.00,4.441600E+07,35250.79
1761809298,378173.02,5.022279E+08,395455.05,33700.00,4.475300E+07,35238.58
1761809308,409626.99,5.063242E+08,395565.77,36500.00,4.511800E+07,35248.44
1761809318,418573.02,5.105099E+08,395744.12,37300.00,4.549100E+07,35264.34
1761809328,389426.97,5.144042E+08,395695.52,34700.00,4.583800E+07,35260.00
1761809338,377053.01,5.181747E+08,395553.21,33600.00,4.617400E+07,35247.33
1761809348,372583.02,5.219006E+08,395379.20,33200.00,4.650600E+07,35231.82

Summary:
loaded 523584000 metrics in 1324.398sec with 8 workers (mean rate 395337.30 metrics/sec)
loaded 46656000 rows in 1324.398sec with 8 workers (mean rate 35228.08 rows/sec)
