Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761795946,409583.43,4.095920E+06,409583.43,36499.24,3.650000E+05,36499.24
1761795956,386038.86,7.956310E+06,397811.27,34399.99,7.090000E+05,35449.62
1761795966,391663.16,1.187294E+07,395761.91,34900.01,1.058000E+06,35266.42
1761795976,410744.98,1.598039E+07,399507.66,36600.00,1.424000E+06,35599.81
1761795986,407355.01,2.005394E+07,401077.12,36300.00,1.787000E+06,35739.85
1761795996,420845.02,2.426239E+07,404371.76,37500.00,2.162000E+06,36033.21
1761796006,433181.99,2.859421E+07,408487.49,38600.00,2.548000E+06,36399.89
1761796016,380418.98,3.239840E+07,404978.94,33900.00,2.887000E+06,36087.41
1761796026,360234.01,3.600074E+07,400007.29,32100.00,3.208000E+06,35644.36
1761796036,380447.00,3.980521E+07,398051.27,33900.00,3.547000E+06,35469.93
1761796046,381537.03,4.362058E+07,396549.97,34000.00,3.887000E+06,35336.30
1761796056,429815.99,4.791874E+07,399322.14,38300.00,4.270000E+06,35583.27
1761796066,452264.95,5.244139E+07,403394.66,40300.00,4.673000E+06,35946.10
1761796076,397255.05,5.641394E+07,402956.11,35400.00,5.027000E+06,35907.09
1761796086,370344.98,6.011739E+07,400782.04,33000.00,5.357000E+06,35713.28
1761796096,388273.99,6.400013E+07,400000.29,34600.00,5.703000E+06,35643.70
1761796106,384917.74,6.784931E+07,399113.08,34299.98,6.046000E+06,35564.66
1761796116,427590.28,7.212521E+07,400695.15,38100.03,6.427000E+06,35705.51
