Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761797455,398368.05,3.983760E+06,398368.05,35499.29,3.550000E+05,35499.29
1761797465,415218.01,8.135940E+06,406792.94,37000.00,7.250000E+05,36249.64
1761797475,414099.97,1.227694E+07,409228.60,36900.00,1.094000E+06,36466.42
1761797485,371462.97,1.599157E+07,399787.24,33100.00,1.425000E+06,35624.82
1761797495,333300.00,1.932457E+07,386489.85,29700.00,1.722000E+06,34439.86
1761797505,345636.05,2.278093E+07,379680.91,30800.00,2.030000E+06,33833.22
1761797515,387164.99,2.665258E+07,380750.06,34500.00,2.375000E+06,33928.47
1761797525,417481.00,3.082739E+07,385341.41,37200.00,2.747000E+06,34337.41
1761797535,434299.80,3.517039E+07,390781.22,38699.98,3.134000E+06,34822.14
1761797545,423082.17,3.940121E+07,394011.31,37700.02,3.511000E+06,35109.93
1761797555,405118.01,4.345239E+07,395021.01,36100.00,3.872000E+06,35199.94
1761797565,383800.02,4.729039E+07,394085.93,34200.00,4.214000E+06,35116.61
1761797575,360219.00,5.089258E+07,391480.78,32100.00,4.535000E+06,34884.56
1761797585,390557.98,5.479816E+07,391414.87,34800.00,4.883000E+06,34878.52
1761797595,451123.01,5.930939E+07,395395.41,40200.00,5.285000E+06,35233.29
1761797605,427554.99,6.358494E+07,397405.38,38100.00,5.666000E+06,35412.46
1761797615,408505.81,6.767000E+07,398058.34,36399.98,6.030000E+06,35470.55
1761797625,399494.21,7.166494E+07,398138.11,35600.02,6.386000E+06,35477.74
1761797635,366987.94,7.533482E+07,396498.63,32699.99,6.713000E+06,35331.54
1761797645,382658.05,7.916140E+07,395806.60,34100.00,7.054000E+06,35269.96
