Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761798961,390511.42,3.905130E+06,390511.42,34799.86,3.480000E+05,34799.86
1761798971,362480.99,7.529940E+06,376496.23,32300.00,6.710000E+05,33549.93
1761798981,400645.03,1.153639E+07,384545.82,35700.00,1.028000E+06,34266.62
1761798991,369191.96,1.522831E+07,380707.36,32900.00,1.357000E+06,33924.97
1761799001,409626.03,1.932457E+07,386491.09,36500.00,1.722000E+06,34439.97
1761799011,402881.98,2.335339E+07,389222.90,35900.00,2.081000E+06,34683.31
1761799021,393900.02,2.729239E+07,389891.06,35100.00,2.432000E+06,34742.84
1761799031,416334.98,3.145574E+07,393196.55,37100.00,2.803000E+06,35037.48
1761799041,406239.00,3.551813E+07,394645.71,36200.00,3.165000E+06,35166.65
1761799051,353500.01,3.905313E+07,390531.14,31500.00,3.480000E+06,34799.99
1761799061,355744.99,4.261058E+07,387368.77,31700.00,3.797000E+06,34518.17
1761799071,377081.01,4.638139E+07,386511.45,33600.00,4.133000E+06,34441.66
1761799081,418572.98,5.056712E+07,388977.72,37300.00,4.506000E+06,34661.53
1761799091,418608.83,5.475321E+07,391094.23,37299.98,4.879000E+06,34849.99
1761799101,410710.19,5.886031E+07,392401.96,36600.02,5.245000E+06,34966.66
1761799111,366989.99,6.253021E+07,390813.71,32700.00,5.572000E+06,34824.99
1761799121,361337.01,6.614358E+07,389079.79,32200.00,5.894000E+06,34670.58
1761799131,368099.00,6.982457E+07,387914.19,32800.00,6.222000E+06,34566.66
1761799141,425316.98,7.407774E+07,389882.76,37900.00,6.601000E+06,34742.10
1761799151,421965.02,7.829739E+07,391486.87,37600.00,6.977000E+06,34884.99
1761799161,402882.01,8.232621E+07,392029.50,35900.00,7.336000E+06,34933.33
1761799171,370309.99,8.602931E+07,391042.25,33000.00,7.666000E+06,34845.45
1761799181,364726.78,8.967658E+07,389898.09,32499.98,7.991000E+06,34743.47
1761799191,356881.20,9.324539E+07,388522.39,31800.02,8.309000E+06,34620.83
1761799201,410719.02,9.735258E+07,389410.26,36600.00,8.675000E+06,34699.99
1761799211,414099.81,1.014936E+08,390359.86,36899.98,9.044000E+06,34784.61
1761799221,402873.16,1.055223E+08,390823.31,35900.01,9.403000E+06,34825.92
1761799231,362482.01,1.091471E+08,389811.12,32300.00,9.726000E+06,34735.71
1761799241,358008.02,1.127272E+08,388714.46,31900.00,1.004500E+07,34637.93
1761799251,381536.98,1.165426E+08,388475.21,34000.00,1.038500E+07,34616.66
1761799261,403994.00,1.205825E+08,388975.82,36000.00,1.074500E+07,34661.29
1761799271,418604.77,1.247686E+08,389901.73,37299.98,1.111800E+07,34743.74
1761799281,406237.22,1.288309E+08,390396.74,36200.02,1.148000E+07,34787.87
1761799291,356863.84,1.323996E+08,389410.48,31799.99,1.179800E+07,34700.00
1761799301,361355.18,1.360131E+08,388608.90,32200.02,1.212000E+07,34628.57
1761799311,383799.98,1.398511E+08,388475.32,34200.00,1.246200E+07,34616.66
1761799321,408505.01,1.439362E+08,389016.66,36400.00,1.282600E+07,34664.86
1761799331,415220.99,1.480884E+08,389706.25,37000.00,1.319600E+07,34726.31
1761799341,398374.03,1.520721E+08,389928.50,35500.00,1.355100E+07,34746.15
1761799351,381560.99,1.558877E+08,389719.31,34000.00,1.389100E+07,34727.50
1761799361,374819.99,1.596359E+08,389355.91,33400.00,1.422500E+07,34695.12
1761799371,361362.99,1.632496E+08,388689.41,32200.00,1.454700E+07,34635.71
1761799381,399501.02,1.672446E+08,388940.85,35600.00,1.490300E+07,34658.14
1761799391,419716.00,1.714417E+08,389640.28,37400.00,1.527700E+07,34720.45
1761799401,411865.00,1.755604E+08,390134.16,36700.00,1.564400E+07,34764.44
1761799411,366955.00,1.792299E+08,389630.27,32700.00,1.597100E+07,34719.56
1761799421,366963.99,1.828996E+08,389148.01,32700.00,1.629800E+07,34676.59
1761799431,362473.00,1.865243E+08,388592.28,32300.00,1.662100E+07,34627.08
1761799441,368108.00,1.902054E+08,388174.23,32800.00,1.694900E+07,34589.79
1761799451,405117.81,1.942566E+08,388513.10,36099.98,1.731000E+07,34620.00
1761799461,400643.19,1.982630E+08,388750.95,35700.02,1.766700E+07,34641.17
1761799471,366957.02,2.019326E+08,388331.84,32700.00,1.799400E+07,34603.84
1761799481,383799.99,2.057706E+08,388246.33,34200.00,1.833600E+07,34596.22
1761799491,428673.98,2.100573E+08,388994.99,38200.00,1.871800E+07,34662.96
1761799501,412982.00,2.141871E+08,389431.12,36800.00,1.908600E+07,34701.82
1761799511,398407.99,2.181712E+08,389591.42,35500.00,1.944100E+07,34716.07
1761799521,402879.00,2.222000E+08,389824.53,35900.00,1.980000E+07,34736.84
1761799531,373679.01,2.259368E+08,389546.16,33300.00,2.013300E+07,34712.07
1761799541,371452.01,2.296513E+08,389239.48,33100.00,2.046400E+07,34684.74
1761799551,383799.97,2.334893E+08,389148.82,34200.00,2.080600E+07,34676.66
1761799561,358008.00,2.370694E+08,388638.32,31900.00,2.112500E+07,34631.15
1761799571,390518.39,2.409746E+08,388668.64,34799.95,2.147300E+07,34633.87
