Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761800494,407342.00,4.073560E+06,407342.00,36298.75,3.630000E+05,36298.75
1761800504,406238.03,8.135940E+06,406790.03,36200.00,7.250000E+05,36249.38
1761800514,415218.96,1.228813E+07,409599.64,37000.00,1.095000E+06,36499.58
1761800524,380443.53,1.609257E+07,402310.67,33899.96,1.434000E+06,35849.68
1761800534,334417.44,1.943674E+07,388732.13,29800.04,1.732000E+06,34639.76
1761800544,333300.00,2.276974E+07,379493.50,29700.00,2.029000E+06,33816.47
1761800554,411864.98,2.688839E+07,384117.97,36700.00,2.396000E+06,34228.40
1761800564,420818.99,3.109658E+07,388705.58,37500.00,2.771000E+06,34637.35
1761800574,421954.95,3.531613E+07,392399.94,37600.00,3.147000E+06,34966.53
1761800584,411862.89,3.943476E+07,394346.23,36699.99,3.514000E+06,35139.88
1761800594,414098.08,4.357574E+07,396141.85,36900.01,3.883000E+06,35299.89
1761800604,374820.08,4.732394E+07,394365.04,33400.01,4.217000E+06,35141.57
1761800614,373699.76,5.106094E+07,392775.40,33299.98,4.550000E+06,34999.91
1761800624,364718.24,5.470812E+07,390771.33,32500.02,4.875000E+06,34821.34
1761800634,414101.00,5.884913E+07,392326.64,36900.00,5.244000E+06,34959.92
1761800644,420843.82,6.305757E+07,394108.96,37499.98,5.619000E+06,35118.67
1761800654,419701.01,6.725458E+07,395614.37,37400.00,5.993000E+06,35252.87
1761800664,366981.14,7.092439E+07,394023.64,32700.01,6.320000E+06,35111.04
1761800674,360219.01,7.452658E+07,392244.45,32100.00,6.641000E+06,34952.57
1761800684,370342.77,7.823001E+07,391149.37,32999.98,6.971000E+06,34854.94
1761800694,412973.25,8.235974E+07,392188.60,36800.02,7.339000E+06,34947.56
1761800704,418607.99,8.654582E+07,393389.48,37300.00,7.712000E+06,35054.49
1761800714,417457.03,9.072039E+07,394435.89,37200.00,8.084000E+06,35147.77
1761800724,371461.00,9.443500E+07,393478.60,33100.00,8.415000E+06,35062.45
1761800734,370310.97,9.813811E+07,392551.90,33000.00,8.745000E+06,34979.95
1761800744,363602.03,1.017741E+08,391438.44,32400.00,9.069000E+06,34880.72
1761800754,410743.97,1.058816E+08,392153.46,36600.00,9.435000E+06,34944.40
1761800764,415217.00,1.100337E+08,392977.16,37000.00,9.805000E+06,35017.81
1761800774,415220.02,1.141859E+08,393744.15,37000.00,1.017500E+07,35086.17
1761800784,371463.03,1.179006E+08,393001.45,33100.00,1.050600E+07,35019.96
1761800794,355736.98,1.214579E+08,391799.37,31700.00,1.082300E+07,34912.86
1761800804,368103.35,1.251390E+08,391058.87,32799.76,1.115100E+07,34846.83
1761800814,384923.78,1.289882E+08,390872.96,34300.25,1.149400E+07,34830.27
1761800824,412978.89,1.331180E+08,391523.13,36799.99,1.186200E+07,34888.20
1761800834,412958.11,1.372476E+08,392135.56,36800.01,1.223000E+07,34942.82
1761800844,366980.00,1.409174E+08,391436.79,32700.00,1.255700E+07,34880.52
1761800854,365835.90,1.445757E+08,390744.88,32599.99,1.288300E+07,34818.89
1761800864,406239.10,1.486381E+08,391152.62,36200.01,1.324500E+07,34855.23
1761800874,411861.01,1.527567E+08,391683.60,36700.00,1.361200E+07,34902.53
1761800884,411864.57,1.568754E+08,392188.13,36699.96,1.397900E+07,34947.47
1761800894,409592.42,1.609713E+08,392612.62,36500.04,1.434400E+07,34985.34
1761800904,374827.00,1.647196E+08,392189.16,33400.00,1.467800E+07,34947.59
1761800914,365863.02,1.683782E+08,391576.92,32600.00,1.500400E+07,34893.00
1761800924,365835.89,1.720366E+08,390991.90,32599.99,1.533000E+07,34840.88
1761800934,360243.09,1.756390E+08,390308.59,32100.01,1.565100E+07,34779.97
1761800944,370313.00,1.793421E+08,389873.90,33000.00,1.598100E+07,34741.28
1761800954,398408.01,1.833262E+08,390055.48,35500.00,1.633600E+07,34757.42
1761800964,381536.99,1.871416E+08,389878.01,34000.00,1.667600E+07,34741.64
1761800974,436563.01,1.915072E+08,390830.77,38900.00,1.706500E+07,34826.51
1761800984,426435.73,1.957716E+08,391542.87,37999.98,1.744500E+07,34889.98
1761800994,411864.25,1.998902E+08,391941.32,36700.02,1.781200E+07,34925.47
1761801004,417453.01,2.040647E+08,392431.93,37200.00,1.818400E+07,34969.21
1761801014,427557.00,2.083403E+08,393094.67,38100.00,1.856500E+07,35028.28
1761801024,366987.00,2.120102E+08,392611.19,32700.00,1.889200E+07,34985.16
1761801034,355738.99,2.155676E+08,391940.79,31700.00,1.920900E+07,34925.43
1761801044,368073.99,2.192483E+08,391514.60,32800.00,1.953700E+07,34887.48
1761801054,370342.99,2.229517E+08,391143.17,33000.00,1.986700E+07,34854.36
1761801064,354620.01,2.264979E+08,390513.46,31600.00,2.018300E+07,34798.26
1761801074,405118.99,2.305491E+08,390761.01,36100.00,2.054400E+07,34820.32
1761801084,411861.02,2.346677E+08,391112.68,36700.00,2.091100E+07,34851.65
1761801094,411865.00,2.387864E+08,391452.88,36700.00,2.127800E+07,34881.95
1761801104,424200.00,2.430284E+08,391981.06,37800.00,2.165600E+07,34929.01
1761801114,414100.01,2.471694E+08,392332.15,36900.00,2.202500E+07,34960.30
1761801124,408473.99,2.512541E+08,392584.37,36400.00,2.238900E+07,34982.79
1761801134,409624.99,2.553504E+08,392846.53,36500.00,2.275400E+07,35006.14
1761801144,372583.02,2.590762E+08,392539.51,33200.00,2.308600E+07,34978.77
1761801154,369192.00,2.627681E+08,392191.04,32900.00,2.341500E+07,34947.74
1761801164,371460.98,2.664827E+08,391886.18,33100.00,2.374600E+07,34920.57
1761801174,368084.00,2.701636E+08,391541.23,32800.00,2.407400E+07,34889.84
1761801184,360236.01,2.737659E+08,391094.01,32100.00,2.439500E+07,34849.98
1761801194,373699.00,2.775029E+08,390849.01,33300.00,2.472800E+07,34828.15
1761801204,418607.00,2.816890E+08,391234.54,37300.00,2.510100E+07,34862.48
1761801214,408473.99,2.857737E+08,391470.69,36400.00,2.546500E+07,34883.55
1761801224,436536.97,2.901391E+08,392079.70,38900.00,2.585400E+07,34937.82
1761801234,415220.03,2.942913E+08,392388.23,37000.00,2.622400E+07,34965.32
1761801244,416369.02,2.984550E+08,392703.77,37100.00,2.659500E+07,34993.41
1761801254,408474.01,3.025397E+08,392908.58,36400.00,2.695900E+07,35011.67
1761801264,368083.98,3.062206E+08,392590.31,32800.00,2.728700E+07,34983.32
1761801274,370336.02,3.099239E+08,392308.61,33000.00,2.761700E+07,34958.21
1761801284,383799.98,3.137619E+08,392202.26,34200.00,2.795900E+07,34948.73
1761801294,404000.02,3.178019E+08,392347.91,36000.00,2.831900E+07,34961.71
1761801304,419726.69,3.219992E+08,392681.80,37399.97,2.869300E+07,34991.45
1761801314,414100.29,3.261402E+08,392939.85,36900.03,2.906200E+07,35014.44
1761801324,365836.01,3.297986E+08,392617.18,32600.00,2.938800E+07,34985.70
1761801334,372582.00,3.335244E+08,392381.48,33200.00,2.972000E+07,34964.69
1761801344,386034.98,3.373847E+08,392307.68,34400.00,3.006400E+07,34958.13
1761801354,406238.00,3.414471E+08,392467.80,36200.00,3.042600E+07,34972.40
1761801364,401762.02,3.454647E+08,392573.42,35800.00,3.078400E+07,34981.80
1761801374,412983.00,3.495946E+08,392802.74,36800.00,3.115200E+07,35002.23
1761801384,389401.00,3.534886E+08,392764.94,34700.00,3.149900E+07,34998.88
1761801394,362473.00,3.571133E+08,392432.06,32300.00,3.182200E+07,34969.22
1761801404,372581.15,3.608391E+08,392216.29,33199.92,3.215400E+07,34949.99
1761801414,366987.83,3.645090E+08,391945.02,32700.07,3.248100E+07,34925.79
1761801424,357973.80,3.680887E+08,391583.62,31899.98,3.280000E+07,34893.60
1761801434,410747.24,3.721962E+08,391785.34,36600.02,3.316600E+07,34911.57
1761801444,400609.98,3.762023E+08,391877.27,35700.00,3.352300E+07,34919.78
1761801454,408507.74,3.802874E+08,392048.71,36399.98,3.388700E+07,34935.04
1761801464,423079.04,3.845182E+08,392365.35,37700.00,3.426400E+07,34963.25
1761801474,414103.23,3.886592E+08,392584.92,36900.02,3.463300E+07,34982.82
1761801484,406236.01,3.927216E+08,392721.44,36200.00,3.499500E+07,34994.99
1761801494,410742.99,3.968290E+08,392899.87,36600.00,3.536100E+07,35010.88
1761801504,400612.99,4.008351E+08,392975.49,35700.00,3.571800E+07,35017.64
1761801514,383799.89,4.046731E+08,392886.40,34199.99,3.606000E+07,35009.70
1761801524,398408.07,4.086572E+08,392939.49,35500.01,3.641500E+07,35014.41
1761801534,412979.06,4.127870E+08,393130.35,36800.01,3.678300E+07,35031.42
