Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761803537,402857.11,4.028580E+06,402857.11,35899.92,3.590000E+05,35899.92
1761803547,407381.01,8.102390E+06,405119.06,36300.00,7.220000E+05,36099.96
1761803557,391660.98,1.201900E+07,400633.03,34900.00,1.071000E+06,35699.97
1761803567,355739.03,1.557639E+07,389409.54,31700.00,1.388000E+06,34699.98
1761803577,328791.98,1.886431E+07,377286.03,29300.00,1.681000E+06,33619.99
1761803587,414099.92,2.300531E+07,383421.68,36899.99,2.050000E+06,34166.65
1761803597,418608.10,2.719139E+07,388448.31,37300.01,2.423000E+06,34614.27
1761803607,405117.99,3.124257E+07,390532.02,36100.00,2.784000E+06,34799.99
1761803617,436537.02,3.560794E+07,395643.68,38900.00,3.173000E+06,35255.55
1761803627,443279.98,4.004074E+07,400407.31,39500.00,3.568000E+06,35679.99
1761803637,375938.99,4.380013E+07,398182.92,33500.00,3.903000E+06,35481.81
1761803647,351261.01,4.731274E+07,394272.76,31300.00,4.216000E+06,35133.33
1761803657,372583.00,5.103857E+07,392604.32,33200.00,4.548000E+06,34984.61
1761803667,395017.00,5.498874E+07,392776.65,35200.00,4.900000E+06,34999.99
1761803677,429826.01,5.928700E+07,395246.61,38300.00,5.283000E+06,35219.99
1761803687,437657.00,6.366357E+07,397897.26,39000.00,5.673000E+06,35456.25
1761803697,378173.83,6.744531E+07,396737.06,33699.98,6.010000E+06,35352.94
1761803707,354627.16,7.099158E+07,394397.62,31600.01,6.326000E+06,35144.44
1761803717,378199.00,7.477357E+07,393545.06,33700.00,6.663000E+06,35068.42
1761803727,414100.00,7.891457E+07,394572.81,36900.00,7.032000E+06,35160.00
1761803737,432063.99,8.323521E+07,396358.10,38500.00,7.417000E+06,35319.04
1761803747,432052.02,8.755573E+07,397980.55,38500.00,7.802000E+06,35463.63
1761803757,390521.00,9.146094E+07,397656.22,34800.00,8.150000E+06,35434.78
1761803767,372580.01,9.518674E+07,396611.38,33200.00,8.482000E+06,35341.66
1761803777,381560.98,9.900235E+07,396009.37,34000.00,8.822000E+06,35288.00
1761803787,386039.00,1.028627E+08,395625.89,34400.00,9.166000E+06,35253.84
1761803797,420846.99,1.070712E+08,396560.00,37500.00,9.541000E+06,35337.03
1761803807,421937.02,1.112906E+08,397466.33,37600.00,9.917000E+06,35417.85
1761803817,382672.99,1.151173E+08,396956.21,34100.00,1.025800E+07,35372.41
1761803827,374827.01,1.188656E+08,396218.57,33400.00,1.059200E+07,35306.66
1761803837,369216.00,1.225577E+08,395347.52,32900.00,1.092100E+07,35229.03
1761803847,397257.01,1.265303E+08,395407.19,35400.00,1.127500E+07,35234.37
1761803857,419726.00,1.307276E+08,396144.13,37400.00,1.164900E+07,35300.00
1761803867,435416.97,1.350817E+08,397299.21,38800.00,1.203700E+07,35402.94
1761803877,389426.03,1.389760E+08,397074.26,34700.00,1.238400E+07,35382.85
1761803887,380412.95,1.427801E+08,396611.45,33900.00,1.272300E+07,35341.66
1761803897,380444.05,1.465846E+08,396174.49,33900.00,1.306200E+07,35302.70
1761803907,408474.00,1.506693E+08,396498.16,36400.00,1.342600E+07,35331.58
1761803917,414100.00,1.548103E+08,396949.49,36900.00,1.379500E+07,35371.79
1761803927,451142.99,1.593217E+08,398304.33,40200.00,1.419700E+07,35492.50
1761803937,365839.00,1.629801E+08,397512.49,32600.00,1.452300E+07,35421.95
1761803947,368084.00,1.666610E+08,396811.81,32800.00,1.485100E+07,35359.52
1761803957,380434.00,1.704653E+08,396430.93,33900.00,1.519000E+07,35325.58
1761803967,362482.00,1.740901E+08,395659.37,32300.00,1.551300E+07,35256.82
1761803977,396145.02,1.780516E+08,395670.16,35300.00,1.586600E+07,35257.78
1761803987,426462.99,1.823162E+08,396339.57,38000.00,1.624600E+07,35317.39
1761803997,392779.00,1.862440E+08,396263.81,35000.00,1.659600E+07,35310.64
1761804007,366957.00,1.899136E+08,395653.25,32700.00,1.692300E+07,35256.25
1761804017,378173.99,1.936953E+08,395296.53,33700.00,1.726000E+07,35224.49
1761804027,399526.01,1.976906E+08,395381.12,35600.00,1.761600E+07,35232.00
1761804037,427555.99,2.019661E+08,396012.00,38100.00,1.799700E+07,35288.23
1761804047,429826.00,2.062644E+08,396662.27,38300.00,1.838000E+07,35346.15
1761804057,378173.99,2.100461E+08,396313.44,33700.00,1.871700E+07,35315.09
1761804067,363600.03,2.136821E+08,395707.63,32400.00,1.904100E+07,35261.11
1761804077,374817.83,2.174303E+08,395327.82,33399.99,1.937500E+07,35227.27
1761804087,408508.17,2.215154E+08,395563.18,36400.01,1.973900E+07,35248.21
1761804097,416335.01,2.256787E+08,395927.60,37100.00,2.011000E+07,35280.70
1761804107,426437.82,2.299431E+08,396453.64,37999.98,2.049000E+07,35327.58
1761804117,384919.16,2.337923E+08,396258.14,34300.01,2.083300E+07,35310.17
1761804127,371462.86,2.375069E+08,395844.88,33099.99,2.116400E+07,35273.33
1761804137,374819.14,2.412551E+08,395500.20,33400.01,2.149800E+07,35242.62
1761804147,368107.99,2.449362E+08,395058.39,32800.00,2.182600E+07,35203.22
