Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761809539,503856.10,5.038580E+06,503856.10,44899.83,4.490000E+05,44899.83
1761809549,507263.00,1.011121E+07,505559.55,45200.00,9.010000E+05,45049.92
1761809559,506118.00,1.517239E+07,505745.70,45100.00,1.352000E+06,45066.61
1761809569,496017.98,2.013257E+07,503313.77,44200.00,1.794000E+06,44849.96
1761809579,436537.02,2.449794E+07,489958.43,38900.00,2.183000E+06,43659.97
1761809589,451145.01,2.900939E+07,483489.53,40200.00,2.585000E+06,43083.31
1761809599,538654.87,3.439594E+07,491370.29,47999.99,3.065000E+06,43785.69
1761809609,537536.86,3.977131E+07,497141.11,47899.99,3.544000E+06,44299.98
1761809619,520726.13,4.497857E+07,499761.67,46400.01,4.008000E+06,44533.31
1761809629,522964.12,5.020821E+07,502081.91,46600.01,4.474000E+06,44739.98
1761809639,540892.01,5.561713E+07,505610.10,48200.00,4.956000E+06,45054.53
1761809649,490425.91,6.052139E+07,504344.75,43699.99,5.393000E+06,44941.65
1761809659,474700.07,6.526839E+07,502064.39,42300.01,5.816000E+06,44738.45
1761809669,484799.69,7.011639E+07,500831.20,43199.97,6.248000E+06,44628.56
1761809679,538655.36,7.550294E+07,503352.81,48000.03,6.728000E+06,44853.32
1761809689,518463.98,8.068758E+07,504297.26,46200.00,7.190000E+06,44937.49
1761809699,527460.01,8.596218E+07,505659.77,47000.00,7.660000E+06,45058.81
