Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761810756,504998.03,5.050000E+06,504998.03,44999.82,4.500000E+05,44999.82
1761810766,500494.06,1.005494E+07,502746.05,44600.01,8.960000E+05,44799.92
1761810776,487036.98,1.492531E+07,497509.70,43400.00,1.330000E+06,44333.28
1761810786,445526.97,1.938058E+07,484514.03,39700.00,1.727000E+06,43174.96
1761810796,502755.05,2.440813E+07,488162.23,44800.00,2.175000E+06,43499.97
1761810806,498287.00,2.939100E+07,489849.69,44400.00,2.619000E+06,43649.97
1761810816,506120.73,3.445221E+07,492174.12,45099.98,3.070000E+06,43857.12
1761810826,534179.02,3.979400E+07,497424.73,47600.00,3.546000E+06,44324.98
1761810836,522931.25,4.502331E+07,500258.79,46600.02,4.012000E+06,44577.76
1761810846,461243.00,4.963574E+07,496357.21,41100.00,4.423000E+06,44229.98
1761810856,483682.99,5.447257E+07,495205.01,43100.00,4.854000E+06,44127.26
1761810866,476937.02,5.924194E+07,493682.68,42500.00,5.279000E+06,43991.65
1761810876,527436.94,6.451631E+07,496279.16,46999.99,5.749000E+06,44223.06
1761810886,534181.06,6.985812E+07,498986.44,47600.01,6.225000E+06,44464.27
1761810896,528587.99,7.514400E+07,500959.87,47100.00,6.696000E+06,44639.99
1761810906,491513.02,8.005913E+07,500369.44,43800.00,7.134000E+06,44587.49
1761810916,470225.99,8.476139E+07,498596.30,41900.00,7.553000E+06,44429.40
