Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761811975,498255.26,4.982570E+06,498255.26,44399.85,4.440000E+05,44399.85
1761811985,502763.98,1.001021E+07,500509.62,44800.00,8.920000E+05,44599.92
1761811995,515100.02,1.516121E+07,505373.08,45900.00,1.351000E+06,45033.28
1761812005,454500.00,1.970621E+07,492654.82,40500.00,1.756000E+06,43899.96
1761812015,429791.88,2.400413E+07,480082.24,38299.99,2.139000E+06,42779.97
1761812025,508366.14,2.908779E+07,484796.22,45300.01,2.592000E+06,43199.97
1761812035,517360.02,3.426139E+07,489448.19,46100.00,3.053000E+06,43614.26
1761812045,535299.99,3.961439E+07,495179.66,47700.00,3.530000E+06,44124.98
1761812055,521818.98,4.483258E+07,498139.58,46500.00,3.995000E+06,44388.87
1761812065,527463.01,5.010721E+07,501071.93,47000.00,4.465000E+06,44649.98
1761812075,545399.07,5.556121E+07,505101.67,48599.92,4.951000E+06,45009.07
1761812085,475818.57,6.031939E+07,502661.42,42400.05,5.375000E+06,44791.65
1761812095,469074.25,6.501013E+07,500077.79,41800.02,5.793000E+06,44561.53
1761812105,500526.01,7.001539E+07,500109.81,44600.00,6.239000E+06,44564.27
1761812115,536417.98,7.537957E+07,502530.35,47800.00,6.717000E+06,44779.99
1761812125,526316.76,8.064274E+07,504017.00,46899.98,7.186000E+06,44912.49
1761812135,537537.25,8.601811E+07,505988.78,47900.02,7.665000E+06,45088.23
1761812145,482563.01,9.084374E+07,504687.35,43000.00,8.095000E+06,44972.21
1761812155,461246.97,9.545621E+07,502401.01,41100.00,8.506000E+06,44768.41
1761812165,489272.77,1.003489E+08,501744.60,43599.98,8.942000E+06,44709.99
1761812175,537537.28,1.057243E+08,503449.01,47900.02,9.421000E+06,44861.90
1761812185,538690.02,1.111112E+08,505050.88,48000.00,9.901000E+06,45004.54
1761812195,500491.78,1.161161E+08,504852.65,44599.98,1.034700E+07,44986.95
1761812205,470226.08,1.208184E+08,503409.88,41900.01,1.076600E+07,44858.33
1761812215,490392.10,1.257223E+08,502889.17,43700.01,1.120300E+07,44811.99
1761812225,487069.03,1.305930E+08,502280.70,43400.00,1.163700E+07,44757.69
1761812235,529673.95,1.358897E+08,503295.27,47200.00,1.210900E+07,44848.14
1761812245,527438.75,1.411641E+08,504157.54,46999.98,1.257900E+07,44924.99
1761812255,519608.26,1.463602E+08,504690.32,46300.02,1.304200E+07,44972.41
1761812265,492637.02,1.512866E+08,504288.54,43900.00,1.348100E+07,44936.66
1761812275,479198.85,1.560786E+08,503479.20,42699.99,1.390800E+07,44864.51
1761812285,464600.16,1.607246E+08,502264.23,41400.01,1.432200E+07,44756.25
1761812295,548756.00,1.662121E+08,503673.07,48900.00,1.481100E+07,44881.81
1761812305,534180.96,1.715539E+08,504570.36,47600.00,1.528700E+07,44961.76
1761812315,548779.03,1.770417E+08,505833.46,48900.00,1.577600E+07,45074.28
1761812325,483658.00,1.818783E+08,505217.48,43100.00,1.620700E+07,45019.44
1761812335,492661.78,1.868049E+08,504878.14,43899.98,1.664600E+07,44989.18
1761812345,503881.23,1.918437E+08,504851.90,44900.02,1.709500E+07,44986.84
1761812355,527438.99,1.971181E+08,505431.06,47000.00,1.756500E+07,45038.46
1761812365,534181.01,2.024599E+08,506149.81,47600.00,1.804100E+07,45102.50
1761812375,518463.74,2.076446E+08,506450.15,46199.98,1.850300E+07,45129.26
1761812385,489299.26,2.125376E+08,506041.79,43600.02,1.893900E+07,45092.85
1761812395,480301.01,2.173406E+08,505443.17,42800.00,1.936700E+07,45039.53
1761812405,474699.96,2.220876E+08,504744.46,42300.00,1.979000E+07,44977.27
1761812415,502755.02,2.271151E+08,504700.25,44800.00,2.023800E+07,44973.33
1761812425,522961.02,2.323447E+08,505097.22,46600.00,2.070400E+07,45008.69
1761812435,520705.00,2.375518E+08,505429.30,46400.00,2.116800E+07,45038.29
1761812445,509494.99,2.426467E+08,505514.01,45400.00,2.162200E+07,45045.83
1761812455,494903.02,2.475958E+08,505297.45,44100.00,2.206300E+07,45026.53
1761812465,516214.99,2.527579E+08,505515.81,46000.00,2.252300E+07,45046.00
1761812475,540929.02,2.581672E+08,506210.18,48200.00,2.300500E+07,45107.84
1761812485,517336.01,2.633406E+08,506424.14,46100.00,2.346600E+07,45126.92
1761812495,526319.71,2.686038E+08,506799.53,46899.97,2.393500E+07,45160.37
1761812505,475815.23,2.733619E+08,506225.75,42400.02,2.435900E+07,45109.26
1761812515,490429.01,2.782662E+08,505938.53,43700.00,2.479600E+07,45083.63
1761812525,491509.77,2.831813E+08,505680.88,43799.98,2.523400E+07,45060.71
1761812535,503881.97,2.882201E+08,505649.32,44900.00,2.568300E+07,45057.89
1761812545,525200.25,2.934721E+08,505986.40,46800.02,2.615100E+07,45087.93
1761812555,515099.79,2.986231E+08,506140.86,45899.98,2.661000E+07,45101.69
1761812565,506118.10,3.036843E+08,506140.49,45100.01,2.706100E+07,45101.66
1761812575,516227.13,3.088466E+08,506305.84,46000.01,2.752100E+07,45116.39
1761812585,534172.95,3.141883E+08,506755.31,47600.00,2.799700E+07,45156.45
1761812595,524082.05,3.194291E+08,507030.34,46700.00,2.846400E+07,45180.95
1761812605,536418.01,3.247933E+08,507489.52,47800.00,2.894200E+07,45221.87
1761812615,516241.99,3.299557E+08,507624.17,46000.00,2.940200E+07,45233.84
1761812625,501620.99,3.349719E+08,507533.22,44700.00,2.984900E+07,45225.76
1761812635,475819.01,3.397301E+08,507059.87,42400.00,3.027300E+07,45183.58
1761812645,494899.94,3.446791E+08,506881.05,44100.00,3.071400E+07,45167.64
1761812655,513981.02,3.498189E+08,506983.95,45800.00,3.117200E+07,45176.81
1761812665,515100.00,3.549699E+08,507099.89,45900.00,3.163100E+07,45187.14
1761812675,518463.73,3.601546E+08,507259.94,46199.98,3.209300E+07,45201.41
1761812685,500516.28,3.651597E+08,507166.28,44600.03,3.253900E+07,45193.05
