Current status: 
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761813169,492631.66,4.926400E+06,492631.66,43899.26,4.390000E+05,43899.26
1761813179,508380.99,1.001021E+07,500506.26,45300.00,8.920000E+05,44599.62
1761813189,513978.92,1.515000E+07,504997.12,45799.99,1.350000E+06,44999.74
1761813199,461212.08,1.976212E+07,494050.91,41100.01,1.761000E+06,44024.81
1761813209,428708.98,2.404921E+07,480982.57,38200.00,2.143000E+06,42859.85
1761813219,480292.01,2.885213E+07,480867.48,42800.00,2.571000E+06,42849.88
1761813229,546518.03,3.431731E+07,490246.10,48700.00,3.058000E+06,43685.61
1761813239,524081.97,3.955813E+07,494475.58,46700.00,3.525000E+06,44062.41
1761813249,519608.01,4.475421E+07,497268.07,46300.00,3.988000E+06,44311.03
1761813259,515099.99,4.990521E+07,499051.25,45900.00,4.447000E+06,44469.92
1761813269,529673.01,5.520194E+07,501835.05,47200.00,4.919000E+06,44718.11
1761813279,476936.97,5.997131E+07,499760.21,42500.00,5.344000E+06,44533.27
1761813289,484799.99,6.481931E+07,498609.43,43200.00,5.776000E+06,44430.71
1761813299,479208.03,6.961139E+07,497223.61,42700.00,6.203000E+06,44307.09
1761813309,534181.76,7.495321E+07,499687.49,47599.98,6.679000E+06,44526.62
1761813319,529673.22,8.024994E+07,501561.59,47200.02,7.151000E+06,44693.70
1761813329,525200.01,8.550194E+07,502952.09,46800.00,7.619000E+06,44817.60
1761813339,490427.01,9.040621E+07,502256.25,43700.00,8.056000E+06,44755.51
1761813349,444400.01,9.485021E+07,499211.19,39600.00,8.452000E+06,44484.17
1761813359,492660.99,9.977682E+07,498883.68,43900.00,8.891000E+06,44454.96
1761813369,527434.82,1.050512E+08,500243.27,46999.63,9.361000E+06,44576.14
1761813379,526321.85,1.103144E+08,501428.65,46900.34,9.830000E+06,44681.78
1761813389,528555.32,1.155999E+08,502608.06,47100.03,1.030100E+07,44786.92
1761813399,494900.01,1.205489E+08,502286.90,44100.00,1.074200E+07,44758.30
1761813409,466836.95,1.252173E+08,500868.90,41600.00,1.115800E+07,44631.97
1761813419,476969.02,1.299870E+08,499949.67,42500.00,1.158300E+07,44549.97
1761813429,540893.89,1.353959E+08,501466.13,48199.99,1.206500E+07,44685.16
1761813439,533062.12,1.407266E+08,502594.55,47500.01,1.254000E+07,44785.69
1761813449,530804.76,1.460346E+08,503567.32,47299.98,1.301300E+07,44872.39
1761813459,490413.24,1.509387E+08,503128.85,43700.02,1.345000E+07,44833.31
1761813469,475820.00,1.556969E+08,502247.92,42400.00,1.387400E+07,44754.81
1761813479,469105.99,1.603880E+08,501212.23,41800.00,1.429200E+07,44662.48
1761813489,533031.01,1.657183E+08,502176.44,47500.00,1.476700E+07,44748.46
1761813499,540925.70,1.711276E+08,503316.12,48199.97,1.524900E+07,44849.98
1761813509,518456.28,1.763121E+08,503748.70,46200.02,1.571100E+07,44888.55
1761813519,483681.00,1.811489E+08,503191.26,43100.00,1.614200E+07,44838.87
1761813529,490423.71,1.860532E+08,502846.19,43699.97,1.657900E+07,44808.09
1761813539,505003.06,1.911032E+08,502902.95,45000.01,1.702900E+07,44813.14
1761813549,538653.25,1.964897E+08,503819.63,48000.02,1.750900E+07,44894.85
1761813559,536420.00,2.018539E+08,504634.64,47800.00,1.798700E+07,44967.48
1761813569,510626.96,2.069602E+08,504780.79,45500.00,1.844200E+07,44980.47
1761813579,487036.03,2.118306E+08,504358.30,43400.00,1.887600E+07,44942.84
1761813589,482563.68,2.166562E+08,503851.45,42999.97,1.930600E+07,44897.66
1761813599,456736.28,2.212236E+08,502780.65,40700.02,1.971300E+07,44802.26
