Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761815643,490383.19,4.903930E+06,490383.19,43699.13,4.370000E+05,43699.13
1761815653,521845.72,1.012239E+07,506114.30,46499.98,9.020000E+05,45099.54
1761815663,510592.29,1.522831E+07,507606.96,45500.03,1.357000E+06,45233.03
1761815673,421962.99,1.944794E+07,486196.07,37600.00,1.733000E+06,43324.78
1761815683,453380.00,2.398174E+07,479632.88,40400.00,2.137000E+06,42739.83
1761815693,500525.74,2.898700E+07,483115.02,44599.98,2.583000E+06,43049.85
1761815703,522931.25,3.421631E+07,488803.03,46600.02,3.049000E+06,43557.02
1761815713,546527.02,3.968158E+07,496018.51,48700.00,3.536000E+06,44199.89
1761815723,535300.01,4.503458E+07,500383.11,47700.00,4.013000E+06,44588.79
1761815733,544281.98,5.047740E+07,504772.99,48500.00,4.498000E+06,44979.91
1761815743,518481.00,5.566221E+07,506019.17,46200.00,4.960000E+06,45090.83
1761815753,469073.01,6.035294E+07,502940.33,41800.00,5.378000E+06,44816.59
1761815763,465719.00,6.501013E+07,500077.15,41500.00,5.793000E+06,44561.47
1761815773,520726.00,7.021739E+07,501552.07,46400.00,6.257000E+06,44692.79
1761815783,539774.02,7.561513E+07,504100.20,48100.00,6.738000E+06,44919.94
