Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761816865,479172.34,4.791740E+06,479172.34,42699.85,4.270000E+05,42699.85
1761816875,497138.99,9.763130E+06,488155.65,44300.00,8.700000E+05,43499.92
1761816885,488186.92,1.464500E+07,488166.07,43499.99,1.305000E+06,43499.95
1761816895,454500.09,1.919000E+07,479749.58,40500.01,1.710000E+06,42749.96
1761816905,451112.98,2.370113E+07,474022.27,40200.00,2.112000E+06,42239.97
1761816915,508388.67,2.878502E+07,479750.00,45299.97,2.565000E+06,42749.97
1761816925,492625.17,3.371131E+07,481589.32,43899.66,3.004000E+06,42914.21
1761816935,537573.52,3.908700E+07,488587.29,47900.40,3.483000E+06,43537.48
1761816945,536418.04,4.445118E+07,493901.81,47800.00,3.961000E+06,44011.09
1761816955,501612.71,4.946731E+07,494672.90,44699.97,4.408000E+06,44079.98
1761816965,473582.28,5.420313E+07,492755.57,42200.02,4.830000E+06,43909.08
1761816975,457886.86,5.878200E+07,489849.85,40799.99,5.238000E+06,43649.99
1761816985,490396.15,6.368596E+07,489891.87,43700.01,5.675000E+06,43653.83
1761816995,522960.99,6.891557E+07,492253.95,46600.00,6.141000E+06,43864.27
1761817005,531942.98,7.423500E+07,494899.88,47400.00,6.615000E+06,44099.99
1761817015,507239.01,7.930739E+07,495671.08,45200.00,7.067000E+06,44168.74
1761817025,460092.02,8.390831E+07,493578.19,41000.00,7.477000E+06,43982.34
1761817035,476968.98,8.867800E+07,492655.46,42500.00,7.902000E+06,43899.99
1761817045,498257.02,9.366057E+07,492950.28,44400.00,8.346000E+06,43926.31
1761817055,522963.99,9.889021E+07,494450.96,46600.00,8.812000E+06,44059.99
1761817065,538652.97,1.042767E+08,496555.82,48000.00,9.292000E+06,44247.61
1761817075,513982.03,1.094166E+08,497347.92,45800.00,9.750000E+06,44318.17
1761817085,461243.98,1.140290E+08,495778.19,41100.00,1.016100E+07,44178.25
1761817095,464578.78,1.186748E+08,494478.21,41399.98,1.057500E+07,44062.49
1761817105,493779.25,1.236126E+08,494450.25,44000.02,1.101500E+07,44059.99
1761817115,511735.96,1.287299E+08,495115.09,45600.00,1.147100E+07,44119.22
1761817125,536418.04,1.340941E+08,496644.83,47800.00,1.194900E+07,44255.55
1761817135,516218.99,1.392563E+08,497343.90,46000.00,1.240900E+07,44317.85
1761817145,465727.01,1.439136E+08,496253.66,41500.00,1.282400E+07,44220.68
1761817155,471335.99,1.486269E+08,495423.08,42000.00,1.324400E+07,44146.66
1761817165,478063.98,1.534076E+08,494863.10,42600.00,1.367000E+07,44096.77
1761817175,534173.03,1.587493E+08,496091.54,47600.00,1.414600E+07,44206.25
1761817185,515100.01,1.639003E+08,496667.55,45900.00,1.460500E+07,44257.57
1761817195,515100.01,1.690513E+08,497209.68,45900.00,1.506400E+07,44305.88
1761817205,475826.99,1.738096E+08,496598.75,42400.00,1.548800E+07,44251.42
1761817215,474699.99,1.785566E+08,495990.45,42300.00,1.591100E+07,44197.22
1761817225,469098.01,1.832476E+08,495263.63,41800.00,1.632900E+07,44132.43
1761817235,518456.99,1.884321E+08,495873.98,46200.00,1.679100E+07,44186.84
1761817245,539808.03,1.938302E+08,497000.49,48100.00,1.727200E+07,44287.18
1761817255,521809.73,1.990483E+08,497620.73,46499.98,1.773700E+07,44342.50
1761817265,475851.22,2.038068E+08,497089.76,42400.02,1.816100E+07,44295.12
1761817275,479175.00,2.085986E+08,496663.22,42700.00,1.858800E+07,44257.14
1761817285,517337.00,2.137719E+08,497144.01,46100.00,1.904900E+07,44300.00
1761817295,536419.00,2.191361E+08,498036.62,47800.00,1.952700E+07,44379.54
1761817305,508383.30,2.242200E+08,498266.55,45299.67,1.998000E+07,44399.99
1761817315,533043.91,2.295504E+08,499022.57,47500.35,2.045500E+07,44467.39
1761817325,455617.99,2.341066E+08,498099.07,40600.00,2.086100E+07,44385.10
1761817335,475841.99,2.388650E+08,497635.38,42400.00,2.128500E+07,44343.75
1761817345,475821.00,2.436232E+08,497190.19,42400.00,2.170900E+07,44304.08
1761817355,469072.00,2.483139E+08,496627.83,41800.00,2.212700E+07,44254.00
1761817365,475820.02,2.530721E+08,496219.83,42400.00,2.255100E+07,44217.64
1761817375,496017.96,2.580323E+08,496215.95,44200.00,2.299300E+07,44217.30
1761817385,513981.80,2.631721E+08,496551.15,45799.98,2.345100E+07,44247.17
1761817395,521844.25,2.683906E+08,497019.54,46500.02,2.391600E+07,44288.89
1761817405,511742.96,2.735080E+08,497287.24,45600.00,2.437200E+07,44312.72
1761817415,521813.01,2.787261E+08,497725.20,46500.00,2.483700E+07,44351.78
1761817425,526318.02,2.839893E+08,498226.83,46900.00,2.530600E+07,44396.49
