Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761818077,454498.28,4.545000E+06,454498.28,40499.85,4.050000E+05,40499.85
1761818087,505000.04,9.595000E+06,479749.11,45000.00,8.550000E+05,42749.92
1761818097,454500.00,1.414000E+07,471332.75,40500.00,1.260000E+06,41999.95
1761818107,494899.69,1.908900E+07,477224.48,44099.97,1.701000E+06,42524.95
1761818117,502731.31,2.411631E+07,482325.84,44800.03,2.149000E+06,42979.97
1761818127,499408.02,2.911039E+07,485172.87,44500.00,2.594000E+06,43233.31
1761818137,497134.98,3.408174E+07,486881.74,44300.00,3.037000E+06,43385.69
1761818147,573464.99,3.981639E+07,497704.64,51100.00,3.548000E+06,44349.98
1761818157,470192.02,4.451831E+07,494647.69,41900.00,3.967000E+06,44077.76
1761818167,459008.00,4.910839E+07,491083.72,40900.00,4.376000E+06,43759.98
1761818177,501618.99,5.412458E+07,492041.47,44700.00,4.823000E+06,43845.44
1761818187,531935.98,5.944394E+07,495366.01,47400.00,5.297000E+06,44141.65
1761818197,512862.01,6.457256E+07,496711.86,45700.00,5.754000E+06,44261.53
1761818207,539775.03,6.997031E+07,499787.80,48100.00,6.235000E+06,44535.70
1761818217,465726.98,7.462758E+07,497517.08,41500.00,6.650000E+06,44333.32
1761818227,462355.00,7.925113E+07,495319.45,41200.00,7.062000E+06,44137.49
1761818237,496018.00,8.421131E+07,495360.54,44200.00,7.504000E+06,44141.17
1761818247,525209.00,8.946340E+07,497018.79,46800.00,7.972000E+06,44288.88
1761818257,501636.98,9.447977E+07,497261.85,44700.00,8.419000E+06,44310.52
1761818267,544280.02,9.992257E+07,499612.76,48500.00,8.904000E+06,44519.99
1761818277,480301.01,1.047256E+08,498693.15,42800.00,9.332000E+06,44438.09
1761818287,470216.02,1.094277E+08,497398.74,41900.00,9.751000E+06,44322.72
1761818297,467956.99,1.141073E+08,496118.66,41700.00,1.016800E+07,44208.69
1761818307,521842.71,1.193257E+08,497190.50,46499.97,1.063300E+07,44304.16
1761818317,546520.30,1.247909E+08,499163.69,48700.03,1.112000E+07,44479.99
1761818327,525200.00,1.300429E+08,500165.08,46800.00,1.158800E+07,44569.22
1761818337,474699.81,1.347899E+08,499221.92,42299.98,1.201100E+07,44485.18
1761818347,491545.19,1.397054E+08,498947.76,43800.02,1.244900E+07,44460.71
1761818357,487034.99,1.445757E+08,498536.97,43400.00,1.288300E+07,44424.13
1761818367,519583.74,1.497716E+08,499238.53,46299.98,1.334600E+07,44486.66
1761818377,517363.27,1.549452E+08,499823.20,46100.02,1.380700E+07,44538.70
1761818387,540892.01,1.603541E+08,501106.60,48200.00,1.428900E+07,44653.12
1761818397,485917.96,1.652133E+08,500646.34,43300.00,1.472200E+07,44612.12
1761818407,462363.01,1.698369E+08,499520.36,41200.00,1.513400E+07,44511.76
1761818417,466836.99,1.745053E+08,498586.55,41600.00,1.555000E+07,44428.57
1761818427,518490.01,1.796902E+08,499139.42,46200.00,1.601200E+07,44477.77
1761818437,533037.02,1.850206E+08,500055.57,47500.00,1.648700E+07,44559.45
1761818447,511735.98,1.901379E+08,500362.95,45600.00,1.694300E+07,44586.84
1761818457,467964.03,1.948176E+08,499532.21,41700.00,1.736000E+07,44512.82
1761818467,482554.00,1.996431E+08,499107.75,43000.00,1.779000E+07,44475.00
1761818477,510626.96,2.047494E+08,499388.71,45500.00,1.824500E+07,44500.00
1761818487,521819.04,2.099676E+08,499922.77,46500.00,1.871000E+07,44547.62
1761818497,518480.97,2.151524E+08,500354.35,46200.00,1.917200E+07,44586.04
1761818507,534181.97,2.204942E+08,501123.16,47600.00,1.964800E+07,44654.54
1761818517,454500.02,2.250392E+08,500087.09,40500.00,2.005300E+07,44562.22
1761818527,466836.02,2.297076E+08,499364.24,41600.00,2.046900E+07,44497.82
1761818537,510600.98,2.348136E+08,499603.32,45500.00,2.092400E+07,44519.15
1761818547,460115.97,2.394147E+08,498780.67,41000.00,2.133400E+07,44445.83
1761818557,473582.02,2.441506E+08,498266.41,42200.00,2.175600E+07,44400.00
1761818567,511744.02,2.492680E+08,498535.96,45600.00,2.221200E+07,44424.00
1761818577,503858.00,2.543066E+08,498640.32,44900.00,2.266100E+07,44433.33
1761818587,516242.00,2.594690E+08,498978.81,46000.00,2.312100E+07,44463.46
1761818597,528556.98,2.647546E+08,499536.89,47100.00,2.359200E+07,44513.20
1761818607,521842.91,2.699730E+08,499949.96,46499.99,2.405700E+07,44550.00
1761818617,513958.08,2.751126E+08,500204.66,45800.01,2.451500E+07,44572.72
1761818627,535300.04,2.804656E+08,500831.36,47700.00,2.499200E+07,44628.57
1761818637,462354.96,2.850891E+08,500156.34,41200.00,2.540400E+07,44568.42
1761818647,454500.03,2.896341E+08,499369.16,40500.00,2.580900E+07,44498.27
1761818657,499407.98,2.946282E+08,499369.82,44500.00,2.625400E+07,44498.30
1761818667,473579.01,2.993640E+08,498939.97,42200.00,2.667600E+07,44460.00
1761818677,479173.99,3.041557E+08,498615.94,42700.00,2.710300E+07,44431.14
1761818687,489299.01,3.090487E+08,498465.66,43600.00,2.753900E+07,44417.74
1761818697,524057.98,3.142893E+08,498871.89,46700.00,2.800600E+07,44453.97
1761818707,506127.01,3.193506E+08,498985.25,45100.00,2.845700E+07,44464.06
1761818717,521835.99,3.245689E+08,499336.80,46500.00,2.892200E+07,44495.38
1761818727,531945.01,3.298884E+08,499830.87,47400.00,2.939600E+07,44539.39
1761818737,522960.97,3.351180E+08,500176.09,46600.00,2.986200E+07,44570.15
1761818747,526321.02,3.403812E+08,500560.58,46900.00,3.033100E+07,44604.41
1761818757,469072.99,3.450719E+08,500104.23,41800.00,3.074900E+07,44563.77
1761818767,482563.00,3.498976E+08,499853.64,43000.00,3.117900E+07,44541.43
1761818777,502764.01,3.549252E+08,499894.64,44800.00,3.162700E+07,44545.07
1761818787,461210.01,3.595373E+08,499357.35,41100.00,3.203800E+07,44497.22
1761818797,511743.00,3.646547E+08,499527.02,45600.00,3.249400E+07,44512.33
1761818807,530804.20,3.699628E+08,499949.68,47299.93,3.296700E+07,44550.00
1761818817,444421.66,3.744070E+08,499209.31,39600.06,3.336300E+07,44484.00
1761818827,496021.01,3.793672E+08,499167.36,44200.00,3.380500E+07,44480.26
1761818837,528552.98,3.846527E+08,499548.99,47100.00,3.427600E+07,44514.28
1761818847,499384.02,3.896466E+08,499546.87,44500.00,3.472100E+07,44514.10
1761818857,526317.95,3.949098E+08,499885.75,46900.00,3.519000E+07,44544.30
1761818867,539798.06,4.003077E+08,500384.65,48100.00,3.567100E+07,44588.75
1761818877,488157.00,4.051893E+08,500233.69,43500.00,3.610600E+07,44575.31
1761818887,496026.99,4.101496E+08,500182.39,44200.00,3.654800E+07,44570.73
1761818897,485941.97,4.150090E+08,500010.82,43300.00,3.698100E+07,44555.42
1761818907,467957.01,4.196886E+08,499629.23,41700.00,3.739800E+07,44521.43
1761818917,489273.97,4.245813E+08,499507.40,43600.00,3.783400E+07,44510.59
1761818927,520726.05,4.297886E+08,499754.13,46400.00,3.829800E+07,44532.56
1761818937,482563.99,4.346142E+08,499556.54,43000.00,3.872800E+07,44514.94
1761818947,474700.01,4.393612E+08,499274.08,42300.00,3.915100E+07,44489.77
1761818957,527434.97,4.446356E+08,499590.50,47000.00,3.962100E+07,44517.98
1761818967,525201.01,4.498876E+08,499875.06,46800.00,4.008900E+07,44543.33
1761818977,501643.01,4.549040E+08,499894.49,44700.00,4.053600E+07,44545.05
1761818987,536421.01,4.602682E+08,500291.51,47800.00,4.101400E+07,44580.43
1761818997,497135.77,4.652396E+08,500257.58,44299.98,4.145700E+07,44577.42
1761819007,451143.20,4.697510E+08,499735.09,40200.02,4.185900E+07,44530.85
1761819017,462330.99,4.743743E+08,499341.36,41200.00,4.227100E+07,44495.79
1761819027,481443.02,4.791887E+08,499154.92,42900.00,4.270000E+07,44479.16
1761819037,467956.99,4.838683E+08,498833.29,41700.00,4.311700E+07,44450.51
1761819047,519607.77,4.890644E+08,499045.27,46299.98,4.358000E+07,44469.39
1761819057,493782.23,4.940022E+08,498992.11,44000.02,4.402000E+07,44464.64
1761819067,517335.98,4.991756E+08,499175.55,46100.00,4.448100E+07,44481.00
1761819077,527437.02,5.044499E+08,499455.37,47000.00,4.495100E+07,44505.94
1761819087,528563.99,5.097356E+08,499740.75,47100.00,4.542200E+07,44531.37
1761819097,518481.00,5.149204E+08,499922.69,46200.00,4.588400E+07,44547.57
1761819107,515100.00,5.200714E+08,500068.63,45900.00,4.634300E+07,44560.58

Summary:
loaded 523584000 metrics in 1047.002sec with 8 workers (mean rate 500079.18 metrics/sec)
loaded 46656000 rows in 1047.002sec with 8 workers (mean rate 44561.51 rows/sec)
