Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761819299,482528.85,4.825310E+06,482528.85,42999.81,4.300000E+05,42999.81
1761819309,492663.02,9.751940E+06,487595.92,43900.00,8.690000E+05,43449.90
1761819319,485918.76,1.461113E+07,487036.87,43299.98,1.302000E+06,43399.93
1761819329,426445.17,1.887558E+07,471888.97,38000.01,1.682000E+06,42049.95
1761819339,454500.04,2.342058E+07,468411.18,40500.00,2.087000E+06,41739.96
1761819349,497163.02,2.839221E+07,473203.15,44300.00,2.530000E+06,42166.64
1761819359,512836.75,3.352058E+07,478865.09,45699.98,2.987000E+06,42671.40
1761819369,530819.25,3.882877E+07,485359.36,47300.02,3.460000E+06,43249.98
1761819379,526317.02,4.409194E+07,489910.21,46900.00,3.929000E+06,43655.53
1761819389,501645.00,4.910839E+07,491083.68,44700.00,4.376000E+06,43759.98
1761819399,501618.99,5.412458E+07,492041.44,44700.00,4.823000E+06,43845.44
1761819409,474699.99,5.887158E+07,490596.32,42300.00,5.246000E+06,43716.65
1761819419,462355.02,6.349513E+07,488423.91,41200.00,5.658000E+06,43523.06
1761819429,521843.99,6.871357E+07,490811.06,46500.00,6.123000E+06,43735.70
1761819439,537536.97,7.408894E+07,493926.12,47900.00,6.602000E+06,44013.32
1761819449,522963.03,7.931857E+07,495740.93,46600.00,7.068000E+06,44174.99
1761819459,487035.76,8.418893E+07,495228.86,43399.98,7.502000E+06,44129.40
1761819469,489286.22,8.908179E+07,494898.71,43600.02,7.938000E+06,44099.99
1761819479,469097.01,9.377276E+07,493540.73,41800.00,8.356000E+06,43978.94
1761819489,525197.99,9.902474E+07,495123.59,46800.00,8.824000E+06,44119.99
