Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761821744,503852.86,5.038580E+06,503852.86,44899.54,4.490000E+05,44899.54
1761821754,519599.01,1.023457E+07,511725.89,46300.00,9.120000E+05,45599.77
1761821764,517336.01,1.540793E+07,513595.93,46100.00,1.373000E+06,45766.51
1761821774,473583.97,2.014377E+07,503592.96,42200.00,1.795000E+06,44874.89
1761821784,501644.03,2.516021E+07,503203.18,44700.00,2.242000E+06,44839.91
1761821794,535300.00,3.051321E+07,508552.64,47700.00,2.719000E+06,45316.59
1761821804,540892.02,3.592213E+07,513172.54,48200.00,3.201000E+06,45728.51
1761821814,539808.00,4.132021E+07,516501.97,48100.00,3.682000E+06,46024.94
1761821824,536418.00,4.668439E+07,518714.86,47800.00,4.160000E+06,46222.17
1761821834,530800.99,5.199240E+07,519923.47,47300.00,4.633000E+06,46329.95
1761821844,533053.99,5.732294E+07,521117.15,47500.00,5.108000E+06,46436.32
1761821854,520727.02,6.253021E+07,521084.64,46400.00,5.572000E+06,46433.29
1761821864,526317.99,6.779339E+07,521487.21,46900.00,6.041000E+06,46469.19
1761821874,548754.00,7.328093E+07,523434.83,48900.00,6.530000E+06,46642.82
1761821884,544283.99,7.872377E+07,524824.78,48500.00,7.015000E+06,46766.63
1761821894,528563.00,8.400940E+07,525058.42,47100.00,7.486000E+06,46787.47
1761821904,540916.00,8.941856E+07,525991.21,48200.00,7.968000E+06,46870.56
1761821914,526318.00,9.468174E+07,526009.37,46900.00,8.437000E+06,46872.20
1761821924,535300.00,1.000347E+08,526498.35,47700.00,8.914000E+06,46915.76
1761821934,516220.01,1.051969E+08,525984.43,46000.00,9.374000E+06,46869.98
1761821944,542044.87,1.106174E+08,526749.22,48299.99,9.857000E+06,46938.07
1761821954,546518.12,1.160826E+08,527647.80,48700.01,1.034400E+07,47018.16
1761821964,508356.00,1.211661E+08,526809.03,45300.00,1.079700E+07,46943.46
1761821974,536418.00,1.265303E+08,527209.40,47800.00,1.127500E+07,46979.15
1761821984,519608.00,1.317264E+08,526905.35,46300.00,1.173800E+07,46951.98
1761821994,529674.02,1.370231E+08,527011.83,47200.00,1.221000E+07,46961.52
1761822004,546517.88,1.424883E+08,527734.28,48699.99,1.269700E+07,47025.91
1761822014,565600.10,1.481443E+08,529086.63,50400.01,1.320100E+07,47146.41
1761822024,528589.95,1.534302E+08,529069.50,47100.00,1.367200E+07,47144.81
1761822034,540892.00,1.588391E+08,529463.59,48200.00,1.415400E+07,47179.98
1761822044,528587.05,1.641250E+08,529435.31,47100.00,1.462500E+07,47177.40
1761822054,534158.00,1.694666E+08,529582.89,47600.00,1.510100E+07,47190.61
1761822064,546541.99,1.749320E+08,530096.81,48700.00,1.558800E+07,47236.35
1761822074,534157.98,1.802736E+08,530216.25,47600.00,1.606400E+07,47247.04
1761822084,516242.01,1.854360E+08,529816.99,46000.00,1.652400E+07,47211.41
1761822094,513957.97,1.905756E+08,529376.46,45800.00,1.698200E+07,47172.21
1761822104,531936.04,1.958949E+08,529445.64,47400.00,1.745600E+07,47178.37
1761822114,551026.71,2.014052E+08,530013.56,49099.97,1.794700E+07,47228.93
1761822124,511710.27,2.065223E+08,529544.25,45600.02,1.840300E+07,47187.17
