Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761832200,492628.95,4.926310E+06,492628.95,43899.82,4.390000E+05,43899.82
1761832210,506127.03,9.987580E+06,499377.98,45100.00,8.900000E+05,44499.91
1761832220,510618.98,1.509377E+07,503124.97,45500.00,1.345000E+06,44833.27
1761832230,489275.01,1.998652E+07,499662.49,43600.00,1.781000E+06,44524.95
1761832240,478087.00,2.476739E+07,495347.39,42600.00,2.207000E+06,44139.96
1761832250,512860.99,2.989600E+07,498266.32,45700.00,2.664000E+06,44399.97
1761832260,520693.76,3.510294E+07,501470.24,46399.98,3.128000E+06,44685.68
1761832270,538664.24,4.048958E+07,506119.49,48000.02,3.608000E+06,45099.98
1761832280,535300.00,4.584258E+07,509361.76,47700.00,4.085000E+06,45388.87
1761832290,513973.01,5.098231E+07,509822.89,45800.00,4.543000E+06,45429.98
1761832300,545400.01,5.643631E+07,513057.17,48600.00,5.029000E+06,45718.16
1761832310,528590.00,6.172221E+07,514351.57,47100.00,5.500000E+06,45833.32
1761832320,503872.73,6.676094E+07,513545.51,44899.98,5.949000E+06,45761.52
1761832330,519580.24,7.195674E+07,513976.56,46300.02,6.412000E+06,45799.99
1761832340,520725.99,7.716400E+07,514426.52,46400.00,6.876000E+06,45839.99
1761832350,521812.05,8.238212E+07,514888.12,46500.00,7.341000E+06,45881.24
1761832360,527445.98,8.765658E+07,515626.81,47000.00,7.811000E+06,45947.05
1761832370,508381.02,9.274039E+07,515224.27,45300.00,8.264000E+06,45911.10
1761832380,515099.99,9.789139E+07,515217.73,45900.00,8.723000E+06,45910.52
1761832390,521819.01,1.031096E+08,515547.79,46500.00,9.188000E+06,45939.99
1761832400,539798.99,1.085076E+08,516702.61,48100.00,9.669000E+06,46042.85
1761832410,521843.01,1.137260E+08,516936.27,46500.00,1.013400E+07,46063.63
1761832420,528556.74,1.190116E+08,517441.50,47099.98,1.060500E+07,46108.69
1761832430,535302.23,1.243646E+08,518185.70,47700.02,1.108200E+07,46174.99
1761832440,500499.03,1.293696E+08,517478.23,44600.00,1.152800E+07,46111.99
1761832450,530818.99,1.346778E+08,517991.34,47300.00,1.200100E+07,46157.68
1761832460,525196.99,1.399297E+08,518258.22,46800.00,1.246900E+07,46181.47
1761832470,527438.70,1.452041E+08,518586.09,46999.97,1.293900E+07,46210.71
1761832480,519605.32,1.504002E+08,518621.24,46300.03,1.340200E+07,46213.79
1761832490,544281.72,1.558430E+08,519476.59,48499.98,1.388700E+07,46289.99
1761832500,516221.14,1.610052E+08,519371.57,46000.01,1.434700E+07,46280.64
1761832510,509472.90,1.660999E+08,519062.24,45399.99,1.480100E+07,46253.12
1761832520,534180.24,1.714417E+08,519520.36,47600.02,1.527700E+07,46293.93
1761832530,533065.00,1.767724E+08,519918.73,47500.00,1.575200E+07,46329.41
