Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761822912,500486.57,5.004940E+06,500486.57,44599.34,4.460000E+05,44599.34
1761822922,510627.01,1.011121E+07,505556.75,45500.00,9.010000E+05,45049.67
1761822932,513978.86,1.525100E+07,508364.11,45799.99,1.359000E+06,45299.77
1761822942,478059.12,2.003159E+07,500787.89,42600.01,1.785000E+06,44624.83
1761822952,517335.02,2.520494E+07,504097.31,46100.00,2.246000E+06,44919.87
1761822962,521844.96,3.042339E+07,507055.24,46500.00,2.711000E+06,45183.22
1761822972,538655.03,3.580994E+07,511569.49,48000.00,3.191000E+06,45585.62
1761822982,554380.00,4.135374E+07,516920.79,49400.00,3.685000E+06,46062.41
1761822992,526320.00,4.661694E+07,517965.14,46900.00,4.154000E+06,46155.48
1761823002,538664.02,5.200358E+07,520035.03,48000.00,4.634000E+06,46339.93
1761823012,534172.98,5.734531E+07,521320.30,47600.00,5.110000E+06,46454.48
1761823022,522963.02,6.257494E+07,521457.19,46600.00,5.576000E+06,46466.61
1761823032,534179.99,6.791674E+07,522435.86,47600.00,6.052000E+06,46553.79
1761823042,544283.00,7.335957E+07,523996.37,48500.00,6.537000E+06,46692.81
1761823052,548756.00,7.884713E+07,525647.01,48900.00,7.026000E+06,46839.95
1761823062,529707.70,8.414421E+07,525900.81,47199.97,7.498000E+06,46862.45
1761823072,547636.30,8.962057E+07,527179.36,48800.03,7.986000E+06,46976.43
1761823082,521843.00,9.483900E+07,526882.90,46500.00,8.451000E+06,46949.96
1761823092,531913.01,1.001581E+08,527147.64,47400.00,8.925000E+06,46973.65
1761823102,558886.99,1.057470E+08,528734.61,49800.00,9.423000E+06,47114.97
1761823112,552112.99,1.112681E+08,529847.86,49200.00,9.915000E+06,47214.25
1761823122,545399.03,1.167221E+08,530554.73,48600.00,1.040100E+07,47277.24
1761823132,536427.99,1.220864E+08,530810.09,47800.00,1.087900E+07,47299.97
1761823142,546517.99,1.275516E+08,531464.59,48700.00,1.136600E+07,47358.30
1761823152,535300.01,1.329046E+08,531618.00,47700.00,1.184300E+07,47371.97
1761823162,529699.02,1.382016E+08,531544.20,47200.00,1.231500E+07,47365.36
1761823172,535299.75,1.435546E+08,531683.29,47699.98,1.279200E+07,47377.75
1761823182,548756.24,1.490421E+08,532293.04,48900.02,1.328100E+07,47432.12
1761823192,524081.01,1.542829E+08,532009.87,46700.00,1.374800E+07,47406.87
1761823202,529705.99,1.595800E+08,531933.07,47200.00,1.422000E+07,47399.98
1761823212,521812.99,1.647981E+08,531606.62,46500.00,1.468500E+07,47370.95
1761823222,544281.01,1.702409E+08,532002.69,48500.00,1.517000E+07,47406.23
1761823232,551026.62,1.757512E+08,532579.17,49099.97,1.566100E+07,47457.55
1761823242,540892.33,1.811601E+08,532823.68,48200.03,1.614300E+07,47479.39
1761823252,528587.04,1.864460E+08,532702.63,47100.00,1.661400E+07,47468.55
1761823262,509473.99,1.915407E+08,532057.39,45400.00,1.706800E+07,47411.09
1761823272,540926.02,1.969500E+08,532297.08,48200.00,1.755000E+07,47432.41
1761823282,518457.01,2.021346E+08,531932.87,46200.00,1.801200E+07,47399.98
1761823292,545399.97,2.075886E+08,532278.18,48600.00,1.849800E+07,47430.75
1761823302,545400.01,2.130426E+08,532606.23,48600.00,1.898400E+07,47459.98
1761823312,527437.02,2.183169E+08,532480.15,47000.00,1.945400E+07,47448.76
1761823322,518463.99,2.235016E+08,532146.43,46200.00,1.991600E+07,47419.03
1761823332,529699.01,2.287986E+08,532089.51,47200.00,2.038800E+07,47413.94
1761823342,546516.99,2.342637E+08,532417.41,48700.00,2.087500E+07,47443.17
1761823352,521847.00,2.394822E+08,532182.51,46500.00,2.134000E+07,47422.21
1761823362,552110.03,2.450033E+08,532615.72,49200.00,2.183200E+07,47460.85
1761823372,513980.97,2.501431E+08,532219.24,45800.00,2.229000E+07,47425.52
1761823382,536418.99,2.555073E+08,532306.73,47800.00,2.276800E+07,47433.32
1761823392,538690.01,2.608942E+08,532437.00,48000.00,2.324800E+07,47444.88
1761823402,555500.02,2.664492E+08,532898.26,49500.00,2.374300E+07,47485.99
1761823412,530791.97,2.717571E+08,532856.96,47300.00,2.421600E+07,47482.34
1761823422,538687.02,2.771440E+08,532969.08,48000.00,2.469600E+07,47492.29
1761823432,544273.00,2.825867E+08,533182.36,48500.00,2.518100E+07,47511.31
1761823442,516226.96,2.877490E+08,532868.37,46000.00,2.564100E+07,47483.32
1761823452,544258.04,2.931916E+08,533075.46,48500.00,2.612600E+07,47501.81
1761823462,527463.00,2.984662E+08,532975.23,47000.00,2.659600E+07,47492.84
1761823472,539772.99,3.038639E+08,533094.49,48100.00,2.707700E+07,47503.50
1761823482,538679.01,3.092507E+08,533190.78,48000.00,2.755700E+07,47512.06
1761823492,530801.04,3.145587E+08,533150.27,47300.00,2.803000E+07,47508.46
1761823502,530825.97,3.198670E+08,533111.53,47300.00,2.850300E+07,47504.99
1761823512,543139.99,3.252984E+08,533275.94,48400.00,2.898700E+07,47519.66
1761823522,533052.03,3.306289E+08,533272.32,47500.00,2.946200E+07,47519.34
1761823532,549907.99,3.361280E+08,533536.38,49000.00,2.995200E+07,47542.85
1761823542,549874.00,3.416267E+08,533791.66,49000.00,3.044200E+07,47565.61
1761823552,508357.00,3.467103E+08,533400.36,45300.00,3.089500E+07,47530.76
1761823562,556627.01,3.522766E+08,533752.27,49600.00,3.139100E+07,47562.11
1761823572,542035.98,3.576969E+08,533875.91,48300.00,3.187400E+07,47573.12
1761823582,526318.99,3.629601E+08,533764.78,46900.00,3.234300E+07,47563.22
1761823592,534180.98,3.683019E+08,533770.81,47600.00,3.281900E+07,47563.76
