Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761824056,501594.08,5.016130E+06,501594.08,44698.31,4.470000E+05,44698.31
1761824066,518487.00,1.020100E+07,510040.38,46200.00,9.090000E+05,45449.14
1761824076,507238.98,1.527339E+07,509106.59,45200.00,1.361000E+06,45366.10
1761824086,499374.00,2.026713E+07,506673.47,44500.00,1.806000E+06,45149.57
1761824096,508387.01,2.535100E+07,507016.17,45300.00,2.259000E+06,45179.66
1761824106,506117.97,3.041218E+07,506866.47,45100.00,2.710000E+06,45166.38
1761824116,508356.00,3.549574E+07,507079.26,45300.00,3.163000E+06,45185.47
1761824126,538656.77,4.088231E+07,511026.43,47999.98,3.643000E+06,45537.28
1761824136,518490.26,4.606721E+07,511855.74,46200.02,4.105000E+06,45610.92
1761824146,535299.98,5.142021E+07,514200.16,47700.00,4.582000E+06,45819.83
1761824156,530790.74,5.672812E+07,515708.39,47299.98,5.055000E+06,45954.39
1761824166,538688.26,6.211500E+07,517623.37,48000.02,5.535000E+06,46124.85
1761824176,539774.00,6.751274E+07,519327.26,48100.00,6.016000E+06,46276.79
1761824186,521843.98,7.273118E+07,519507.03,46500.00,6.481000E+06,46292.73
1761824196,534182.04,7.807300E+07,520485.36,47600.00,6.957000E+06,46379.88
1761824206,518456.01,8.325756E+07,520358.52,46200.00,7.419000E+06,46368.64
1761824216,515100.99,8.840857E+07,520049.26,45900.00,7.878000E+06,46341.07
1761824226,549874.00,9.390731E+07,521706.18,49000.00,8.368000E+06,46488.79
1761824236,537568.98,9.928300E+07,522541.07,47900.00,8.847000E+06,46563.07
1761824246,525199.99,1.045350E+08,522674.01,46800.00,9.315000E+06,46574.91
