Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761825208,503856.13,5.038580E+06,503856.13,44899.83,4.490000E+05,44899.83
1761825218,518480.99,1.022339E+07,511168.55,46200.00,9.110000E+05,45549.92
1761825228,522961.02,1.545300E+07,515099.37,46600.00,1.377000E+06,45899.94
1761825238,500493.99,2.045794E+07,511448.03,44600.00,1.823000E+06,45574.96
1761825248,516218.97,2.562013E+07,512402.21,46000.00,2.283000E+06,45659.97
1761825258,509507.99,3.071521E+07,511919.84,45400.00,2.737000E+06,45616.64
1761825268,530792.04,3.602313E+07,514615.87,47300.00,3.210000E+06,45857.12
1761825278,557744.97,4.160058E+07,520007.01,49700.00,3.707000E+06,46337.48
1761825288,530816.01,4.690874E+07,521208.01,47300.00,4.180000E+06,46444.43
1761825298,517338.72,5.208213E+07,520821.08,46099.97,4.641000E+06,46409.98
1761825308,526318.30,5.734531E+07,521320.82,46900.03,5.110000E+06,46454.53
1761825318,554382.00,6.288913E+07,524075.92,49400.00,5.604000E+06,46699.99
1761825328,531943.99,6.820857E+07,524681.16,47400.00,6.078000E+06,46753.83
1761825338,549874.01,7.370731E+07,526480.65,49000.00,6.568000E+06,46914.27
1761825348,551026.01,7.921757E+07,528117.00,49100.00,7.059000E+06,47059.99
1761825358,502763.96,8.424521E+07,526532.44,44800.00,7.507000E+06,46918.74
1761825368,545400.06,8.969921E+07,527642.30,48600.01,7.993000E+06,47017.64
1761825378,535299.99,9.505221E+07,528067.72,47700.00,8.470000E+06,47055.55
1761825388,539772.72,1.004499E+08,528683.78,48099.98,8.951000E+06,47110.52
1761825398,539806.28,1.058480E+08,529239.90,48100.02,9.432000E+06,47159.99
1761825408,552112.97,1.113691E+08,530329.10,49200.00,9.924000E+06,47257.13
1761825418,529708.02,1.166662E+08,530300.87,47200.00,1.039600E+07,47254.54
1761825428,510590.83,1.217721E+08,529443.91,45499.90,1.085100E+07,47178.25
1761825438,556619.27,1.273383E+08,530576.21,49600.11,1.134700E+07,47279.16
1761825448,536426.98,1.327026E+08,530810.24,47800.00,1.182500E+07,47299.99
1761825458,540916.05,1.381117E+08,531198.92,48200.00,1.230700E+07,47334.61
1761825468,535299.97,1.434647E+08,531350.82,47700.00,1.278400E+07,47348.14
1761825478,540902.01,1.488738E+08,531691.93,48200.00,1.326600E+07,47378.57
1761825488,522954.98,1.541033E+08,531390.66,46600.00,1.373200E+07,47351.72
1761825498,535300.00,1.594563E+08,531520.97,47700.00,1.420900E+07,47363.33
1761825508,546527.01,1.649216E+08,532005.03,48700.00,1.469600E+07,47406.45
1761825518,535300.00,1.702746E+08,532108.00,47700.00,1.517300E+07,47415.62
1761825528,551015.97,1.757847E+08,532680.97,49100.00,1.566400E+07,47466.66
1761825538,526318.85,1.810479E+08,532493.85,46899.99,1.613300E+07,47449.99
1761825548,542046.18,1.864684E+08,532766.77,48300.02,1.661600E+07,47474.28
