Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761826363,497137.14,4.971390E+06,497137.14,44299.83,4.430000E+05,44299.83
1761826373,517335.00,1.014474E+07,507236.06,46100.00,9.040000E+05,45199.92
1761826383,507238.99,1.521713E+07,507237.03,45200.00,1.356000E+06,45199.94
1761826393,478086.99,1.999800E+07,499949.53,42600.00,1.782000E+06,44549.96
1761826403,464600.00,2.464400E+07,492879.63,41400.00,2.196000E+06,43919.97
1761826413,524058.00,2.988458E+07,498076.02,46700.00,2.663000E+06,44383.31
1761826423,526341.99,3.514800E+07,502114.01,46900.00,3.132000E+06,44742.83
1761826433,525179.01,4.039979E+07,504997.14,46800.00,3.600000E+06,44999.98
1761826443,521833.99,4.561813E+07,506867.90,46500.00,4.065000E+06,45166.65
1761826453,517345.02,5.079158E+07,507915.61,46100.00,4.526000E+06,45259.98
1761826463,522954.99,5.602113E+07,509282.83,46600.00,4.992000E+06,45381.80
1761826473,519608.00,6.121721E+07,510143.26,46300.00,5.455000E+06,45458.32
1761826483,519572.98,6.641294E+07,510868.62,46300.00,5.918000E+06,45523.06
1761826493,539806.03,7.181100E+07,512935.58,48100.00,6.399000E+06,45707.13
1761826503,522930.75,7.704031E+07,513601.92,46599.98,6.865000E+06,45766.65
1761826513,536427.27,8.240458E+07,515028.51,47800.02,7.343000E+06,45893.74
1761826523,521835.98,8.762294E+07,515428.94,46500.00,7.808000E+06,45929.40
1761826533,512862.89,9.275157E+07,515286.39,45699.99,8.265000E+06,45916.66
