Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761827536,504997.91,5.050000E+06,504997.91,44999.81,4.500000E+05,44999.81
1761827546,545399.03,1.050400E+07,525198.44,48599.91,9.360000E+05,46799.86
1761827556,544258.96,1.594658E+07,531551.93,48500.09,1.421000E+06,47366.60
1761827566,525200.02,2.119858E+07,529963.95,46800.00,1.889000E+06,47224.95
1761827576,503873.02,2.623731E+07,524745.77,44900.00,2.338000E+06,46759.96
1761827586,556626.51,3.180358E+07,530059.23,49599.96,2.834000E+06,47233.29
1761827596,559998.81,3.740357E+07,534336.31,49899.98,3.333000E+06,47614.25
1761827606,570074.66,4.310431E+07,538803.60,50800.06,3.841000E+06,48012.48
1761827616,570107.71,4.880539E+07,542281.83,50799.97,4.349000E+06,48322.20
1761827626,529674.24,5.410213E+07,541021.07,47200.02,4.821000E+06,48209.98
1761827636,545400.03,5.955613E+07,541419.16,48600.00,5.307000E+06,48245.44
1761827646,547644.87,6.503258E+07,541937.97,48799.99,5.795000E+06,48291.65
1761827656,547663.13,7.050921E+07,542378.37,48800.01,6.283000E+06,48330.75
1761827666,544279.00,7.595200E+07,542514.13,48500.00,6.768000E+06,48342.84
1761827676,531913.02,8.127113E+07,541807.39,47400.00,7.242000E+06,48279.99
1761827686,520725.97,8.647839E+07,540489.80,46400.00,7.706000E+06,48162.49
1761827696,559974.01,9.207813E+07,541635.93,49900.00,8.205000E+06,48264.69
1761827706,536427.00,9.744240E+07,541346.54,47800.00,8.683000E+06,48238.88
1761827716,519595.99,1.026384E+08,540201.78,46300.00,9.146000E+06,48136.83
