Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761828714,490391.94,4.903940E+06,490391.94,43699.82,4.370000E+05,43699.82
1761828724,505000.00,9.953940E+06,497695.95,45000.00,8.870000E+05,44349.91
1761828734,508363.99,1.503758E+07,501251.96,45300.00,1.340000E+06,44666.60
1761828744,485942.01,1.989700E+07,497424.48,43300.00,1.773000E+06,44324.95
1761828754,501613.01,2.491313E+07,498262.18,44700.00,2.220000E+06,44399.96
1761828764,504999.99,2.996313E+07,499385.15,45000.00,2.670000E+06,44499.97
1761828774,534182.99,3.530496E+07,504356.27,47600.00,3.146000E+06,44942.83
1761828784,537535.02,4.068031E+07,508503.61,47900.00,3.625000E+06,45312.48
1761828794,537569.02,4.605600E+07,511733.10,47900.00,4.104000E+06,45599.98
1761828804,510595.77,5.116196E+07,511619.36,45499.98,4.559000E+06,45589.98
1761828814,518462.19,5.634658E+07,512241.44,46200.02,5.021000E+06,45645.44
1761828824,540916.01,6.175574E+07,514630.98,48200.00,5.503000E+06,45858.32
1761828834,524082.67,6.699657E+07,515358.04,46699.97,5.970000E+06,45923.06
1761828844,531943.35,7.231600E+07,516542.70,47400.03,6.444000E+06,46028.56
1761828854,548755.98,7.780356E+07,518690.25,48900.00,6.933000E+06,46219.99
1761828864,512865.04,8.293221E+07,518326.18,45700.00,7.390000E+06,46187.49
1761828874,517336.00,8.810557E+07,518267.93,46100.00,7.851000E+06,46182.34
1761828884,526316.99,9.336874E+07,518715.10,46900.00,8.320000E+06,46222.21
1761828894,538656.98,9.875531E+07,519764.67,48000.00,8.800000E+06,46315.78
1761828904,519607.99,1.039514E+08,519756.84,46300.00,9.263000E+06,46314.99
1761828914,546517.99,1.094166E+08,521031.18,48700.00,9.750000E+06,46428.56
1761828924,533059.92,1.147472E+08,521577.94,47499.64,1.022500E+07,46477.25
1761828934,515103.99,1.198982E+08,521296.47,45900.36,1.068400E+07,46452.17
1761828944,545400.00,1.253522E+08,522300.78,48600.00,1.117000E+07,46541.66
1761828954,544278.99,1.307950E+08,523179.91,48500.00,1.165500E+07,46619.99
1761828964,519573.99,1.359907E+08,523041.22,46300.00,1.211800E+07,46607.68
1761828974,551025.99,1.415010E+08,524077.70,49100.00,1.260900E+07,46699.99
1761828984,521813.02,1.467191E+08,523996.81,46500.00,1.307400E+07,46692.85
1761828994,519608.01,1.519152E+08,523845.48,46300.00,1.353700E+07,46679.30
1761829004,553236.98,1.574476E+08,524825.19,49300.00,1.403000E+07,46766.66
1761829014,536421.03,1.628118E+08,525199.25,47800.00,1.450800E+07,46799.99
