Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761829887,501604.37,5.016130E+06,501604.37,44699.23,4.470000E+05,44699.23
1761829897,509507.90,1.011121E+07,505556.11,45399.99,9.010000E+05,45049.61
1761829907,517336.02,1.528457E+07,509482.72,46100.00,1.362000E+06,45399.74
1761829917,481443.10,2.009900E+07,502472.85,42900.01,1.791000E+06,44774.81
1761829927,503858.00,2.513758E+07,502749.88,44900.00,2.240000E+06,44799.85
1761829937,510615.98,3.024374E+07,504060.89,45500.00,2.695000E+06,44916.54
1761829947,522965.06,3.547339E+07,506761.48,46600.00,3.161000E+06,45157.03
1761829957,542018.97,4.089358E+07,511168.65,48300.00,3.644000E+06,45549.90
1761829967,537562.99,4.626921E+07,514101.35,47900.00,4.123000E+06,45811.02
1761829977,519573.02,5.146494E+07,514648.52,46300.00,4.586000E+06,45859.92
1761829987,549900.00,5.696394E+07,517853.19,49000.00,5.076000E+06,46145.38
1761829997,538662.99,6.235057E+07,519587.34,48000.00,5.556000E+06,46299.93
1761830007,528556.00,6.763613E+07,520277.24,47100.00,6.027000E+06,46361.48
1761830017,546518.03,7.310131E+07,522151.58,48700.00,6.514000E+06,46528.51
1761830027,549907.96,7.860039E+07,524002.00,49000.00,7.004000E+06,46693.28
1761830037,526317.97,8.386357E+07,524146.75,46900.00,7.473000E+06,46706.20
1761830047,528556.01,8.914913E+07,524406.12,47100.00,7.944000E+06,46729.36
1761830057,535300.04,9.450213E+07,525011.33,47700.00,8.421000E+06,46783.29
1761830067,526327.00,9.976540E+07,525080.58,46900.00,8.890000E+06,46789.43
1761830077,522953.99,1.049949E+08,524974.25,46600.00,9.356000E+06,46779.96
1761830087,544279.99,1.104377E+08,525893.57,48500.00,9.841000E+06,46861.87
1761830097,531946.99,1.157572E+08,526168.73,47400.00,1.031500E+07,46886.33
1761830107,524079.03,1.209980E+08,526077.87,46700.00,1.078200E+07,46878.23
1761830117,543130.97,1.264293E+08,526788.41,48400.00,1.126600E+07,46941.63
1761830127,520726.03,1.316366E+08,526545.92,46400.00,1.173000E+07,46919.97
1761830137,529674.00,1.369333E+08,526666.23,47200.00,1.220200E+07,46930.74
1761830147,543162.73,1.423649E+08,527277.21,48399.98,1.268600E+07,46985.15
1761830157,529706.25,1.476620E+08,527363.96,47200.02,1.315800E+07,46992.83
1761830167,527439.01,1.529364E+08,527366.55,47000.00,1.362800E+07,46993.08
1761830177,527437.99,1.582108E+08,527368.93,47000.00,1.409800E+07,46993.31
1761830187,537536.00,1.635861E+08,527696.90,47900.00,1.457700E+07,47022.55
1761830197,537545.00,1.689616E+08,528004.65,47900.00,1.505600E+07,47049.97
1761830207,536442.00,1.743260E+08,528260.33,47800.00,1.553400E+07,47072.70
1761830217,538657.01,1.797126E+08,528566.12,48000.00,1.601400E+07,47099.98
1761830227,504999.98,1.847626E+08,527892.80,45000.00,1.646400E+07,47039.98
1761830237,536419.92,1.901268E+08,528129.66,47799.99,1.694200E+07,47061.09
1761830247,534180.10,1.954686E+08,528293.19,47600.01,1.741800E+07,47075.65
1761830257,537536.70,2.008439E+08,528536.44,47899.97,1.789700E+07,47097.35
1761830267,535296.37,2.061969E+08,528709.77,47699.68,1.837400E+07,47112.79
1761830277,537540.64,2.115723E+08,528930.54,47900.32,1.885300E+07,47132.48
1761830287,530826.16,2.168806E+08,528976.78,47300.01,1.932600E+07,47136.57
1761830297,520701.15,2.220876E+08,528779.74,46400.01,1.979000E+07,47119.03
1761830307,504999.98,2.271376E+08,528226.72,45000.00,2.024000E+07,47069.75
1761830317,546541.99,2.326030E+08,528642.98,48700.00,2.072700E+07,47106.80
1761830327,555500.00,2.381580E+08,529239.80,49500.00,2.122200E+07,47159.98
1761830337,574558.01,2.439036E+08,530224.98,51200.00,2.173400E+07,47247.81
1761830347,546541.97,2.493690E+08,530572.15,48700.00,2.222100E+07,47278.71
1761830357,527439.03,2.546434E+08,530506.87,47000.00,2.269100E+07,47272.90
1761830367,546516.99,2.601086E+08,530833.61,48700.00,2.317800E+07,47302.02
1761830377,548757.01,2.655961E+08,531192.08,48900.00,2.366700E+07,47333.98
1761830387,549907.98,2.710952E+08,531559.06,49000.00,2.415700E+07,47366.65
1761830397,528553.00,2.763807E+08,531501.25,47100.00,2.462800E+07,47361.52
1761830407,548757.02,2.818683E+08,531826.83,48900.00,2.511700E+07,47390.55
1761830417,534182.01,2.872101E+08,531870.44,47600.00,2.559300E+07,47394.43
1761830427,539807.98,2.926082E+08,532014.76,48100.00,2.607400E+07,47407.26
1761830437,538652.76,2.979947E+08,532133.30,47999.98,2.655400E+07,47417.84
1761830447,540926.23,3.034040E+08,532287.56,48200.02,2.703600E+07,47431.56
1761830457,528557.00,3.086896E+08,532223.24,47100.00,2.750700E+07,47425.85
1761830467,536417.01,3.140537E+08,532294.32,47800.00,2.798500E+07,47432.19
1761830477,536419.98,3.194179E+08,532363.08,47800.00,2.846300E+07,47438.32
1761830487,528563.99,3.247036E+08,532300.80,47100.00,2.893400E+07,47432.77
1761830497,529699.02,3.300006E+08,532258.84,47200.00,2.940600E+07,47429.02
1761830507,545399.98,3.354546E+08,532467.43,48600.00,2.989200E+07,47447.61
1761830517,522963.98,3.406842E+08,532318.93,46600.00,3.035800E+07,47434.36
1761830527,535300.06,3.460372E+08,532364.80,47700.01,3.083500E+07,47438.45
1761830537,557735.67,3.516146E+08,532749.21,49699.97,3.133200E+07,47472.71
1761830547,512864.27,3.567432E+08,532452.42,45700.02,3.178900E+07,47446.26
1761830557,536418.02,3.621074E+08,532510.73,47800.00,3.226700E+07,47451.46
1761830567,546517.99,3.675726E+08,532713.74,48700.00,3.275400E+07,47469.55
1761830577,522964.00,3.728022E+08,532574.46,46600.00,3.322000E+07,47457.13
1761830587,536417.67,3.781664E+08,532628.59,47799.97,3.369800E+07,47461.96
1761830597,528555.04,3.834519E+08,532572.01,47100.00,3.416900E+07,47456.93
1761830607,520727.29,3.886592E+08,532409.75,46400.03,3.463300E+07,47442.45
