Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761771577,212095.07,2.121000E+06,212095.07,18899.56,1.890000E+05,18899.56
1761771587,217694.00,4.297940E+06,214894.50,19400.00,3.830000E+05,19149.78
1761771597,195264.00,6.250580E+06,208351.05,17400.00,5.570000E+05,18566.52
1761771607,176197.99,8.012560E+06,200312.83,15700.00,7.140000E+05,17849.90
1761771617,182920.01,9.841760E+06,196834.29,16300.00,8.770000E+05,17539.92
1761771627,204236.92,1.188413E+07,198068.05,18199.99,1.059000E+06,17649.93
1761771637,218844.09,1.407257E+07,201036.05,19500.01,1.254000E+06,17914.23
1761771647,209863.99,1.617121E+07,202139.54,18700.00,1.441000E+06,18012.45
1761771657,205352.99,1.822474E+07,202496.59,18300.00,1.624000E+06,18044.40
1761771667,204239.01,2.026713E+07,202670.83,18200.00,1.806000E+06,18059.96
1761771677,180681.01,2.207394E+07,200671.76,16100.00,1.967000E+06,17881.78
1761771687,171699.93,2.379094E+07,198257.44,15299.99,2.120000E+06,17666.63
1761771697,180680.07,2.559774E+07,196905.34,16100.01,2.281000E+06,17546.12
1761771707,186277.94,2.746052E+07,196146.24,16599.99,2.447000E+06,17478.54
1761771717,178441.06,2.924493E+07,194965.90,15900.01,2.606000E+06,17373.31
1761771727,217728.00,3.142221E+07,196388.53,19400.00,2.800000E+06,17499.97
1761771737,182918.00,3.325139E+07,195596.14,16300.00,2.963000E+06,17429.39
1761771747,178419.00,3.503558E+07,194641.86,15900.00,3.122000E+06,17344.42
1761771757,178436.00,3.681994E+07,193788.92,15900.00,3.281000E+06,17268.40
1761771767,182918.99,3.864913E+07,193245.43,16300.00,3.444000E+06,17219.98
1761771777,187425.93,4.052339E+07,192968.31,16699.99,3.611000E+06,17195.22
1761771787,207601.08,4.259940E+07,193633.43,18500.01,3.796000E+06,17254.53
1761771797,189654.00,4.449594E+07,193460.41,16900.00,3.965000E+06,17239.11
