Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761756732,194135.26,1.941390E+06,194135.26,17299.67,1.730000E+05,17299.67
1761756742,206474.00,4.006130E+06,200304.57,18400.00,3.570000E+05,17849.83
1761756752,181800.00,5.824130E+06,194136.42,16200.00,5.190000E+05,17299.89
1761756762,198642.99,7.810560E+06,195263.06,17700.00,6.960000E+05,17399.92
1761756772,217701.99,9.987580E+06,199750.83,19400.00,8.900000E+05,17799.93
1761756782,207616.01,1.206374E+07,201061.69,18500.00,1.075000E+06,17916.61
1761756792,206484.01,1.412858E+07,201836.30,18400.00,1.259000E+06,17985.66
1761756802,208735.99,1.621594E+07,202698.76,18600.00,1.445000E+06,18062.46
1761756812,169463.00,1.791057E+07,199005.91,15100.00,1.596000E+06,17733.30
1761756822,179564.00,1.970621E+07,197061.72,16000.00,1.756000E+06,17559.97
1761756832,177292.00,2.147913E+07,195264.48,15800.00,1.914000E+06,17399.97
1761756842,182917.93,2.330831E+07,194235.60,16299.99,2.077000E+06,17308.31
1761756852,212100.07,2.542931E+07,195609.79,18900.01,2.266000E+06,17430.74
1761756862,207626.01,2.750557E+07,196468.09,18500.00,2.451000E+06,17507.12
