Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761759670,194138.22,1.941390E+06,194138.22,17299.93,1.730000E+05,17299.93
1761759680,186274.00,3.804130E+06,190206.12,16600.00,3.390000E+05,16949.97
1761759690,173945.00,5.543580E+06,184785.75,15500.00,4.940000E+05,16466.64
1761759700,171700.00,7.260580E+06,181514.32,15300.00,6.470000E+05,16174.98
1761759710,189655.00,9.157130E+06,183142.45,16900.00,8.160000E+05,16319.99
1761759720,203117.98,1.118831E+07,186471.71,18100.00,9.970000E+05,16616.66
1761759730,198643.01,1.317474E+07,188210.46,17700.00,1.174000E+06,16771.42
1761759740,205357.00,1.522831E+07,190353.78,18300.00,1.357000E+06,16962.49
1761759750,203127.00,1.725958E+07,191773.03,18100.00,1.538000E+06,17088.88
1761759760,170582.00,1.896540E+07,189653.92,15200.00,1.690000E+06,16899.99
1761759770,169454.00,2.065994E+07,187817.57,15100.00,1.841000E+06,16736.36
1761759780,166106.00,2.232100E+07,186008.27,14800.00,1.989000E+06,16574.99
1761759790,169431.00,2.401531E+07,184733.10,15100.00,2.140000E+06,16461.53
1761759800,197524.96,2.599056E+07,185646.80,17600.00,2.316000E+06,16542.85
1761759810,196384.05,2.795440E+07,186362.62,17500.00,2.491000E+06,16606.66
1761759820,178433.99,2.973874E+07,185867.08,15900.00,2.650000E+06,16562.50
1761759830,177326.01,3.151200E+07,185364.66,15800.00,2.808000E+06,16517.64
1761759840,172821.00,3.324021E+07,184667.79,15400.00,2.962000E+06,16455.55
