Current status: 
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Setting up primary Creating primary instance demo-db-1
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761765586,197490.02,1.974930E+06,197490.02,17599.73,1.760000E+05,17599.73
1761765596,195265.00,3.927580E+06,196377.52,17400.00,3.500000E+05,17499.87
1761765606,198635.82,5.913940E+06,197130.28,17699.98,5.270000E+05,17566.57
1761765616,189662.18,7.810560E+06,195263.26,16900.02,6.960000E+05,17399.93
1761765626,182918.00,9.639740E+06,192794.22,16300.00,8.590000E+05,17179.95
1761765636,159364.99,1.123339E+07,187222.70,14200.00,1.001000E+06,16683.29
1761765646,185155.01,1.308494E+07,186927.31,16500.00,1.166000E+06,16657.11
1761765656,195257.99,1.503752E+07,187968.65,17400.00,1.340000E+06,16749.97
1761765666,195287.01,1.699039E+07,188781.80,17400.00,1.514000E+06,16822.19
1761765676,204237.98,1.903277E+07,190327.41,18200.00,1.696000E+06,16959.97
1761765686,197523.01,2.100800E+07,190981.56,17600.00,1.872000E+06,17018.16
1761765696,175056.00,2.275856E+07,189654.43,15600.00,2.028000E+06,16899.98
1761765706,166077.00,2.441933E+07,187840.78,14800.00,2.176000E+06,16738.44
1761765716,166106.00,2.608039E+07,186288.30,14800.00,2.324000E+06,16599.98
1761765726,172817.99,2.780857E+07,185390.28,15400.00,2.478000E+06,16519.98
1761765736,175056.01,2.955913E+07,184744.39,15600.00,2.634000E+06,16462.48
1761765746,200881.00,3.156794E+07,185693.60,17900.00,2.813000E+06,16547.04
1761765756,173937.00,3.330731E+07,185040.46,15500.00,2.968000E+06,16488.88
1761765766,187426.01,3.518157E+07,185166.01,16700.00,3.135000E+06,16499.99
1761765776,163836.99,3.681994E+07,184099.56,14600.00,3.281000E+06,16404.99
1761765786,162719.00,3.844713E+07,183081.44,14500.00,3.426000E+06,16314.27
1761765796,179560.99,4.024274E+07,182921.42,16000.00,3.586000E+06,16299.99
1761765806,203120.00,4.227394E+07,183799.62,18100.00,3.767000E+06,16378.25
1761765816,177327.00,4.404721E+07,183529.93,15800.00,3.925000E+06,16354.16
1761765826,173936.01,4.578657E+07,183146.17,15500.00,4.080000E+06,16319.99
1761765836,176174.00,4.754831E+07,182878.01,15700.00,4.237000E+06,16296.14
1761765846,178442.93,4.933274E+07,182713.75,15899.99,4.396000E+06,16281.47
1761765856,206484.08,5.139758E+07,183562.69,18400.01,4.580000E+06,16357.13
1761765866,206499.01,5.346257E+07,184353.59,18400.00,4.764000E+06,16427.58
1761765876,179563.99,5.525821E+07,184193.94,16000.00,4.924000E+06,16413.33
1761765886,187391.00,5.713212E+07,184297.07,16700.00,5.091000E+06,16422.57
1761765896,178445.00,5.891657E+07,184114.19,15900.00,5.250000E+06,16406.24
1761765906,175056.00,6.066713E+07,183839.70,15600.00,5.406000E+06,16381.81
1761765916,178443.99,6.245157E+07,183681.01,15900.00,5.565000E+06,16367.64
1761765926,186274.01,6.431431E+07,183755.09,16600.00,5.731000E+06,16374.28
1761765936,181800.00,6.613231E+07,183700.78,16200.00,5.893000E+06,16369.44
1761765946,184069.01,6.797300E+07,183710.74,16400.00,6.057000E+06,16370.26
1761765956,185156.99,6.982457E+07,183748.80,16500.00,6.222000E+06,16373.68
1761765966,195256.01,7.177713E+07,184043.85,17400.00,6.396000E+06,16399.99
1761765976,208744.00,7.386457E+07,184661.36,18600.00,6.582000E+06,16454.99
1761765986,191900.00,7.578357E+07,184837.91,17100.00,6.753000E+06,16470.73
1761765996,178442.99,7.756800E+07,184685.65,15900.00,6.912000E+06,16457.14
1761766006,186274.00,7.943074E+07,184722.59,16600.00,7.078000E+06,16460.46
1761766016,172820.00,8.115894E+07,184452.07,15400.00,7.232000E+06,16436.36
1761766026,164963.99,8.280858E+07,184019.00,14700.00,7.379000E+06,16397.77
1761766036,178436.00,8.459294E+07,183897.64,15900.00,7.538000E+06,16386.95
1761766046,169463.00,8.628757E+07,183590.52,15100.00,7.689000E+06,16359.57
1761766056,162720.00,8.791477E+07,183155.71,14500.00,7.834000E+06,16320.83
1761766066,172817.00,8.964294E+07,182944.72,15400.00,7.988000E+06,16302.04
1761766076,191900.00,9.156194E+07,183123.82,17100.00,8.159000E+06,16318.00
1761766086,199763.00,9.355957E+07,183450.08,17800.00,8.337000E+06,16347.05
1761766096,206474.00,9.562431E+07,183892.85,18400.00,8.521000E+06,16386.53
1761766106,207626.00,9.770057E+07,184340.65,18500.00,8.706000E+06,16426.41
1761766116,175056.01,9.945113E+07,184168.71,15600.00,8.862000E+06,16411.11
1761766126,185186.99,1.013030E+08,184187.22,16500.00,9.027000E+06,16412.72
1761766136,173939.00,1.030424E+08,184004.22,15500.00,9.182000E+06,16396.42
1761766146,173935.00,1.047817E+08,183827.57,15500.00,9.337000E+06,16380.70
1761766156,177305.01,1.065548E+08,183715.11,15800.00,9.495000E+06,16370.69
1761766166,168334.00,1.082381E+08,183454.41,15000.00,9.645000E+06,16347.45
1761766176,175087.00,1.099890E+08,183314.95,15600.00,9.801000E+06,16335.00
1761766186,207594.00,1.120649E+08,183712.97,18500.00,9.986000E+06,16370.49
1761766196,208745.00,1.141524E+08,184116.71,18600.00,1.017200E+07,16406.45
1761766206,203118.01,1.161836E+08,184418.32,18100.00,1.035300E+07,16433.33
