Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761768603,203120.08,2.031210E+06,203120.08,18099.92,1.810000E+05,18099.92
1761768613,206473.00,4.095940E+06,204796.54,18400.00,3.650000E+05,18249.96
1761768623,212100.00,6.216940E+06,207231.02,18900.00,5.540000E+05,18466.64
1761768633,176205.99,7.979000E+06,199474.77,15700.00,7.110000E+05,17774.98
1761768643,167194.01,9.650940E+06,193018.63,14900.00,8.600000E+05,17199.98
1761768653,172819.00,1.137913E+07,189652.02,15400.00,1.014000E+06,16899.99
1761768663,200881.00,1.338794E+07,191256.16,17900.00,1.193000E+06,17042.85
1761768673,222200.00,1.560994E+07,195124.14,19800.00,1.391000E+06,17387.49
1761768683,206505.91,1.767500E+07,196388.78,18399.99,1.575000E+06,17499.99
1761768693,200873.10,1.968373E+07,196837.21,17900.01,1.754000E+06,17539.99
1761768703,186284.00,2.154657E+07,195877.83,16600.00,1.920000E+06,17454.54
1761768713,168343.00,2.323000E+07,193583.26,15000.00,2.070000E+06,17249.99
1761768723,163839.00,2.486839E+07,191295.24,14600.00,2.216000E+06,17046.15
1761768733,170579.00,2.657418E+07,189815.51,15200.00,2.368000E+06,16914.28
1761768743,177294.99,2.834713E+07,188980.81,15800.00,2.526000E+06,16839.99
1761768753,207626.01,3.042339E+07,190146.13,18500.00,2.711000E+06,16943.75
1761768763,195254.99,3.237594E+07,190446.66,17400.00,2.885000E+06,16970.58
1761768773,185164.00,3.422758E+07,190153.17,16500.00,3.050000E+06,16944.44
1761768783,170573.00,3.593331E+07,189122.64,15200.00,3.202000E+06,16852.63
1761768793,189662.99,3.782994E+07,189149.66,16900.00,3.371000E+06,16855.00
1761768803,181800.00,3.964794E+07,188799.67,16200.00,3.533000E+06,16823.81
1761768813,206506.00,4.171300E+07,189604.51,18400.00,3.717000E+06,16895.45
1761768823,197492.00,4.368792E+07,189947.44,17600.00,3.893000E+06,16926.08
1761768833,173939.00,4.542731E+07,189280.42,15500.00,4.048000E+06,16866.66
1761768843,173969.01,4.716700E+07,188667.97,15500.00,4.203000E+06,16812.00
1761768853,184039.00,4.900739E+07,188489.93,16400.00,4.367000E+06,16796.15
1761768863,189660.99,5.090400E+07,188533.30,16900.00,4.536000E+06,16800.00
1761768873,203121.00,5.293521E+07,189054.29,18100.00,4.717000E+06,16846.43
1761768883,199727.99,5.493249E+07,189422.35,17800.00,4.895000E+06,16879.31
1761768893,181824.01,5.675073E+07,189169.07,16200.00,5.057000E+06,16856.66
1761768903,180658.00,5.855731E+07,188894.52,16100.00,5.218000E+06,16832.26
1761768913,187426.01,6.043157E+07,188848.63,16700.00,5.385000E+06,16828.12
1761768923,188542.99,6.231700E+07,188839.37,16800.00,5.553000E+06,16827.27
1761768933,205356.02,6.437056E+07,189325.15,18300.00,5.736000E+06,16870.59
1761768943,198644.00,6.635700E+07,189591.40,17700.00,5.913000E+06,16894.28
1761768953,184039.00,6.819739E+07,189437.17,16400.00,6.077000E+06,16880.55
1761768963,181800.00,7.001539E+07,189230.76,16200.00,6.239000E+06,16862.16
1761768973,189660.99,7.191200E+07,189242.08,16900.00,6.408000E+06,16863.16
1761768983,212100.01,7.403300E+07,189828.18,18900.00,6.597000E+06,16915.38
1761768993,205356.99,7.608657E+07,190216.40,18300.00,6.780000E+06,16950.00
1761769003,189664.01,7.798321E+07,190202.93,16900.00,6.949000E+06,16948.78
1761769013,180658.00,7.978979E+07,189975.67,16100.00,7.110000E+06,16928.57
1761769023,173959.99,8.152939E+07,189603.21,15500.00,7.265000E+06,16895.35
1761769033,186274.01,8.339213E+07,189527.55,16600.00,7.431000E+06,16888.63
1761769043,171700.00,8.510913E+07,189131.38,15300.00,7.584000E+06,16853.33
1761769053,190779.91,8.701693E+07,189167.22,16999.99,7.754000E+06,16856.52
1761769063,189664.09,8.891357E+07,189177.79,16900.01,7.923000E+06,16857.45
1761769073,172820.00,9.064177E+07,188837.00,15400.00,8.077000E+06,16827.08
1761769083,180679.90,9.244857E+07,188670.53,16099.99,8.238000E+06,16812.24
1761769093,185156.11,9.430013E+07,188600.24,16500.01,8.403000E+06,16806.00
1761769103,184044.98,9.614058E+07,188510.92,16400.00,8.567000E+06,16798.04
1761769113,208736.02,9.822794E+07,188899.87,18600.00,8.753000E+06,16832.69
1761769123,196406.00,1.001920E+08,189041.49,17500.00,8.928000E+06,16845.28
1761769133,177294.00,1.019649E+08,188823.95,15800.00,9.086000E+06,16825.92
1761769143,179562.94,1.037606E+08,188655.57,15999.99,9.246000E+06,16810.91
1761769153,202000.06,1.057806E+08,188893.86,18000.01,9.426000E+06,16832.14
1761769163,205356.00,1.078341E+08,189182.67,18300.00,9.609000E+06,16857.89
1761769173,205387.00,1.098880E+08,189462.05,18300.00,9.792000E+06,16882.76
1761769183,203121.00,1.119192E+08,189693.56,18100.00,9.973000E+06,16903.39
1761769193,182918.01,1.137484E+08,189580.64,16300.00,1.013600E+07,16893.33
