Current status: 
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761792477,306355.80,3.063570E+06,306355.80,27299.89,2.730000E+05,27299.89
1761792487,306356.00,6.127130E+06,306355.90,27300.00,5.460000E+05,27299.95
1761792497,326586.90,9.393000E+06,313099.56,29099.99,8.370000E+05,27899.96
1761792507,272676.09,1.211976E+07,302993.70,24300.01,1.080000E+06,26999.97
1761792517,253645.02,1.465621E+07,293123.98,22600.00,1.306000E+06,26119.98
1761792527,277172.99,1.742794E+07,290465.48,24700.00,1.553000E+06,25883.32
1761792537,311983.00,2.054777E+07,293539.41,27800.00,1.831000E+06,26157.13
1761792547,311980.00,2.366757E+07,295844.48,27800.00,2.109000E+06,26362.49
1761792557,319842.99,2.686600E+07,298510.98,28500.00,2.394000E+06,26599.99
1761792567,307477.02,2.994077E+07,299407.58,27400.00,2.668000E+06,26679.99
1761792577,290661.99,3.284739E+07,298612.53,25900.00,2.927000E+06,26609.08
1761792587,279419.00,3.564158E+07,297013.07,24900.00,3.176000E+06,26466.66
1761792597,272700.00,3.836858E+07,295142.84,24300.00,3.419000E+06,26299.99
1761792607,272699.99,4.109558E+07,293539.78,24300.00,3.662000E+06,26157.14
1761792617,316480.85,4.426039E+07,295069.18,28199.99,3.944000E+06,26293.33
1761792627,314218.15,4.740257E+07,296265.99,28000.01,4.224000E+06,26399.99
1761792637,302999.89,5.043257E+07,296662.10,26999.99,4.494000E+06,26435.29
1761792647,281682.11,5.324939E+07,295829.88,25100.01,4.745000E+06,26361.11
1761792657,264835.00,5.589774E+07,294198.57,23600.00,4.981000E+06,26215.78
1761792667,278326.00,5.868100E+07,293404.94,24800.00,5.229000E+06,26144.99
1761792677,310831.00,6.178931E+07,294234.75,27700.00,5.506000E+06,26219.04
1761792687,316490.01,6.495421E+07,295246.36,28200.00,5.788000E+06,26309.09
1761792697,300737.01,6.796158E+07,295485.08,26800.00,6.056000E+06,26330.43
1761792707,288418.85,7.084577E+07,295190.65,25699.99,6.313000E+06,26304.16
1761792717,267081.14,7.351658E+07,294066.27,23800.01,6.551000E+06,26204.00
1761792727,276081.01,7.627739E+07,293374.53,24600.00,6.797000E+06,26142.30
1761792737,318691.82,7.946431E+07,294312.21,28399.98,7.081000E+06,26225.92
1761792747,319843.17,8.266274E+07,295224.03,28500.02,7.366000E+06,26307.14
1761792757,296256.99,8.562531E+07,295259.65,26400.00,7.630000E+06,26310.34
1761792767,282800.01,8.845331E+07,294844.33,25200.00,7.882000E+06,26273.33
1761792777,276087.01,9.121418E+07,294239.25,24600.00,8.128000E+06,26219.35
1761792787,278295.00,9.399713E+07,293741.00,24800.00,8.376000E+06,26175.00
1761792797,311980.83,9.711694E+07,294293.72,27799.99,8.654000E+06,26224.24
1761792807,317606.17,1.002930E+08,294979.38,28300.01,8.937000E+06,26285.29
1761792817,314220.99,1.034352E+08,295529.14,28000.00,9.217000E+06,26334.28
1761792827,285035.02,1.062856E+08,295237.64,25400.00,9.471000E+06,26308.33
1761792837,277174.96,1.090573E+08,294749.45,24700.00,9.718000E+06,26264.86
1761792847,285069.03,1.119080E+08,294494.71,25400.00,9.972000E+06,26242.10
1761792857,331031.01,1.152183E+08,295431.53,29500.00,1.026700E+07,26325.64
1761792867,329942.99,1.185177E+08,296294.32,29400.00,1.056100E+07,26402.50
1761792877,301883.00,1.215366E+08,296430.63,26900.00,1.083000E+07,26414.63
1761792887,287274.01,1.244093E+08,296212.62,25600.00,1.108600E+07,26395.24
1761792897,282800.00,1.272373E+08,295900.69,25200.00,1.133800E+07,26367.44
1761792907,276090.00,1.299982E+08,295450.45,24600.00,1.158400E+07,26327.27
1761792917,283918.01,1.328374E+08,295194.17,25300.00,1.183700E+07,26304.44
1761792927,294017.01,1.357776E+08,295168.58,26200.00,1.209900E+07,26302.17
1761792937,311983.01,1.388974E+08,295526.34,27800.00,1.237700E+07,26334.04
1761792947,280561.00,1.417030E+08,295214.56,25000.00,1.262700E+07,26306.25
1761792957,279412.99,1.444971E+08,294892.08,24900.00,1.287600E+07,26277.55
1761792967,313099.00,1.476281E+08,295256.22,27900.00,1.315500E+07,26310.00
1761792977,328826.95,1.509164E+08,295914.47,29300.00,1.344800E+07,26368.63
1761792987,325435.05,1.541707E+08,296482.17,29000.00,1.373800E+07,26419.23
1761792997,310865.00,1.572794E+08,296753.54,27700.00,1.401500E+07,26443.39
1761793007,286155.01,1.601409E+08,296557.28,25500.00,1.427000E+07,26425.92
1761793017,269344.98,1.628344E+08,296062.51,24000.00,1.451000E+07,26381.82
1761793027,281682.00,1.656512E+08,295805.71,25100.00,1.476100E+07,26358.93
1761793037,288392.01,1.685351E+08,295675.65,25700.00,1.501800E+07,26347.37
1761793047,267107.89,1.712062E+08,295183.10,23799.99,1.525600E+07,26303.45
1761793057,301879.11,1.742250E+08,295296.59,26900.01,1.552500E+07,26313.56
1761793067,283896.01,1.770640E+08,295106.58,25300.00,1.577800E+07,26296.66
1761793077,315361.00,1.802176E+08,295438.62,28100.00,1.605900E+07,26326.23
1761793087,313100.00,1.833486E+08,295723.48,27900.00,1.633800E+07,26351.61
1761793097,326556.00,1.866141E+08,296212.89,29100.00,1.662900E+07,26395.24
1761793107,323200.01,1.898461E+08,296634.56,28800.00,1.691700E+07,26432.81
1761793117,307507.99,1.929212E+08,296801.84,27400.00,1.719100E+07,26447.69
1761793127,274935.99,1.956706E+08,296470.54,24500.00,1.743600E+07,26418.18
1761793137,288395.00,1.985545E+08,296350.01,25700.00,1.769300E+07,26407.46
1761793147,278323.99,2.013378E+08,296084.92,24800.00,1.794100E+07,26383.82
1761793157,288424.00,2.042220E+08,295973.90,25700.00,1.819800E+07,26373.91
1761793167,271558.01,2.069376E+08,295625.10,24200.00,1.844000E+07,26342.86
1761793177,291782.01,2.098554E+08,295570.97,26000.00,1.870000E+07,26338.03
1761793187,301872.99,2.128741E+08,295658.50,26900.00,1.896900E+07,26345.83
1761793197,316487.01,2.160390E+08,295943.82,28200.00,1.925100E+07,26371.23
1761793207,317573.99,2.192147E+08,296236.12,28300.00,1.953400E+07,26397.30
1761793217,315339.01,2.223681E+08,296490.82,28100.00,1.981500E+07,26420.00
1761793227,320961.01,2.255777E+08,296812.80,28600.00,2.010100E+07,26448.68
1761793237,306357.00,2.286413E+08,296936.75,27300.00,2.037400E+07,26459.74
1761793247,277208.99,2.314134E+08,296683.83,24700.00,2.062100E+07,26437.18
1761793257,270460.01,2.341180E+08,296351.88,24100.00,2.086200E+07,26407.59
1761793267,272693.99,2.368449E+08,296056.16,24300.00,2.110500E+07,26381.25
1761793277,298499.96,2.398299E+08,296086.33,26600.00,2.137100E+07,26383.95
1761793287,272700.03,2.425569E+08,295801.13,24300.00,2.161400E+07,26358.54
1761793297,281680.01,2.453737E+08,295631.00,25100.00,2.186500E+07,26343.37
1761793307,290664.99,2.482804E+08,295571.88,25900.00,2.212400E+07,26338.09
1761793317,313099.98,2.514114E+08,295778.09,27900.00,2.240300E+07,26356.47
1761793327,314218.01,2.545536E+08,295992.51,28000.00,2.268300E+07,26375.58
1761793337,323200.00,2.577856E+08,296305.24,28800.00,2.297100E+07,26403.45
1761793347,328800.85,2.610736E+08,296674.51,29299.99,2.326400E+07,26436.36
1761793357,297399.14,2.640476E+08,296682.65,26500.01,2.352900E+07,26437.08
1761793367,282799.99,2.668756E+08,296528.40,25200.00,2.378100E+07,26423.33
1761793377,268201.01,2.695576E+08,296217.11,23900.00,2.402000E+07,26395.60
1761793387,259236.00,2.721499E+08,295815.14,23100.00,2.425100E+07,26359.78
1761793397,286164.00,2.750116E+08,295711.36,25500.00,2.450600E+07,26350.54
1761793407,269336.00,2.777049E+08,295430.78,24000.00,2.474600E+07,26325.53
1761793417,265964.01,2.803646E+08,295120.60,23700.00,2.498300E+07,26297.89
1761793427,273841.99,2.831030E+08,294898.95,24400.00,2.522700E+07,26278.12
1761793437,287274.00,2.859757E+08,294820.34,25600.00,2.548300E+07,26271.13
1761793447,310865.01,2.890844E+08,294984.06,27700.00,2.576000E+07,26285.71
1761793457,325437.87,2.923388E+08,295291.67,28999.99,2.605000E+07,26313.13
1761793467,324317.12,2.955819E+08,295581.93,28900.01,2.633900E+07,26339.00
1761793477,296264.00,2.985446E+08,295588.68,26400.00,2.660300E+07,26339.60
1761793487,278318.00,3.013278E+08,295419.36,24800.00,2.685100E+07,26324.51
1761793497,278302.99,3.041108E+08,295253.18,24800.00,2.709900E+07,26309.71
1761793507,281703.01,3.069278E+08,295122.89,25100.00,2.735000E+07,26298.08
1761793517,308592.00,3.100137E+08,295251.17,27500.00,2.762500E+07,26309.52
1761793527,317584.00,3.131896E+08,295461.86,28300.00,2.790800E+07,26328.30
1761793537,308615.99,3.162757E+08,295584.79,27500.00,2.818300E+07,26339.25
1761793547,279443.99,3.190702E+08,295435.34,24900.00,2.843200E+07,26325.92
1761793557,297376.01,3.220439E+08,295453.15,26500.00,2.869700E+07,26327.52
1761793567,264837.00,3.246923E+08,295174.82,23600.00,2.893300E+07,26302.73
1761793577,290663.00,3.275989E+08,295134.17,25900.00,2.919200E+07,26299.10
1761793587,315336.99,3.307523E+08,295314.55,28100.00,2.947300E+07,26315.18
1761793597,316490.01,3.339172E+08,295501.95,28200.00,2.975500E+07,26331.86
1761793607,302997.00,3.369472E+08,295567.69,27000.00,3.002500E+07,26337.72
1761793617,313102.99,3.400782E+08,295720.17,27900.00,3.030400E+07,26351.30
1761793627,319817.00,3.432764E+08,295927.90,28500.00,3.058900E+07,26369.83
1761793637,316482.99,3.464412E+08,296103.59,28200.00,3.087100E+07,26385.47
1761793647,314218.01,3.495834E+08,296257.10,28000.00,3.115100E+07,26399.15
1761793657,313100.00,3.527144E+08,296398.64,27900.00,3.143000E+07,26411.76
1761793667,280560.99,3.555200E+08,296266.66,25000.00,3.168000E+07,26400.00
1761793677,273797.01,3.582580E+08,296080.96,24400.00,3.192400E+07,26383.47
1761793687,279433.99,3.610523E+08,295944.51,24900.00,3.217300E+07,26371.31
1761793697,276090.00,3.638132E+08,295783.09,24600.00,3.241900E+07,26356.91
1761793707,271579.00,3.665290E+08,295587.89,24200.00,3.266100E+07,26339.52
1761793717,263721.01,3.691662E+08,295332.96,23500.00,3.289600E+07,26316.80
1761793727,277180.01,3.719380E+08,295188.89,24700.00,3.314300E+07,26303.97
1761793737,264829.99,3.745863E+08,294949.84,23600.00,3.337900E+07,26282.68
1761793747,270462.89,3.772909E+08,294758.54,24099.99,3.362000E+07,26265.62
1761793757,329945.14,3.805904E+08,295031.30,29400.01,3.391400E+07,26289.92
1761793767,314217.99,3.837326E+08,295178.89,28000.00,3.419400E+07,26303.08
1761793777,301882.01,3.867514E+08,295230.06,26900.00,3.446300E+07,26307.63
1761793787,270460.98,3.894560E+08,295042.42,24100.00,3.470400E+07,26290.91
1761793797,290631.01,3.923623E+08,295009.25,25900.00,3.496300E+07,26287.97
1761793807,315369.00,3.955160E+08,295161.19,28100.00,3.524400E+07,26301.49
1761793817,335538.33,3.988714E+08,295460.28,29899.94,3.554300E+07,26328.15
1761793827,311982.63,4.019912E+08,295581.76,27800.06,3.582100E+07,26338.97
1761793837,311978.99,4.051110E+08,295701.45,27800.00,3.609900E+07,26349.63
1761793847,297374.02,4.080847E+08,295713.57,26500.00,3.636400E+07,26350.72
1761793857,278304.99,4.108678E+08,295588.33,24800.00,3.661200E+07,26339.57
1761793867,282821.00,4.136960E+08,295497.13,25200.00,3.686400E+07,26331.43
1761793877,292900.00,4.166250E+08,295478.72,26100.00,3.712500E+07,26329.79
1761793887,313099.89,4.197560E+08,295602.81,27899.99,3.740400E+07,26340.84
1761793897,304121.11,4.227972E+08,295662.38,27100.01,3.767500E+07,26346.15
1761793907,298492.00,4.257821E+08,295682.03,26600.00,3.794100E+07,26347.92
1761793917,268225.93,4.284644E+08,295492.67,23899.99,3.818000E+07,26331.03
1761793927,300760.96,4.314720E+08,295528.76,26800.00,3.844800E+07,26334.25
1761793937,328794.14,4.347599E+08,295755.05,29300.01,3.874100E+07,26354.42
1761793947,320963.01,4.379696E+08,295925.38,28600.00,3.902700E+07,26369.59
1761793957,325436.98,4.412239E+08,296123.44,29000.00,3.931700E+07,26387.25
1761793967,328827.01,4.445122E+08,296341.47,29300.00,3.961000E+07,26406.67
1761793977,315335.00,4.476656E+08,296467.25,28100.00,3.989100E+07,26417.88
1761793987,314217.97,4.508077E+08,296584.03,28000.00,4.017100E+07,26428.29
1761793997,323200.02,4.540397E+08,296757.99,28800.00,4.045900E+07,26443.79
1761794007,315339.01,4.571931E+08,296878.65,28100.00,4.074000E+07,26454.54
1761794017,296287.00,4.601560E+08,296874.83,26400.00,4.100400E+07,26454.19
1761794027,292879.01,4.630848E+08,296849.22,26100.00,4.126500E+07,26451.92
1761794037,286177.98,4.659466E+08,296781.25,25500.00,4.152000E+07,26445.86
1761794047,273817.02,4.686847E+08,296635.90,24400.00,4.176400E+07,26432.91
1761794057,283919.98,4.715239E+08,296555.93,25300.00,4.201700E+07,26425.79
1761794067,277206.01,4.742960E+08,296434.99,24700.00,4.226400E+07,26415.00
1761794077,279412.89,4.770901E+08,296329.27,24899.99,4.251300E+07,26405.59
1761794087,261481.10,4.797049E+08,296114.15,23300.01,4.274600E+07,26386.42
1761794097,257005.99,4.822750E+08,295874.23,22900.00,4.297500E+07,26365.03
1761794107,254739.00,4.848224E+08,295623.40,22700.00,4.320200E+07,26342.68
1761794117,261482.00,4.874372E+08,295416.48,23300.00,4.343500E+07,26324.24
1761794127,307473.00,4.905119E+08,295489.11,27400.00,4.370900E+07,26330.72
1761794137,297405.99,4.934860E+08,295500.59,26500.00,4.397400E+07,26331.74
1761794147,272700.01,4.962130E+08,295364.87,24300.00,4.421700E+07,26319.64
1761794157,271558.01,4.989286E+08,295224.01,24200.00,4.445900E+07,26307.10
1761794167,307498.98,5.020036E+08,295296.21,27400.00,4.473300E+07,26313.53
1761794177,326556.02,5.052691E+08,295479.02,29100.00,4.502400E+07,26329.82
1761794187,314217.99,5.084113E+08,295587.96,28000.00,4.530400E+07,26339.53
1761794197,319842.99,5.116097E+08,295728.17,28500.00,4.558900E+07,26352.02
1761794207,315339.02,5.147631E+08,295840.87,28100.00,4.587000E+07,26362.07
1761794217,316486.99,5.179280E+08,295958.85,28200.00,4.615200E+07,26372.57
1761794227,309713.00,5.210251E+08,296037.00,27600.00,4.642800E+07,26379.54

Summary:
loaded 523584000 metrics in 1767.985sec with 8 workers (mean rate 296147.35 metrics/sec)
loaded 46656000 rows in 1767.985sec with 8 workers (mean rate 26389.37 rows/sec)
