Current status: Cluster has incomplete or invalid image catalog catalog ImageCatalog/cloudnative-pg-with-timescaledb-image-catalog not found
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Creating a new replica Creating replica demo-db-2-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Creating a new replica Creating replica demo-db-3-join
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Waiting for the instances to become active Some instances are not yet active. Please wait.
Current status: Cluster in healthy state
---- Database is ready! ----
ALTER ROLE
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1761782466,282790.14,2.828000E+06,282790.14,25199.12,2.520000E+05,25199.12
1761782476,283917.99,5.667180E+06,283354.05,25300.00,5.050000E+05,25249.56
1761782486,276056.00,8.427740E+06,280921.40,24600.00,7.510000E+05,25033.04
1761782496,300765.00,1.143539E+07,285882.26,26800.00,1.019000E+06,25474.78
1761782506,305232.82,1.448774E+07,289752.36,27199.81,1.291000E+06,25819.78
1761782516,294022.10,1.742794E+07,290463.98,26200.19,1.553000E+06,25883.18
1761782526,297406.00,2.040200E+07,291455.69,26500.00,1.818000E+06,25971.30
1761782536,281658.01,2.321858E+07,290230.98,25100.00,2.069000E+06,25862.39
1761782546,265980.99,2.587839E+07,287536.55,23700.00,2.306000E+06,25622.12
1761782556,258095.00,2.845934E+07,284592.41,23000.00,2.536000E+06,25359.91
1761782566,277205.01,3.123139E+07,283920.83,24700.00,2.783000E+06,25299.92
1761782576,313099.99,3.436239E+07,286352.42,27900.00,3.062000E+06,25516.59
1761782586,306355.00,3.742594E+07,287891.07,27300.00,3.335000E+06,25653.78
1761782596,300763.00,4.043357E+07,288810.49,26800.00,3.603000E+06,25735.65
1761782606,267074.00,4.310431E+07,287361.40,23800.00,3.841000E+06,25606.61
1761782616,260363.01,4.570794E+07,285674.00,23200.00,4.073000E+06,25456.19
1761782626,281679.99,4.852474E+07,285439.06,25100.00,4.324000E+06,25435.24
1761782636,299647.01,5.152121E+07,286228.39,26700.00,4.591000E+06,25505.51
1761782646,295135.85,5.447257E+07,286697.20,26299.99,4.854000E+06,25547.32
1761782656,290664.15,5.737921E+07,286895.55,25900.01,5.113000E+06,25564.96
1761782666,273818.00,6.011739E+07,286272.81,24400.00,5.357000E+06,25509.48
1761782676,269318.99,6.281058E+07,285502.18,24000.00,5.597000E+06,25440.87
1761782686,273820.98,6.554879E+07,284994.31,24400.00,5.841000E+06,25395.61
1761782696,289534.03,6.844413E+07,285183.46,25800.00,6.099000E+06,25412.46
1761782706,317607.99,7.162021E+07,286480.44,28300.00,6.382000E+06,25527.96
1761782716,289509.84,7.451531E+07,286596.96,25799.99,6.640000E+06,25538.43
